key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
HGKQHSW,1915-04-22,0,Virginia,regular,,Suffolk,2,,Newport News,3,,"3,000",1:47,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 23, 1915",0,2,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,3,0,x,,,,
CPKXWCM,1915-04-22,0,Virginia,regular,,Portsmouth,0,,Norfolk,2,,,1:40,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 23, 1915",0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,2,0,0,0,x,,,,
TMMMSVW,1915-04-22,0,Virginia,regular,,Rocky Mount,2,,Petersburg,5,,"2,000",1:45,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 23, 1915",2,0,0,0,0,0,0,0,0,,,,,0,0,0,1,2,0,0,2,x,,,,
HPJTWRV,1915-04-23,0,Virginia,regular,,Suffolk,5,,Newport News,10,,,2:00,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 24, 1915",0,1,3,1,0,0,0,0,0,,,,,0,2,0,0,0,3,0,5,x,,,,
QTQKZTZ,1915-04-23,0,Virginia,regular,,Rocky Mount,3,,Petersburg,6,,,,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 24, 1915",2,0,0,0,0,0,0,0,1,,,,,0,0,3,2,0,0,0,1,x,,,,
NFSVDKX,1915-04-23,0,Virginia,regular,,Norfolk,6,,Portsmouth,7,,,,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 24, 1915",1,1,0,0,0,1,3,0,0,,,,,1,0,1,0,2,2,0,1,x,,,,
NXBQCQY,1915-04-24,0,Virginia,regular,,Suffolk,3,,Newport News,3,,,3:07,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 25, 1915",2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0
HMKDTQN,1915-04-24,0,Virginia,regular,,Portsmouth,2,,Norfolk,8,,,,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 25, 1915",0,0,0,2,0,0,0,0,0,,,,,0,0,1,0,2,1,0,4,x,,,,
XPPMQQC,1915-04-24,0,Virginia,regular,,Rocky Mount,1,,Petersburg,2,,,1:45,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 25, 1915",0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,1,,
DSBBJNB,1915-04-26,0,Virginia,regular,,Newport News,15,,Norfolk,8,,,2:40,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 27, 1915",4,1,0,0,2,3,5,0,0,,,,,3,3,0,0,0,1,1,0,0,,,,
ZPXZJGS,1915-04-26,0,Virginia,regular,,Portsmouth,0,,Rocky Mount,3,,,,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 27, 1915",0,0,0,0,0,0,0,0,0,,,,,1,0,0,1,0,1,0,0,x,,,,
NRGJDCD,1915-04-26,0,Virginia,regular,,Petersburg,1,,Suffolk,0,,,,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 27, 1915",0,0,0,0,0,0,0,0,1,,,,,0,0,0,0,0,0,0,0,0,,,,
RDCWZBV,1915-04-27,0,Virginia,regular,,Newport News,9,,Norfolk,7,,,2:10,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 28, 1915",1,0,1,1,0,0,1,1,4,,,,,3,0,0,0,0,2,0,0,2,,,,
BSTXLNY,1915-04-27,0,Virginia,regular,,Portsmouth,2,,Rocky Mount,8,,,,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 28, 1915",1,0,0,0,0,0,0,0,1,,,,,0,0,4,0,0,0,2,2,x,,,,
MWYPYVJ,1915-04-27,0,Virginia,regular,,Petersburg,5,,Suffolk,1,,,,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 28, 1915",0,0,0,0,0,0,4,1,0,,,,,1,0,0,0,0,0,0,0,0,,,,
NZQBPBP,1915-04-28,0,Virginia,regular,,Newport News,1,,Norfolk,6,,,1:50,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 29, 1915",0,0,0,0,0,0,1,0,0,,,,,2,1,1,0,2,0,0,0,x,,,,
DLNTYQD,1915-04-28,0,Virginia,regular,,Portsmouth,5,,Rocky Mount,1,,,,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 29, 1915",1,0,0,2,0,0,0,2,0,,,,,0,0,0,0,0,0,1,0,0,,,,
CYKJTFN,1915-04-28,0,Virginia,regular,,Petersburg,4,,Suffolk,2,,,,,,,,1915/1915-NNDP/NNDP-19150422.txt,"Newport News Daily Press, April 29, 1915",0,0,1,0,2,1,0,0,0,,,,,0,0,0,0,1,0,1,0,0,,,,
