key,league,date,number,source,team1.name,team1.align,team1.score,team2.name,team2.align,team2.score,status_code,status_reason
19100424-PCLLAA-PCLVER-2,Pacific Coast League,1910-04-24,2,1910-SFE,Los Angeles,a,6.0,Vernon,h,7.0,final,
19100424-PCLLAA-PCLVER-2,Pacific Coast League,1910-04-24,2,1910-LAH,Los Angeles,a,6,Vernon,h,7,final,
19100424-PCLOAK-PCLPOR-0,Pacific Coast League,1910-04-24,0,1910-SFE,Oakland,a,2.0,Portland,h,6.0,final,
19100424-PCLSAC-PCLSFS-1,Pacific Coast League,1910-04-24,1,1910-SFE,Sacramento,a,8.0,San Francisco,h,8.0,completed early,used all time allowed for first game of doubleheader
19100424-PCLSAC-PCLSFS-2,Pacific Coast League,1910-04-24,2,1910-SFE,Sacramento,a,2.0,San Francisco,h,6.0,final,
19100426-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-26,0,1910-SFE,Sacramento,a,2.0,Los Angeles,h,4.0,final,
19100426-PCLOAK-PCLVER-0,Pacific Coast League,1910-04-26,0,1910-SFE,Vernon,a,5.0,Oakland,h,1.0,final,
19100426-PCLPOR-PCLSFS-0,Pacific Coast League,1910-04-26,0,1910-SFE,San Francisco,a,2.0,Portland,h,0.0,final,
19100427-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-27,0,1910-SFE,Sacramento,a,1.0,Los Angeles,h,6.0,final,
19100427-PCLOAK-PCLVER-0,Pacific Coast League,1910-04-27,0,1910-SFE,Vernon,a,4.0,Oakland,h,8.0,final,
19100427-PCLPOR-PCLSFS-0,Pacific Coast League,1910-04-27,0,1910-SFE,San Francisco,a,1.0,Portland,h,3.0,final,
19100428-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-28,0,1910-SFE,Sacramento,a,4.0,Los Angeles,h,1.0,final,
19100428-PCLOAK-PCLVER-0,Pacific Coast League,1910-04-28,0,1910-SFE,Vernon,a,5.0,Oakland,h,0.0,final,
19100428-PCLPOR-PCLSFS-0,Pacific Coast League,1910-04-28,0,1910-SFE,San Francisco,a,3.0,Portland,h,5.0,final,
19100429-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-29,0,1910-SFE,Sacramento,a,1.0,Los Angeles,h,0.0,final,
19100429-PCLOAK-PCLVER-0,Pacific Coast League,1910-04-29,0,1910-SFE,Vernon,a,3.0,Oakland,h,2.0,final,
19100429-PCLPOR-PCLSFS-0,Pacific Coast League,1910-04-29,0,1910-SFE,San Francisco,a,4.0,Portland,h,3.0,final,
19100430-PCLLAA-PCLSAC-0,Pacific Coast League,1910-04-30,0,1910-SFE,Sacramento,a,3.0,Los Angeles,h,1.0,final,
19100430-PCLOAK-PCLVER-0,Pacific Coast League,1910-04-30,0,1910-SFE,Vernon,a,5.0,Oakland,h,2.0,final,
19100430-PCLPOR-PCLSFS-0,Pacific Coast League,1910-04-30,0,1910-SFE,San Francisco,a,3.0,Portland,h,1.0,final,
19100501-PCLLAA-PCLSAC-1,Pacific Coast League,1910-05-01,1,1910-SFE,Sacramento,a,2.0,Los Angeles,h,4.0,final,
19100501-PCLLAA-PCLSAC-2,Pacific Coast League,1910-05-01,2,1910-SFE,Sacramento,a,2.0,Los Angeles,h,4.0,final,
19100501-PCLOAK-PCLVER-1,Pacific Coast League,1910-05-01,1,1910-SFE,Vernon,a,2.0,Oakland,h,3.0,final,
19100501-PCLOAK-PCLVER-2,Pacific Coast League,1910-05-01,2,1910-SFE,Vernon,a,1.0,Oakland,h,2.0,final,
19100501-PCLPOR-PCLSFS-0,Pacific Coast League,1910-05-01,0,1910-SFE,San Francisco,a,3.0,Portland,h,1.0,final,
19100503-PCLOAK-PCLSAC-0,Pacific Coast League,1910-05-03,0,1910-SFE,Sacramento,a,1.0,Oakland,h,0.0,final,
19100503-PCLPOR-PCLVER-0,Pacific Coast League,1910-05-03,0,1910-SFE,Vernon,a,,Portland,h,,postponed,rain
19100504-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-04,0,1910-SFE,San Francisco,a,2.0,Los Angeles,h,0.0,final,
19100504-PCLOAK-PCLSAC-0,Pacific Coast League,1910-05-04,0,1910-SFE,Sacramento,a,1.0,Oakland,h,2.0,final,
19100504-PCLPOR-PCLVER-0,Pacific Coast League,1910-05-04,0,1910-SFE,Vernon,a,,Portland,h,,postponed,rain
19100505-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-05,0,1910-SFE,San Francisco,a,3.0,Los Angeles,h,5.0,final,
19100505-PCLOAK-PCLSAC-0,Pacific Coast League,1910-05-05,0,1910-SFE,Sacramento,a,0.0,Oakland,h,2.0,final,
19100505-PCLPOR-PCLVER-0,Pacific Coast League,1910-05-05,0,1910-SFE,Vernon,a,3.0,Portland,h,0.0,final,
19100506-PCLLAA-PCLSFS-0,Pacific Coast League,1910-05-06,0,1910-SFE,San Francisco,a,4.0,Los Angeles,h,2.0,final,
19100506-PCLOAK-PCLSAC-0,Pacific Coast League,1910-05-06,0,1910-SFE,Sacramento,a,0.0,Oakland,h,2.0,final,
19100506-PCLPOR-PCLVER-0,Pacific Coast League,1910-05-06,0,1910-SFE,Vernon,a,0.0,Portland,h,2.0,final,
