league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Buckeye League,P4181889,Talbot,,Akron,1915-05-24,1915-05-30,5,0,0,0,0,0,0,0,0,0,5,0
1915,Buckeye League,P0219829,Talbott,,Akron,1915-05-19,1915-06-10,14,0,0,0,0,0,0,0,0,0,14,0
1915,Buckeye League,P9081087,Thoma,,Marion,1915-05-19,1915-06-10,15,0,0,0,0,0,15,0,15,0,0,0
1915,Buckeye League,P5718568,Trimmer,,Newark,1915-05-22,1915-05-22,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P4594441,Walker,,Lima,1915-05-19,1915-06-10,5,5,0,0,0,0,0,0,0,0,0,5
1915,Buckeye League,P6709636,Warden,,Lima,1915-06-05,1915-06-06,3,0,0,0,3,0,0,0,0,0,0,0
1915,Buckeye League,P8506642,Warren,,Lima,1915-05-28,1915-05-28,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P2470162,Weitel,,Newark,1915-05-23,1915-05-23,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P9037530,Werner,,Findlay,1915-05-27,1915-06-10,3,0,0,0,0,0,3,3,0,0,0,0
1915,Buckeye League,P6326305,Wetzel,,Marion,1915-05-19,1915-06-10,15,0,0,0,15,0,0,0,0,0,0,0
1915,Buckeye League,P1614421,Wilhelm,,Canton,1915-05-21,1915-05-21,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P9611661,Wratten,,Newark,1915-05-19,1915-06-09,6,1,0,0,5,0,0,0,0,0,0,1
1915,Buckeye League,P2561947,Yockey,,Findlay,1915-05-19,1915-06-10,4,1,0,3,0,0,0,0,0,0,0,1
