key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
HSYFHRF,1915-05-19,0,Buckeye,regular,,Akron,,,Canton,,,,,,,,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 20, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTJFWZY,1915-05-19,0,Buckeye,regular,,Findlay,,,Lima,,,,,,,,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 20, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHTJCVH,1915-05-19,0,Buckeye,regular,,Marion,3,,Newark,1,,,1:55,,,,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 20, 1915",0,0,0,0,0,0,0,3,0,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,
YJCGJCW,1915-05-20,0,Buckeye,regular,,Akron,,,Canton,,,,,,postponed,rain,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 21, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMBXJCL,1915-05-20,0,Buckeye,regular,,Findlay,,,Lima,,,,,,postponed,rain,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 21, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WZZZTJP,1915-05-20,0,Buckeye,regular,,Marion,,,Newark,,,,,,postponed,rain,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 21, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDHYPMR,1915-05-21,0,Buckeye,regular,,Canton,4,,Akron,3,,,,,,,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 22, 1915",0,0,0,0,1,1,0,1,1,,,,,,,,0,0,1,0,0,1,0,0,1,,,,,,,
NJVDNKZ,1915-05-21,0,Buckeye,regular,,Findlay,9,,Lima,12,,,,,,,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 22, 1915",0,2,2,3,2,0,0,0,0,,,,,,,,0,2,8,1,0,0,1,0,x,,,,,,,
WCMDXRY,1915-05-21,0,Buckeye,regular,,Newark,3,,Marion,4,,,2:02,,,,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 22, 1915",1,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,1,1,2,x,,,,,,,
ZXKJMGP,1915-05-22,0,Buckeye,regular,,Canton,3,,Akron,4,,"1,100",,,,,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 24, 1915",0,1,0,2,0,0,0,0,0,,,,,,,,2,0,1,1,0,0,0,0,0,,,,,,,
YFTKBRM,1915-05-22,0,Buckeye,regular,,Lima,7,,Findlay,8,,,,,,,,transcript/1915/1915-MDS/boxes/MDS-19150519.txt,"Marion Daily Star, May 24, 1915",0,1,2,0,2,2,0,0,0,,,,,,,,5,3,0,0,0,0,0,0,x,,,,,,,
