key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
MFBRNTG,1915-05-06,0,Northern,regular,,Virginia,,,Fargo-Moorhead,,,,,,postponed,rain,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHJQXNS,1915-05-06,0,Northern,regular,,Fort William-Port Arthur,,,Grand Forks,,,,,,postponed,rain,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMHBLGM,1915-05-06,0,Northern,regular,,Superior,,,St. Boniface,,,,,,postponed,rain,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TQJXTBJ,1915-05-06,0,Northern,regular,,Duluth,,,Winnipeg,,,,,,postponed,rain,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZRCWYMG,1915-05-07,0,Northern,regular,,Virginia,,,Fargo-Moorhead,,,,,,postponed,rain,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGJSVTS,1915-05-07,0,Northern,regular,,Fort William-Port Arthur,,,Grand Forks,,,,,,postponed,rain,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRSQYJP,1915-05-07,0,Northern,regular,,Superior,,,St. Boniface,,,,,,postponed,rain,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVWKVRQ,1915-05-07,0,Northern,regular,,Duluth,,,Winnipeg,,,,,,postponed,rain,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XVWLZNP,1915-05-08,0,Northern,regular,,Virginia,,,Fargo-Moorhead,,,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 9, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YMSPQTY,1915-05-08,0,Northern,regular,,Fort William-Port Arthur,3,,Grand Forks,6,,,,,,,,transcript/1915/1915-GFDH/boxes/GFDH-19150506.txt,"Grand Forks Daily Herald, May 9, 1915",1,0,0,0,2,0,0,0,0,,,,,,,0,1,0,1,0,4,0,0,x,,,,,,
