team.league,team.key,team.name,source,key,gloss.name.last,gloss.name.first,person.name.last,person.name.first,person.seq,pos
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150517-CTXCOR-CTXMEX-0,,,Barber,,a06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150518-CTXCOR-CTXMEX-0,,,Barber,,a04,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150519-CTXCOR-CTXMEX-0,,,Barber,,b03,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150520-CTXCOR-CTXMEX-0,,,Barber,,b04,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150521-CTXCOR-CTXWAX-0,,,Barber,,a03,lf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150522-CTXCOR-CTXWAX-0,,,Barber,,a06,lf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150524-CTXCOR-CTXENN-0,,,Barber,,a06,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150525-CTXCOR-CTXENN-0,,,Barber,,a05,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150526-CTXCOR-CTXKAU-0,,,Barber,,b06,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150517-CTXCOR-CTXMEX-0,Bettison,,Battison,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150517-CTXCOR-CTXMEX-0,,,Battle,,a03,lf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150518-CTXCOR-CTXMEX-0,,,Battle,,a03,lf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150519-CTXCOR-CTXMEX-0,,,Battle,,b02,lf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150520-CTXCOR-CTXMEX-0,,,Battle,,b03,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150521-CTXCOR-CTXWAX-0,,,Battle,,a02,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150522-CTXCOR-CTXWAX-0,,,Battle,,a02,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150604-CTXCOR-CTXTER-0,,,Battle,,a04,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150605-CTXCOR-CTXTER-0,,,Battle,,b04,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150607-CTXCOR-CTXENN-0,,,Battle,,b04,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150518-CTXCOR-CTXMEX-0,,,Bettison,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150519-CTXCOR-CTXMEX-0,,,Bettison,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150522-CTXCOR-CTXWAX-0,,,Bettison,,a08,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150524-CTXCOR-CTXENN-0,,,Bettison,,a08,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150531-CTXCOR-CTXTER-0,,,Bettison,,a06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150601-CTXCOR-CTXTER-0,,,Bettison,,a06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150602-CTXCOR-CTXKAU-0,,,Bettison,,a06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150603-CTXCOR-CTXKAU-0,,,Bettison,,a06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150605-CTXCOR-CTXTER-0,,,Bettison,,b09,lf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150607-CTXCOR-CTXENN-0,,,Bettison,,b05,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150610-CTXCOR-CTXMEX-0,,,Bettison,,a01,lf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150611-CTXCOR-CTXMEX-0,,,Bettison,,a01,lf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150612-CTXCOR-CTXMEX-0,,,Bettison,,a02,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150615-CTXCOR-CTXENN-0,,,Bettison,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150616-CTXCOR-CTXENN-0,,,Bettison,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150617-CTXCOR-CTXENN-0,,,Bettison,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150618-CTXCOR-CTXENN-1,,,Bettison,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150618-CTXCOR-CTXENN-2,,,Bettison,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150619-CTXCOR-CTXENN-0,,,Bettison,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150621-CTXCOR-CTXTER-0,,,Bettison,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150626-CTXCOR-CTXWAX-1,,,Bettison,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150626-CTXCOR-CTXWAX-2,,,Bettison,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150628-CTXCOR-CTXWAX-0,,,Bettison,,b08,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150701-CTXCOR-CTXKAU-0,,,Bettison,,a09,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150519-CTXCOR-CTXMEX-0,,,Black,,b12,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150525-CTXCOR-CTXENN-0,,,Black,,a08,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150526-CTXCOR-CTXKAU-0,,,Black,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150527-CTXCOR-CTXKAU-0,,,Black,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150528-CTXCOR-CTXWAX-0,,,Black,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150529-CTXCOR-CTXWAX-0,,,Black,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150531-CTXCOR-CTXTER-0,,,Black,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150601-CTXCOR-CTXTER-0,,,Black,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150602-CTXCOR-CTXKAU-0,,,Black,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150603-CTXCOR-CTXKAU-0,,,Black,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150604-CTXCOR-CTXTER-0,,,Black,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150609-CTXCOR-CTXENN-0,,,Black,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150610-CTXCOR-CTXMEX-0,,,Black,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150611-CTXCOR-CTXMEX-0,,,Black,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150612-CTXCOR-CTXMEX-0,,,Black,,a08,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150614-CTXCOR-CTXENN-0,,,Black,,a07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150622-CTXCOR-CTXTER-0,,,Black,,b07,c
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150525-CTXCOR-CTXENN-0,,,Bradley,,a04,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150526-CTXCOR-CTXKAU-0,,,Bradley,,b03,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150527-CTXCOR-CTXKAU-0,,,Bradley,,b05,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150528-CTXCOR-CTXWAX-0,,,Bradley,,b05,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150529-CTXCOR-CTXWAX-0,,,Bradley,,b05,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150531-CTXCOR-CTXTER-0,,,Bradley,,a05,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150601-CTXCOR-CTXTER-0,,,Bradley,,a05,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150602-CTXCOR-CTXKAU-0,,,Bradley,,a05,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150603-CTXCOR-CTXKAU-0,,,Bradley,,a05,cf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150604-CTXCOR-CTXTER-0,,,Bradley,,a05,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150605-CTXCOR-CTXTER-0,,,Bradley,,b05,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150607-CTXCOR-CTXENN-0,,,Bradley,,b06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150609-CTXCOR-CTXENN-0,,,Bradley,,b04,2b
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150610-CTXCOR-CTXMEX-0,,,Bradley,,a05,2b
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150611-CTXCOR-CTXMEX-0,,,Bradley,,a05,2b
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150612-CTXCOR-CTXMEX-0,,,Bradley,,a06,2b
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150614-CTXCOR-CTXENN-0,,,Bradley,,a06,2b
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150615-CTXCOR-CTXENN-0,,,Bradley,,a06,2b
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150616-CTXCOR-CTXENN-0,,,Bradley,,a06,2b
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150617-CTXCOR-CTXENN-0,,,Bradley,,b06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150618-CTXCOR-CTXENN-1,,,Bradley,,b06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150618-CTXCOR-CTXENN-2,,,Bradley,,b06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150619-CTXCOR-CTXENN-0,,,Bradley,,b06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150621-CTXCOR-CTXTER-0,,,Bradley,,b06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150622-CTXCOR-CTXTER-0,,,Bradley,,b06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150623-CTXCOR-CTXTER-0,,,Bradley,,b04,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150624-CTXCOR-CTXWAX-0,,,Bradley,,a04,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150626-CTXCOR-CTXWAX-1,,,Bradley,,a06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150626-CTXCOR-CTXWAX-2,,,Bradley,,a06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150628-CTXCOR-CTXWAX-0,,,Bradley,,b07,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150629-CTXCOR-CTXWAX-0,,,Bradley,,b06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150630-CTXCOR-CTXWAX-0,,,Bradley,,b06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150701-CTXCOR-CTXKAU-0,,,Bradley,,a06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150702-CTXCOR-CTXKAU-0,,,Bradley,,a06,rf
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150525-CTXCOR-CTXENN-0,,,Cole,,a09,p
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150529-CTXCOR-CTXWAX-0,,,Cole,,b08,p
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150603-CTXCOR-CTXKAU-0,,,Cole,,a08,p
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150517-CTXCOR-CTXMEX-0,,,Darnell,,a08,p
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150524-CTXCOR-CTXENN-0,,,Darnell,,a10,p
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150528-CTXCOR-CTXWAX-0,,,Darnell,,b08,p
Central Texas League,CTXCOR,Corsicana,1915-DMN,19150601-CTXCOR-CTXTER-0,,,Darnell,,a09,p
