key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12
QKLMMJM,1909-06-14,0,Central Kansas,regular,,Ellsworth,10,,Clay Center,1,,,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 15, 1909",3,0,0,0,7,0,0,0,0,,,,0,0,0,0,0,0,1,0,0,,,
KXKWZXC,1909-06-14,0,Central Kansas,regular,,Minneapolis,4,,Junction City,0,,1200,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 15, 1909",0,0,1,0,0,0,3,0,0,,,,0,0,0,0,0,0,0,0,0,,,
WMZCTXW,1909-06-14,0,Central Kansas,regular,,Salina,5,,Manhattan,0,,1500,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 15, 1909",2,3,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
GNFXMMM,1909-06-15,0,Central Kansas,regular,,Ellsworth,8,,Clay Center,1,,,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 16, 1909",5,0,1,0,0,0,1,0,1,,,,1,0,0,0,0,0,0,0,0,,,
QNJXNGF,1909-06-15,0,Central Kansas,regular,,Minneapolis,0,,Junction City,4,,,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 16, 1909",0,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,3,0,x,,,
NLYPBJY,1909-06-15,0,Central Kansas,regular,,Salina,2,,Manhattan,0,,800,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 16, 1909",1,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
TXGJXKS,1909-06-16,0,Central Kansas,regular,,Salina,3,,Clay Center,4,,,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 17, 1909",0,0,0,1,0,1,1,0,0,0,,,1,0,0,2,0,0,0,0,0,1,,
LYNRYPR,1909-06-17,0,Central Kansas,regular,,Salina,0,,Clay Center,1,,300,1:15,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 18, 1909",0,0,0,0,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,x,,,
GVSZSDW,1909-06-18,0,Central Kansas,regular,,Clay Center,1,,Beloit,0,,,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 19, 1909",0,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
MMCQGLX,1909-06-18,0,Central Kansas,regular,,Abilene,1,,Ellsworth,5,,,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 19, 1909",1,0,0,0,0,0,0,0,0,,,,0,0,5,0,0,0,0,0,0,,,
NQVYRSL,1909-06-18,0,Central Kansas,regular,,Junction City,4,,Salina,5,,2500,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 19, 1909",2,1,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,3,2,x,,,
ZDCWRPF,1909-06-19,0,Central Kansas,regular,,Junction City,7,,Salina,5,,,,,final,,,1909/1909-SDU/SDU-19090614.txt,"The Salina Daily Union Jun 21, 1909",0,0,2,0,0,0,0,3,0,2,,,1,1,0,1,0,2,0,0,0,0,,
CWXRBCP,1909-06-21,0,Central Kansas,regular,,Junction City,2,,Ellsworth,0,,,,,final,,,1909/1909-SDU/SDU-19090621.txt,"The Salina Daily Union Jun 22, 1909",1,0,0,0,1,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,,,
