league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Buckeye League,P7476457,McLaughlin,,Canton,1915-05-19,1915-05-27,4,4,0,0,0,0,0,0,0,0,0,4
1915,Buckeye League,P9137363,Munday,,Canton,1915-05-19,1915-05-31,8,0,8,0,0,0,0,0,0,0,0,0
1915,Buckeye League,P7716114,Mundy,,Canton,1915-05-25,1915-05-25,1,0,1,0,0,0,0,0,0,0,0,0
1915,Buckeye League,P0559589,Murray,,Lima,1915-05-27,1915-05-28,2,0,0,2,0,0,0,0,0,0,0,0
1915,Buckeye League,P9360237,Myers,,Akron,1915-05-19,1915-05-21,2,0,0,0,2,0,0,0,0,0,0,0
1915,Buckeye League,P8005906,Neer,,Marion,1915-05-23,1915-05-25,2,0,2,0,0,0,0,0,0,0,0,0
1915,Buckeye League,P0663435,Newnham,,Akron,1915-05-19,1915-05-31,5,0,0,0,0,5,0,0,0,0,0,0
1915,Buckeye League,P1635388,Orndolf,,Marion,1915-05-27,1915-05-27,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P8368059,Patton,,Canton,1915-05-19,1915-05-31,9,0,0,0,9,0,0,0,0,0,0,0
1915,Buckeye League,P4545119,Plummer,,Akron,1915-05-31,1915-05-31,2,0,0,0,0,0,2,0,0,2,0,0
1915,Buckeye League,P3887227,Price,,Marion,1915-05-23,1915-05-25,2,0,0,0,0,0,2,2,0,0,0,0
1915,Buckeye League,P2496991,Prout,,Canton,1915-05-19,1915-05-31,9,0,0,9,0,0,0,0,0,0,0,0
1915,Buckeye League,P9956981,Reynolds,,Lima,1915-05-25,1915-05-28,2,2,0,0,0,0,0,0,0,0,0,2
1915,Buckeye League,P5914685,Richmond,,Findlay,1915-05-26,1915-05-26,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P7840255,Samuels,,Canton,1915-05-22,1915-05-31,3,3,0,0,0,0,0,0,0,0,0,3
1915,Buckeye League,P3380374,Schultz,,Findlay,1915-05-25,1915-05-25,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P0609901,Schweitzer,,Lima,1915-05-27,1915-05-28,2,0,0,0,0,0,2,2,0,0,0,0
1915,Buckeye League,P3410250,Smith,,Canton,1915-05-25,1915-05-25,1,0,0,0,0,0,1,0,1,0,0,0
1915,Buckeye League,P5834083,Spahr,,Canton,1915-05-28,1915-05-31,2,2,0,0,0,0,0,0,0,0,0,2
1915,Buckeye League,P3866761,Strawn,,Newark,1915-05-23,1915-05-23,1,0,0,0,0,0,0,0,0,0,1,0
1915,Buckeye League,P8280131,Talbot,,Akron,1915-05-24,1915-05-27,4,0,0,0,0,0,0,0,0,0,4,0
1915,Buckeye League,P9238583,Talbott,,Akron,1915-05-19,1915-05-31,7,0,0,0,0,0,0,0,0,0,7,0
1915,Buckeye League,P9692161,Thoma,,Marion,1915-05-23,1915-05-25,2,0,0,0,0,0,2,0,2,0,0,0
1915,Buckeye League,P9295499,Walker,,Lima,1915-05-24,1915-05-28,2,2,0,0,0,0,0,0,0,0,0,2
1915,Buckeye League,P9507654,Warden,,Lima,1915-05-27,1915-05-28,2,0,0,0,2,0,0,0,0,0,0,0
1915,Buckeye League,P3118740,Weitel,,Newark,1915-05-23,1915-05-23,1,1,0,0,0,0,0,0,0,0,0,1
1915,Buckeye League,P1650275,Wetzel,,Marion,1915-05-23,1915-05-25,2,0,0,0,2,0,0,0,0,0,0,0
1915,Buckeye League,P5217047,Wilhelm,,Canton,1915-05-21,1915-05-22,2,1,0,0,0,0,0,0,0,0,0,1
