key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
BSKPHDN,1911-04-27,0,Ohio-Pennsylvania,regular,,Youngstown,5,,Akron,2,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110427.txt,,1,0,1,0,0,2,1,0,0,,,,,,0,1,0,0,0,0,1,0,0,,,,,
DZCXPPR,1911-04-27,0,Ohio-Pennsylvania,regular,,New Castle,3,Sugden,Canton,7,,1200,,,,,,transcript/1911/1911-GT/boxes/GT-19110427.txt,,1,1,0,0,0,0,1,0,0,,,,,,3,2,0,0,1,0,1,0,x,,,,,
CRXGXBQ,1911-04-27,0,Ohio-Pennsylvania,regular,,East Liverpool,3,,Erie,4,,,1:50,,,,,transcript/1911/1911-GT/boxes/GT-19110427.txt,,1,0,0,0,1,0,1,0,0,,,,,,0,0,0,2,0,2,0,0,x,,,,,
VXQVGVR,1911-04-27,0,Ohio-Pennsylvania,regular,,Steubenville,5,,Mansfield,6,,2137,,,,,,transcript/1911/1911-GT/boxes/GT-19110427.txt,"Pittsburgh Gazette, 1911-04-28, p. 9",3,0,1,1,0,0,0,0,0,0,0,,,,1,0,1,1,0,1,1,0,0,0,1,,,
HLWBZNP,1911-04-28,0,Ohio-Pennsylvania,regular,,Youngstown,2,,Akron,3,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110427.txt,,0,0,0,0,0,1,0,0,1,,,,,,0,2,1,0,0,0,0,0,x,,,,,
HWJTHSR,1911-04-28,0,Ohio-Pennsylvania,regular,,New Castle,6,,Canton,3,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110427.txt,"Pittsburgh Gazette, 1911-04-29, p. 10",2,0,0,0,0,2,0,0,2,,,,,,0,0,0,0,1,0,0,2,0,,,,,
FHNPTWY,1911-04-28,0,Ohio-Pennsylvania,regular,,East Liverpool,4,,Erie,7,,,1:30,,,,,transcript/1911/1911-GT/boxes/GT-19110427.txt,,3,0,0,0,0,1,0,0,0,,,,,,1,0,0,1,1,1,0,3,x,,,,,
SFZQNJR,1911-04-28,0,Ohio-Pennsylvania,regular,,Steubenville,3,,Mansfield,5,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110427.txt,,0,0,0,0,6,2,0,0,0,,,,,,0,2,0,0,2,1,0,0,0,,,,,
JSZRLTC,1911-04-29,0,Ohio-Pennsylvania,regular,,New Castle,1,,Akron,2,,,,,,,1,transcript/1911/1911-GT/boxes/GT-19110427.txt,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
WDKWPBN,1911-04-29,0,Ohio-Pennsylvania,regular,,Youngstown,2,,Canton,5,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110427.txt,,0,0,0,0,1,0,0,0,1,,,,,,3,0,0,0,0,0,0,2,x,,,,,
GNTRFGX,1911-04-29,0,Ohio-Pennsylvania,regular,,Steubenville,9,,Erie,10,,,2:20,,,,0,transcript/1911/1911-GT/boxes/GT-19110427.txt,,3,3,0,0,0,0,0,0,0,3,0,,,,4,1,0,2,0,2,0,0,1,,,,,
DFMYDWF,1911-04-29,0,Ohio-Pennsylvania,regular,,East Liverpool,3,,Mansfield,5,,,,,completed-early,rain,,transcript/1911/1911-GT/boxes/GT-19110427.txt,,3,0,0,0,0,,,,,,,,,,2,0,3,0,x,,,,,,,,,
HZNPCVL,1911-05-01,0,Ohio-Pennsylvania,regular,,Steubenville,3,,Canton,4,,,,,,,2,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,0,0,0,3,0,0,,,,,,0,0,0,0,0,1,0,0,3,,,,,
HHTGGGR,1911-05-02,0,Ohio-Pennsylvania,regular,,East Liverpool,4,,Akron,5,,15,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,1,0,2,0,1,0,,,,,,4,0,0,0,0,0,0,1,x,,,,,
PKMSQSS,1911-05-02,0,Ohio-Pennsylvania,regular,,Steubenville,0,,Canton,5,,200,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,3,1,0,x,,,,,
NWZLLMX,1911-05-02,0,Ohio-Pennsylvania,regular,,Youngstown,,,Erie,,,,,,postponed,cold,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPNDSBX,1911-05-02,0,Ohio-Pennsylvania,regular,,New Castle,1,,Mansfield,0,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,1,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,,,,,
BRBHYMW,1911-05-03,0,Ohio-Pennsylvania,regular,,Steubenville,1,,Akron,13,"Fohl, Lee",,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,1,0,0,0,0,0,,,,,,2,0,4,3,0,3,0,0,x,,,,,
TFWSZWX,1911-05-03,0,Ohio-Pennsylvania,regular,,East Liverpool,3,,Canton,1,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,1,0,0,0,0,0,2,0,0,,,,,,0,0,1,0,0,0,0,0,0,,,,,
YQKFXVN,1911-05-03,0,Ohio-Pennsylvania,regular,,New Castle,2,,Erie,6,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,1,0,0,1,0,0,,,,,,1,1,1,0,0,0,0,3,x,,,,,
VTPHLQF,1911-05-03,0,Ohio-Pennsylvania,regular,,Youngstown,0,,Mansfield,2,,,1:24,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,1,0,0,1,x,,,,,
MQRBRCH,1911-05-04,0,Ohio-Pennsylvania,regular,,Steubenville,1,,Akron,3,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,1,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,0,0,2,0,x,,,,,
NRQJDTH,1911-05-04,0,Ohio-Pennsylvania,regular,,East Liverpool,2,,Canton,3,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,1,0,0,0,1,0,0,0,0,,,,,,0,0,2,0,0,1,0,0,x,,,,,
FRQSYNC,1911-05-04,0,Ohio-Pennsylvania,regular,,New Castle,4,,Erie,9,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,1,0,1,0,0,1,0,0,1,,,,,,2,0,3,0,1,0,1,2,x,,,,,
YBSYRFG,1911-05-04,0,Ohio-Pennsylvania,regular,,Youngstown,2,,Mansfield,9,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,1,1,0,0,0,0,0,0,,,,,,0,0,0,0,0,5,3,1,x,,,,,
WHMPMJS,1911-05-05,0,Ohio-Pennsylvania,regular,,Erie,4,,East Liverpool,6,,3000,1:45,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,0,0,0,0,0,4,,,,,,0,0,4,0,0,0,1,1,x,,,,,
NSLZFQR,1911-05-05,0,Ohio-Pennsylvania,regular,,Canton,5,,New Castle,3,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,2,0,0,0,0,0,3,,,,,,0,1,0,0,0,0,1,1,0,,,,,
DCFQTRN,1911-05-05,0,Ohio-Pennsylvania,regular,,Mansfield,1,Hahn,Steubenville,2,,3000,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,1,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,0,1,x,,,,,
XYPFTHZ,1911-05-05,0,Ohio-Pennsylvania,regular,,Akron,7,,Youngstown,3,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,3,1,0,1,0,0,1,0,1,,,,,,0,0,0,0,0,0,3,0,0,,,,,
CBSLMDR,1911-05-06,0,Ohio-Pennsylvania,regular,,Erie,1,,East Liverpool,4,Phillips,1200,1:45,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,1,0,0,0,0,0,,,,,,1,0,1,0,0,2,0,0,x,,,,,
JXJKGLH,1911-05-06,0,Ohio-Pennsylvania,regular,,Canton,3,,New Castle,8,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,0,1,0,0,0,2,,,,,,0,0,0,0,3,0,0,5,x,,,,,
XPLFXHX,1911-05-06,0,Ohio-Pennsylvania,regular,,Mansfield,2,,Steubenville,4,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,1,0,0,0,0,1,,,,,,0,2,0,0,2,0,0,0,x,,,,,
LYGXLJC,1911-05-06,0,Ohio-Pennsylvania,regular,,Akron,5,,Youngstown,2,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,1,2,0,1,1,0,0,0,0,,,,,,0,0,0,0,0,0,1,0,1,,,,,
LKFJDKF,1911-05-07,0,Ohio-Pennsylvania,regular,,Youngstown,4,,Akron,2,,2500,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,1,0,1,0,0,2,0,0,,,,,,0,2,0,0,0,0,0,0,0,,,,,
ZRTLLLD,1911-05-07,0,Ohio-Pennsylvania,regular,,New Castle,3,,Canton,7,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,2,1,0,0,0,0,0,0,0,,,,,,2,3,0,0,0,0,2,0,x,,,,,
QTRXVYW,1911-05-07,0,Ohio-Pennsylvania,regular,,East Liverpool,3,,Erie,2,,,2:00,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,0,0,0,0,0,0,1,1,0,1,,,,,0,0,0,0,0,0,0,2,0,0,,,,
SNSYXXX,1911-05-07,0,Ohio-Pennsylvania,regular,,Steubenville,7,,Mansfield,0,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110501.txt,,1,1,0,0,0,2,0,2,1,,,,,,0,0,0,0,0,0,0,0,0,,,,,
GCJJWTN,1911-05-08,0,Ohio-Pennsylvania,regular,,Mansfield,1,,East Liverpool,11,,800,1:30,,,,,transcript/1911/1911-GT/boxes/GT-19110508.txt,,0,0,0,0,0,0,0,0,1,,,,,,0,3,1,0,0,7,0,0,x,,,,,
CHGFWJT,1911-05-08,0,Ohio-Pennsylvania,regular,,Akron,5,,New Castle,0,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110508.txt,,0,0,0,0,0,0,2,3,0,,,,,,0,0,0,2,0,0,0,0,0,,,,,
HKPQYCG,1911-05-08,0,Ohio-Pennsylvania,regular,,Erie,4,,Steubenville,5,,,,,,,1,transcript/1911/1911-GT/boxes/GT-19110508.txt,,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,1
JLXQNBX,1911-05-08,0,Ohio-Pennsylvania,regular,,Canton,1,,Youngstown,13,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110508.txt,,0,0,0,0,0,0,1,0,0,,,,,,3,0,3,1,0,0,2,4,x,,,,,
YDFYVPJ,1911-05-09,0,Ohio-Pennsylvania,regular,,Mansfield,9,,East Liverpool,7,,400,2:15,,,,,transcript/1911/1911-GT/boxes/GT-19110508.txt,,2,0,0,3,1,0,0,1,2,,,,,,3,0,0,3,0,0,1,0,0,,,,,
WYCZQLV,1911-05-09,0,Ohio-Pennsylvania,regular,,Akron,4,,New Castle,4,,,,,,,,transcript/1911/1911-GT/boxes/GT-19110508.txt,,1,0,2,0,0,1,0,0,0,,,,,,0,0,1,0,0,1,3,3,x,,,,,
