game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
TZDJSSM,1908,Central Kansas League,1908-06-25,0,regular,P3674333,Salthouse,
XJZGMKD,1908,Central Kansas League,1908-06-30,0,regular,P8343220,Nelson,
MYMDQMF,1908,Central Kansas League,1908-07-01,0,regular,P9031461,,
TGCYKKY,1908,Central Kansas League,1908-07-08,0,regular,P7693268,Rymer,
GNHJFFY,1908,Central Kansas League,1908-07-09,0,regular,P9031461,,
ZHDPKQH,1908,Central Kansas League,1908-07-10,0,regular,P9031461,,
QLRDGSX,1908,Central Kansas League,1908-07-11,0,regular,P9941586,Ashton,
NYWGDYR,1908,Central Kansas League,1908-07-17,0,regular,P1028375,Bush,
FHTTSQF,1908,Central Kansas League,1908-07-24,0,regular,P9031461,,
GRNYTMY,1908,Central Kansas League,1908-07-25,0,regular,P6496501,Myers,
CWNJQNJ,1908,Central Kansas League,1908-07-29,0,regular,P4957015,Hennessey,
CWNJQNJ,1908,Central Kansas League,1908-07-29,0,regular,P1600896,McElroy,
CVRVQVZ,1908,Central Kansas League,1908-07-30,0,regular,P9031461,,
QJQYTFF,1908,Central Kansas League,1908-07-31,0,regular,P9031461,,
DBLGDSG,1908,Central Kansas League,1908-08-01,0,regular,P7041555,Johnson,John
ZGLWQKD,1908,Central Kansas League,1908-08-04,0,regular,P9031461,,
PFYDQYV,1908,Central Kansas League,1908-08-05,0,regular,P9031461,,
XHDGLFX,1908,Central Kansas League,1908-08-08,0,regular,P4168932,Johnson,
WCLXDDN,1908,Central Kansas League,1908-08-12,0,regular,P9031461,,
XSCPJDC,1908,Central Kansas League,1908-08-13,0,regular,P8064196,Rimer,
HFJJWCF,1908,Central Kansas League,1908-08-18,0,regular,P4168932,Johnson,
