key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10
TZDJSSM,1908-06-25,0,Central Kansas,regular,,Minneapolis,3,,McPherson,0,,,,,,,,1908/1908-MDR/MDR-19080622.txt,"The McPherson Daily Republican Jun 26, 1908",0,1,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,
XJZGMKD,1908-06-30,0,Central Kansas,regular,,Ellsworth,4,,McPherson,6,,,1:35,,,,,1908/1908-MDR/MDR-19080629.txt,"The McPherson Daily Republican Jul 1, 1908",2,0,0,0,0,0,2,0,0,,2,0,1,0,0,1,0,2,x,
MYMDQMF,1908-07-01,0,Central Kansas,regular,,Ellsworth,2,,McPherson,4,,,,,,,,1908/1908-MDR/MDR-19080629.txt,"The McPherson Daily Republican Jul 2, 1908",1,0,1,0,0,0,0,0,0,,0,1,1,0,0,0,1,1,x,
TGCYKKY,1908-07-08,0,Central Kansas,regular,,Newton,6,,McPherson,1,,,1:40,,,,,1908/1908-MDR/MDR-19080706.txt,"The McPherson Daily Republican Jul 9, 1908",0,2,3,0,0,0,0,1,0,,0,0,0,0,1,0,0,0,0,
GNHJFFY,1908-07-09,0,Central Kansas,regular,,Minneapolis,2,,McPherson,1,,,,,,,,1908/1908-MDR/MDR-19080706.txt,"The McPherson Daily Republican Jul 10, 1908",0,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,0,
ZHDPKQH,1908-07-10,0,Central Kansas,regular,,Minneapolis,2,,McPherson,6,,,1:30,,,,,1908/1908-MDR/MDR-19080706.txt,"The McPherson Daily Republican Jul 11, 1908",0,0,0,0,0,1,0,0,1,,1,0,0,1,0,0,0,4,x,
QLRDGSX,1908-07-11,0,Central Kansas,regular,,Minneapolis,2,,McPherson,0,,,1:25,,,,,1908/1908-MDR/MDR-19080706.txt,"The McPherson Daily Republican Jul 13, 1908",0,0,0,0,0,0,0,2,0,,0,0,0,0,0,0,0,0,0,
NYWGDYR,1908-07-17,0,Central Kansas,regular,,Newton,1,,McPherson,0,,,1:40,,,,,1908/1908-MDR/MDR-19080713.txt,"The McPherson Daily Republican Jul 18, 1908",0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,
FHTTSQF,1908-07-24,0,Central Kansas,regular,,McPherson,4,,Little River,2,,,,,,,,1908/1908-MDR/MDR-19080720.txt,"The McPherson Daily Republicam Jul 25, 1908",0,1,2,0,0,1,0,0,0,,0,0,0,1,0,1,0,0,0,
GRNYTMY,1908-07-25,0,Central Kansas,regular,,McPherson,6,,Little River,4,,,,,,,,1908/1908-MDR/MDR-19080720.txt,"The McPherson Daily Republican Jul 27, 1908",0,1,4,0,0,0,1,0,0,,2,0,0,0,1,0,0,1,0,
CWNJQNJ,1908-07-29,0,Central Kansas,regular,,Minneapolis,2,,McPherson,3,,,1:25,,,,,1908/1908-MDR/MDR-19080727.txt,"The McPherson Daily Republican Jul 30, 1908",0,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,0,3,x,
CVRVQVZ,1908-07-30,0,Central Kansas,regular,,Minneapolis,8,,McPherson,3,,,,,,,,1908/1908-MDR/MDR-19080727.txt,"The McPherson Dailt Republican Jul 31, 1908",1,2,0,1,0,3,1,0,0,,0,0,0,1,0,1,1,0,0,
QJQYTFF,1908-07-31,0,Central Kansas,regular,,Newton,0,,McPherson,4,,,,,,,,1908/1908-MDR/MDR-19080727.txt,"The McPherson Daily Republican Aug 1, 1908",0,0,0,0,0,0,0,0,0,,2,0,0,1,0,0,0,1,x,
DBLGDSG,1908-08-01,0,Central Kansas,regular,,Newton,6,,McPherson,3,,,1:25,,,,,1908/1908-MDR/MDR-19080727.txt,"The McPherson Daily Republican Aug 3, 1908",0,0,0,0,0,4,0,0,2,,1,0,0,0,0,1,1,0,0,
ZGLWQKD,1908-08-04,0,Central Kansas,regular,,Little River,3,,McPherson,8,,,,,,,,1908/1908-MDR/MDR-19080803.txt,"The McPherson Daily Republican Aug 5, 1908",1,1,1,0,0,0,0,0,0,,0,2,3,2,0,1,0,0,x,
PFYDQYV,1908-08-05,0,Central Kansas,regular,,Little River,2,,McPherson,0,,,,,,,,1908/1908-MDR/MDR-19080803.txt,"The McPherson Daily Republican Aug 6, 1908",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
XHDGLFX,1908-08-08,0,Central Kansas,regular,,Newton,5,,McPherson,4,,,,,,,,1908/1908-MDR/MDR-19080803.txt,"The McPherson Daily Republican Aug 10, 1908",0,0,0,0,4,0,0,0,1,,2,0,0,0,0,0,2,0,0,
WCLXDDN,1908-08-12,0,Central Kansas,regular,,Little River,3,,McPherson,4,,,,,,,,1908/1908-MDR/MDR-19080810.txt,"The McPherson Daily Republican Aug 13, 1908",0,0,0,0,0,0,1,0,2,,0,0,0,0,2,1,0,1,0,
XSCPJDC,1908-08-13,0,Central Kansas,regular,,McPherson,2,,Little River,6,,,,,,,,1908/1908-MDR/MDR-19080810.txt,"The McPherson Daily Republican Aug 14, 1908",0,2,0,0,0,0,0,0,0,,0,0,3,0,2,0,0,1,x,
HFJJWCF,1908-08-18,0,Central Kansas,regular,,Ellsworth,0,,McPherson,4,,,,,,,,1908/1908-MDR/MDR-19080810.txt,"The McPherson Daily Republican Aug 19, 1908",0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,1,0,x,
