key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source
YDHGKKL,1911-05-27,0,Kansas State,regular,,McPherson,,,El Dorado,,,,,,postponed,rain,,1911/1911-THG/THG-19110525.txt,"The Hutchinson Gazette May 28, 1911"
SCFLXFS,1911-05-27,0,Kansas State,regular,,Lyons,,,Wellington,,,,,,postponed,rain,,1911/1911-THG/THG-19110525.txt,"The Hutchinson Gazette May 28, 1911"
