league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,Northern League,regular,P4958796,Bartoff,,1915-07-05,1915-07-05,1
1915,Northern League,regular,P3075363,Boley,,1915-09-02,1915-09-02,1
1915,Northern League,regular,P6113610,Carney,,1915-05-10,1915-08-30,78
1915,Northern League,regular,P1811310,Craig,,1915-05-30,1915-05-30,1
1915,Northern League,regular,P5321461,Fox,,1915-07-12,1915-08-25,52
1915,Northern League,regular,P5743485,Hawkins,,1915-09-01,1915-09-02,2
1915,Northern League,regular,P5821949,Hewitt,,1915-08-10,1915-08-10,1
1915,Northern League,regular,P4958152,Jacoba,,1915-05-18,1915-05-18,1
1915,Northern League,regular,P0086490,Jacobs,,1915-05-19,1915-07-11,28
1915,Northern League,regular,P2573846,Kennedy,,1915-05-10,1915-06-30,30
1915,Northern League,regular,P2320658,Landry,,1915-05-14,1915-09-03,27
1915,Northern League,regular,P2019878,Lundry,,1915-07-18,1915-07-18,1
1915,Northern League,regular,P7789156,Robert Boese,,1915-07-05,1915-07-05,1
1915,Northern League,regular,P4093053,Snyder,,1915-09-05,1915-09-06,4
1915,Northern League,regular,P5809300,Thomas,,1915-07-05,1915-07-05,1
1915,Northern League,regular,P3179194,W. Fox,,1915-07-23,1915-07-23,1
1915,Northern League,regular,P0053345,Wingfield,,1915-09-01,1915-09-01,1
1915,Northern League,regular,P6654365,Wright,,1915-08-10,1915-08-10,1
