key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
b3b8128d-f2fe-506f-9b96-0891d7d3387a,1915-05-06,0,Northern,regular,,Virginia,,,Fargo-Moorhead,,,,,,postponed,rain,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4f3e480a-e0c2-5a15-af4b-4b24ef726c67,1915-05-06,0,Northern,regular,,Fort William-Port Arthur,,,Grand Forks,,,,,,postponed,rain,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb6e9d0a-85f9-5e30-a273-8192dacdf988,1915-05-06,0,Northern,regular,,Superior,,,St. Boniface,,,,,,postponed,rain,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144c2bef-b692-56f8-95ad-79151b3f088d,1915-05-06,0,Northern,regular,,Duluth,,,Winnipeg,,,,,,postponed,rain,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8747c4f6-c6a6-52ae-8022-6019b68a314d,1915-05-07,0,Northern,regular,,Virginia,,,Fargo-Moorhead,,,,,,postponed,rain,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c06c3e4-6ea2-5223-951b-20738b1c981b,1915-05-07,0,Northern,regular,,Fort William-Port Arthur,,,Grand Forks,,,,,,postponed,rain,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1b71072e-cc51-5ea3-aa9c-ca36c59a1398,1915-05-07,0,Northern,regular,,Superior,,,St. Boniface,,,,,,postponed,rain,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5babf57-bbd4-5944-a26c-7392f6adc16b,1915-05-07,0,Northern,regular,,Duluth,,,Winnipeg,,,,,,postponed,rain,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d37b6469-d8cb-5a67-807c-9dd6faefb311,1915-05-08,0,Northern,regular,,Virginia,5,,Fargo-Moorhead,2,,,,,,,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 9, 1915",0,2,2,0,0,1,0,0,0,,,,,,,0,0,1,0,0,0,0,0,1,,,,,,
da085922-47a8-59b5-a7a2-846f29aa85dc,1915-05-08,0,Northern,regular,,Fort William-Port Arthur,3,,Grand Forks,6,,,,,,,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 9, 1915",1,0,0,0,2,0,0,0,0,,,,,,,0,1,0,0,1,4,0,0,x,,,,,,
2fc8a4cb-bb92-5f42-be38-2f072330ed3c,1915-05-08,0,Northern,regular,,Superior,3,,St. Boniface,11,,,,,,,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 9, 1915",0,0,0,0,0,0,0,3,0,,,,,,,2,0,0,2,0,3,4,0,x,,,,,,
5b1fa141-bfba-5301-8924-76428f5a04f5,1915-05-08,0,Northern,regular,,Duluth,,,Winnipeg,,,,,,,,,transcript/1915/1915-DNT/boxes/DNT-19150506.txt,"Duluth News-Tribune, May 9, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
