game.key,game.date,game.number,name.full
ac86f8c5-6f4a-5e78-b1f9-103911c4d942,1915-05-10,0,Kennedy
ac86f8c5-6f4a-5e78-b1f9-103911c4d942,1915-05-10,0,Carney
65d817f0-ae54-5396-b6ec-6c6221449e58,1915-05-11,0,Kennedy
bc17095e-418c-5196-8beb-f26403decd1d,1915-05-12,0,Kennedy
f632595b-e0b7-5c7f-95b9-03d817fd5aef,1915-05-13,0,Kennedy
4e3c3692-f0f9-5e7b-8002-3445499fb9a0,1915-05-14,0,Landry
2c01d48f-fee4-5dd5-8c17-650c9a0914f1,1915-05-16,0,Landry
1ed78f96-073d-51f6-a714-bb72a4a67ee4,1915-05-18,0,Jacoba
0be7a04a-af84-51bd-a8b0-8a2a68b1fe5f,1915-05-19,0,Jacobs
8f8bad5e-dfab-5ef6-96df-c3d6eefa53b2,1915-05-20,0,Jacobs
4c86c46b-8cfb-5d7a-8885-521dbe9ce0b8,1915-05-22,0,Carney
20019729-0553-5ccb-8624-b3f5659d1849,1915-05-23,0,Carney
f808a492-3f2e-5888-a323-f9d2846a0e70,1915-05-24,1,Carney
77059669-15fb-574b-8eae-0a22283d8794,1915-05-24,2,Carney
f39f1ac5-d4a7-55b4-968a-ece0116cc2e1,1915-05-25,0,Carney
263f5a77-3fa9-5f44-865a-0b823d3bd00b,1915-05-26,0,Kennedy
1ac5b220-34f4-5e1c-83c0-5f65f6814e66,1915-05-27,0,Carney
5ec70a2b-ffcc-509f-9db0-a5f5f3c607c0,1915-05-27,0,Kennedy
2fed57a2-46dd-5a84-8b6c-4f0485d229ad,1915-05-28,0,Carney
b1e8c8c4-2716-5174-9b7a-851943aff669,1915-05-28,0,Kennedy
e2f9a7a9-4939-5d34-b60c-4531ad826a2f,1915-05-29,0,Kennedy
44138110-9f8f-5ca1-93f0-1b80d4e1878c,1915-05-29,0,Carney
280ff433-4bcf-59c9-beec-62d5a785d1db,1915-05-30,0,Kennedy
157a3a23-94cc-5815-9297-b121b8266fb4,1915-05-30,0,Craig
fea24828-a54e-5f48-8b08-e287c37e0204,1915-05-31,1,Kennedy
727f713b-c177-5b33-abb9-390530b8f001,1915-05-31,2,Kennedy
b71b161f-b551-5ff5-aa36-7968a4bd099c,1915-05-31,1,Carney
0a0d5f41-1c09-5570-b36a-15e7df7a3b13,1915-05-31,2,Carney
0cb09271-02f7-5568-92d7-ac749e10b0e7,1915-05-31,2,Jacobs
e228c653-3fa1-5a19-97c2-bd9761d4b591,1915-06-01,0,Kennedy
