key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
JGRXRNZ,1910-06-01,0,Central Kansas,regular,,Beloit,1,,Concordia,6,,,,,final,,,1910/1910-CDK/CDK-19100530.txt,"Concordia Daily Kansan Jun 2, 1910",0,1,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,1,0,5,x,,,,,,
TTPLMJR,1910-06-10,1,Central Kansas,regular,,Concordia,4,,Ellsworth,1,,,,,final,,,1910/1910-CDK/CDK-19100606.txt,"Concordia Daily Kansan Jun 11, 1910",0,1,1,0,0,0,2,0,0,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,
LTKMWVX,1910-06-21,0,Central Kansas,regular,,Abilene,1,,Concordia,6,,,,,final,,,1910/1910-CDK/CDK-19100620.txt,"Concordia Daily Kansan Jun 22, 1910",0,0,0,0,0,1,0,0,0,,,,,,,4,0,0,1,1,0,0,0,x,,,,,,
VBVLVGD,1910-06-22,0,Central Kansas,regular,,Abilene,5,,Concordia,6,,,2:25,,final,,,1910/1910-CDK/CDK-19100620.txt,"Concordia Daily Kansan Jun 23, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QGKZTPW,1910-06-23,0,Central Kansas,regular,,Junction City,3,,Concordia,6,,,,,final,,,1910/1910-CDK/CDK-19100620.txt,"Concordia Daily Kansan Jun 24, 1910",0,0,0,2,0,0,1,0,0,,,,,,,0,0,0,3,1,1,0,1,x,,,,,,
WXWSQVL,1910-06-24,0,Central Kansas,regular,,Junction City,3,,Concordia,0,,,,,final,,,1910/1910-CDK/CDK-19100620.txt,"Concordia Daily Kansan Jun 25, 1910",0,1,0,0,0,0,0,2,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
SQDKBCD,1910-06-25,0,Central Kansas,regular,,Junction City,4,,Concordia,0,,,,,final,,,1910/1910-CDK/CDK-19100620.txt,"Concordia Daily Kansan Jun 27, 1910",0,3,0,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
YHPQRVB,1910-07-04,1,Central Kansas,regular,,Beloit,4,,Concordia,6,,,,,final,,,1910/1910-CDK/CDK-19100704.txt,"Concordia Daily Kansan Jul 5, 1910",0,0,0,1,0,3,0,0,0,,,,,,,1,2,0,2,1,0,0,0,x,,,,,,
HCHKBSR,1910-07-04,2,Central Kansas,regular,,Beloit,4,,Concordia,9,,,,,final,,,1910/1910-CDK/CDK-19100704.txt,"Concordia Daily Kansan Jul 4, 1910",2,0,0,0,0,1,1,0,0,,,,,,,3,0,0,2,1,0,3,0,x,,,,,,
RWQYJGR,1910-07-17,0,Central Kansas,regular,,Concordia,3,,Junction City,2,,,,,final,,,1910/1910-CDK/CDK-19100711.txt,"Concordia Daily Kansan Jul 19, 1910",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XHWDPPZ,1910-07-19,0,Central Kansas,regular,,Concordia,6,,Junction City,4,,,,,final,,,1910/1910-CDK/CDK-19100718.txt,"Concordia Daily Kansan Jul 21, 1910",2,0,1,2,0,0,1,0,0,,,,,,,0,1,0,0,0,0,0,2,1,,,,,,
BXSNCKF,1910-08-15,0,Central Kansas,regular,,Clay Center,0,,Concordia,11,,,1:45,,final,,,1910/1910-CDK/CDK-19100815.txt,"Concordia Daily Kansan Aug 16, 1910",0,0,0,0,0,0,0,0,0,,,,,,,4,1,3,0,0,1,2,0,x,,,,,,
JPNYKRL,1910-08-16,0,Central Kansas,regular,,Clay Center,2,,Concordia,6,,,,,final,,,1910/1910-CDK/CDK-19100815.txt,"Concordia Daily Kansan Aug 17, 1910",0,1,1,0,0,0,0,0,0,,,,,,,1,3,0,0,0,1,1,0,x,,,,,,
WFGGWPM,1910-08-20,1,Central Kansas,regular,,Concordia,0,,Manhattan,2,,,,,final,,,1910/1910-CDK/CDK-19100815.txt,"Concordia Blade-Empire Aug 22, 1910",0,0,0,0,0,0,0,,,,,,,,,0,0,1,0,1,0,x,,,,,,,,
BZCCKDS,1910-08-20,2,Central Kansas,regular,,Concordia,1,,Manhattan,5,,,,,final,,,1910/1910-CDK/CDK-19100815.txt,"Concordia Daily Kansan Aug 22, 1910",0,0,0,0,1,0,0,,,,,,,,,0,0,0,0,3,2,x,,,,,,,,
