key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11
WHTYGLD,1910-05-18,0,Central Kansas,regular,,Clay Center,8,,Concordia,6,,400,2:00,,final,,,1910/1910-CCD/CCD-19100516.txt,"The Clay Center Dispatch May 19, 1910",0,2,1,0,0,0,2,3,0,,,2,0,3,0,0,0,0,0,1,,
PFLMYRW,1910-05-31,1,Central Kansas,regular,,Abilene,0,,Clay Center,5,,,1:40,,final,,,1910/1910-CCD/CCD-19100530.txt,"The Clay Center Dispatch Jun 1, 1910",0,0,0,0,0,0,0,0,0,,,0,3,0,0,1,1,0,0,x,,
STFKBGL,1910-05-31,2,Central Kansas,regular,,Abilene,1,,Clay Center,9,,,1:50,,final,,,1910/1910-CCD/CCD-19100530.txt,"The Clay Center Dispatch Jun 1, 1910",0,0,0,0,0,0,1,0,0,,,0,6,0,0,1,0,2,0,x,,
QZCMXTY,1910-06-01,0,Central Kansas,regular,,Abilene,2,,Clay Center,3,,300,2:10,,final,,1,1910/1910-CCD/CCD-19100530.txt,"The Clay Center Dispatch Jun 2, 1910",0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
SLFZNNR,1910-06-02,0,Central Kansas,regular,,Clay Center,4,,Manhattan,3,,400,1:30,,final,,,1910/1910-CCD/CCD-19100530.txt,"The Clay Center Dispatch Jun 3, 1910",3,0,0,0,0,1,0,0,0,,,0,0,2,0,0,1,0,0,0,,
PFNBPRN,1910-06-06,0,Central Kansas,regular,,Clay Center,0,,Junction City,3,,400,1:30,,final,,,1910/1910-CCD/CCD-19100606.txt,"The Clay Center Dispatch Jun 7, 1910",0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,1,1,0,,
NNYYYZK,1910-06-09,0,Central Kansas,regular,,Junction City,1,,Clay Center,3,,300,1:30,,final,,,1910/1910-CCD/CCD-19100606.txt,"The Clay Center Dispatch Jun 10, 1910",0,0,0,0,0,0,1,0,0,,,0,0,0,0,0,2,1,0,0,,
SCDKGGK,1910-06-28,0,Central Kansas,regular,,Beloit,3,,Clay Center,4,,200,2:00,,final,,1,1910/1910-CCD/CCD-19100627.txt,"The Clay Center Dispatch Jun 29, 1910",0,0,2,0,0,1,0,0,0,,,0,1,1,0,0,1,0,0,1,,
WYXRBGK,1910-06-29,0,Central Kansas,regular,,Beloit,0,,Clay Center,5,,300,1:35,,final,,,1910/1910-CCD/CCD-19100627.txt,"The Clay Center Dispatch Jun 30, 1910",0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,3,1,0,0,,
BDJJTDM,1910-06-30,0,Central Kansas,regular,,Concordia,2,,Clay Center,6,,400,1:40,,final,,,1910/1910-CCD/CCD-19100627.txt,"The Clay Center Dispatch Jul 1, 1910",0,0,2,0,0,0,0,0,0,,,4,0,0,0,0,0,0,2,x,,
YFMWYRP,1910-07-04,1,Central Kansas,regular,,Clay Center,2,,Manhattan,3,,,,,final,,2,1910/1910-CCD/CCD-19100704.txt,"The Clay Center Dispatch Jul 5, 1910",0,0,0,0,0,0,0,2,0,,,0,0,0,1,0,0,0,0,2,,
BQFPTZC,1910-07-04,2,Central Kansas,regular,,Clay Center,0,,Manhattan,8,,1500,,,final,,,1910/1910-CCD/CCD-19100704.txt,"The Clay Center Dispatch Jul 4, 1910",0,0,0,0,0,0,0,0,0,,,3,0,0,0,0,2,2,1,x,,
FQLFWZM,1910-07-08,0,Central Kansas,regular,,Abilene,5,,Clay Center,8,,300,1:30,,final,,,1910/1910-CCD/CCD-19100704.txt,"The Clay Center Dispatch Jul 9, 1910",1,0,0,0,0,0,0,3,1,,,3,0,0,3,0,2,0,0,x,,
HLTPGYR,1910-07-09,0,Central Kansas,regular,,Abilene,0,,Clay Center,4,,400,1:40,,final,,,1910/1910-CCD/CCD-19100704.txt,"The Clay Center Dispatch Jul 11, 1910",0,0,0,0,0,0,0,0,0,,,0,0,0,2,0,1,0,1,x,,
ZPMWTMX,1910-07-12,0,Central Kansas,regular,,Concordia,4,,Clay Center,2,,300,1:50,,final,,,1910/1910-CCD/CCD-19100711.txt,"The Clay Center Dispatch Jul 13, 1910",2,0,1,0,0,0,0,0,1,,,0,0,0,0,0,1,1,0,0,,
YGHZWJZ,1910-07-13,0,Central Kansas,regular,,Concordia,0,,Clay Center,1,,250,1:30,,completed early,to allow both teams to catch the train,1,1910/1910-CCD/CCD-19100711.txt,"The Caly Center Dispatch Jul 14, 1910",0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,1,x,,,
KZWDZCT,1910-07-16,0,Central Kansas,regular,,Clay Center,2,,Beloit,1,,,,,final,,,1910/1910-CCD/CCD-19100711.txt,The Clay Center Dispatch,0,0,0,0,0,0,0,2,0,,,0,0,0,0,0,1,0,0,0,,
BBWGHWK,1910-07-18,0,Central Kansas,regular,,Ellsworth,2,,Clay Center,8,,,2:00,,final,,,1910/1910-CCD/CCD-19100718.txt,"The Clay Center Dispatch Jul 19, 1910",0,0,1,0,1,0,0,0,0,,,0,0,0,1,1,2,3,1,x,,
MCSPCPV,1910-07-19,0,Central Kansas,regular,,Ellsworth,8,,Clay Center,3,,,1:40,,final,,,1910/1910-CCD/CCD-19100718.txt,"The Clay Center Dispatch Jul 19, 1910",0,0,0,2,0,4,0,1,1,,,0,2,0,0,1,0,0,0,0,,
LRVYSVV,1910-07-20,0,Central Kansas,regular,,Ellsworth,1,,Clay Center,0,,350,1:35,,final,,,1910/1910-CCD/CCD-19100718.txt,"The Clay Center Dispatch Jul 21, 1910",0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
