game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
VXFSMTX,1915,Florida-Alabama-Georgia League,1915-06-14,0,regular,P0929420,White,
YYVJYXX,1915,Florida-Alabama-Georgia League,1915-06-14,0,regular,P9539623,La Rocque,
KYGZHQN,1915,Florida-Alabama-Georgia League,1915-06-14,0,regular,P6165173,Wagnon,
FTHGMGR,1915,Florida-Alabama-Georgia League,1915-06-15,0,regular,P5169690,Rocque,
QLWVSLX,1915,Florida-Alabama-Georgia League,1915-06-15,0,regular,P1617519,McFarlan,
QLWVSLX,1915,Florida-Alabama-Georgia League,1915-06-15,0,regular,P6089915,Ery,
CXQMWMK,1915,Florida-Alabama-Georgia League,1915-06-15,0,regular,P6165173,Wagnon,
DYCKKJP,1915,Florida-Alabama-Georgia League,1915-06-16,0,regular,P8307043,Wiggins,
DYCKKJP,1915,Florida-Alabama-Georgia League,1915-06-16,0,regular,P4456324,Burke,
JVYPGYH,1915,Florida-Alabama-Georgia League,1915-06-16,0,regular,P9539623,La Rocque,
FLXRKKF,1915,Florida-Alabama-Georgia League,1915-06-16,0,regular,P6165173,Wagnon,
CJPNDQZ,1915,Florida-Alabama-Georgia League,1915-06-17,0,regular,P4557895,LaRocque,
JVHXXZJ,1915,Florida-Alabama-Georgia League,1915-06-17,0,regular,P7127381,Stewart,
XVZQHYV,1915,Florida-Alabama-Georgia League,1915-06-17,0,regular,P6165173,Wagnon,
PTJWMXC,1915,Florida-Alabama-Georgia League,1915-06-18,0,regular,P6165173,Wagnon,
XYHQMLL,1915,Florida-Alabama-Georgia League,1915-06-18,0,regular,P4557895,LaRocque,
KSSPTHQ,1915,Florida-Alabama-Georgia League,1915-06-18,0,regular,P7127381,Stewart,
KDQSGMN,1915,Florida-Alabama-Georgia League,1915-06-19,0,regular,P6165173,Wagnon,
XRMMGKY,1915,Florida-Alabama-Georgia League,1915-06-19,1,regular,P7127381,Stewart,
WTCFLPZ,1915,Florida-Alabama-Georgia League,1915-06-19,2,regular,P7127381,Stewart,
DXGFDBQ,1915,Florida-Alabama-Georgia League,1915-06-19,0,regular,P8352516,Laroque,
JGGVMLT,1915,Florida-Alabama-Georgia League,1915-06-21,0,regular,P7127381,Stewart,
WWQNLDQ,1915,Florida-Alabama-Georgia League,1915-06-21,0,regular,P2833764,LaRoque,
CYXQHML,1915,Florida-Alabama-Georgia League,1915-06-22,0,regular,P7127381,Stewart,
HHWYQFJ,1915,Florida-Alabama-Georgia League,1915-06-22,1,regular,P6165173,Wagnon,
XJYPSSX,1915,Florida-Alabama-Georgia League,1915-06-22,2,regular,P6165173,Wagnon,
YCWYZRM,1915,Florida-Alabama-Georgia League,1915-06-22,0,regular,P9539623,La Rocque,
NYMZZQP,1915,Florida-Alabama-Georgia League,1915-06-23,0,regular,P9539623,La Rocque,
VVXXNVW,1915,Florida-Alabama-Georgia League,1915-06-23,0,regular,P6165173,Wagnon,
KJZPLBL,1915,Florida-Alabama-Georgia League,1915-06-23,0,regular,P7127381,Stewart,
BRVXVRC,1915,Florida-Alabama-Georgia League,1915-06-24,0,regular,P6165173,Wagnon,
WMPPZXS,1915,Florida-Alabama-Georgia League,1915-06-24,0,regular,P4557895,LaRocque,
YTWVHGT,1915,Florida-Alabama-Georgia League,1915-06-24,0,regular,P7127381,Stewart,
FTQNFBF,1915,Florida-Alabama-Georgia League,1915-06-25,0,regular,P7127381,Stewart,
DHVFZHJ,1915,Florida-Alabama-Georgia League,1915-06-25,0,regular,P0929420,White,
ZHJRJZH,1915,Florida-Alabama-Georgia League,1915-06-25,0,regular,P4557895,LaRocque,
XNQXTQZ,1915,Florida-Alabama-Georgia League,1915-06-26,0,regular,P0929420,White,
WQYDJRD,1915,Florida-Alabama-Georgia League,1915-06-26,0,regular,P7127381,Stewart,
CRLDNHK,1915,Florida-Alabama-Georgia League,1915-06-26,0,regular,P4557895,LaRocque,
CYJPWKT,1915,Florida-Alabama-Georgia League,1915-06-28,0,regular,P7127381,Stewart,
KZZLJBQ,1915,Florida-Alabama-Georgia League,1915-06-28,0,regular,P2833764,LaRoque,
QZYGBLS,1915,Florida-Alabama-Georgia League,1915-06-29,0,regular,P7127381,Stewart,
QPJBMPZ,1915,Florida-Alabama-Georgia League,1915-06-29,1,regular,P0929420,White,
