league.year,league.name,ident,entry.name,S_FIRST,S_LAST,B_G,B_AB,B_R,B_H,B_2B,B_3B,B_HR,B_SB,F_P_G,F_C_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G
1915,Blue Ridge League,1915-BLRI:agnew,Frederick,1915-06-04,1915-08-26,67,224,34,57,10,,1,14,0,0,1,66,0,0,0,0,0,0
1915,Blue Ridge League,1915-BLRI:barnhart,Frederick,1915-05-27,1915-08-26,73,237,39,71,13,5,6,9,0,0,0,1,72,0,0,0,0,0
1915,Blue Ridge League,1915-BLRI:barton,Hagerstown,1915-07-31,1915-08-25,9,24,2,5,,,,,8,0,0,0,1,1,0,0,0,0
1915,Blue Ridge League,1915-BLRI:bashore,Gettysburg,1915-07-03,1915-08-26,51,191,11,40,9,4,,3,0,0,12,1,0,0,39,25,8,6
1915,Blue Ridge League,1915-BLRI:bauer,Martinsburg,1915-06-04,1915-06-07,3,2,0,1,,,,1,0,0,0,1,0,0,2,0,2,0
1915,Blue Ridge League,1915-BLRI:beall,Frederick,1915-05-31,1915-05-31,1,4,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,1915-BLRI:bigler,Gettysburg,1915-06-12,1915-08-26,69,267,44,71,6,2,2,28,0,2,0,1,66,1,0,0,0,0
1915,Blue Ridge League,1915-BLRI:bitters,Chambersburg,1915-05-28,1915-06-24,9,8,2,4,1,,,,8,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,1915-BLRI:bitters,Gettysburg,1915-06-26,1915-06-26,1,2,0,0,,,,,1,0,0,0,0,0,0,0,0,0
1915,Blue Ridge League,1915-BLRI:blunt,Hagerstown,1915-06-07,1915-07-01,23,64,5,16,4,1,,2,0,15,2,0,0,0,6,6,0,0
1915,Blue Ridge League,1915-BLRI:boyd,Hagerstown,1915-06-25,1915-07-26,7,16,3,2,1,1,,1,7,0,0,0,0,0,0,0,0,0
