key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9
CSBZPGT,1911-05-06,0,Carolina Association,regular,,Spartanburg,5,,Charlotte,21,,1350,2:10,,,,,transcript/1911/1911-GDN/boxes/GDN-19110504.txt,"Greensboro Daily News, May 7, 1911",1,0,0,0,0,1,2,0,1,2,0,4,1,3,3,0,8,x
JGTTNQG,1911-05-06,0,Carolina Association,regular,,Greensboro,11,,Greenville,3,,550,1:40,,,,,transcript/1911/1911-GDN/boxes/GDN-19110504.txt,"Greensboro Daily News, May 7, 1911",5,0,3,0,0,0,3,0,0,0,0,0,0,0,0,2,1,0
FBZWHYW,1911-05-09,1,Carolina Association,regular,,Anderson,2,,Greensboro,7,,700,1:40,,,,,transcript/1911/1911-GDN/boxes/GDN-19110504.txt,"Greensboro Daily News, May 10, 1911",0,1,0,0,0,1,0,0,0,5,0,0,2,0,0,0,0,x
KLTWDNC,1911-05-09,2,Carolina Association,regular,,Anderson,6,,Greensboro,7,,1100,1:50,,,,1,transcript/1911/1911-GDN/boxes/GDN-19110504.txt,"Greensboro Daily News, May 10, 1911",2,0,1,1,0,0,2,0,0,4,0,0,0,0,0,0,0,3
KYKWCZZ,1911-05-20,1,Carolina Association,regular,,Anderson,4,,Charlotte,0,,550,1:30,,,,,transcript/1911/1911-GDN/boxes/GDN-19110518.txt,"Greensboro Daily News, May 21, 1911",0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
QZKPLLB,1911-06-08,0,Carolina Association,regular,,Anderson,1,,Greensboro,10,,600,1:42,,,,,transcript/1911/1911-GDN/boxes/GDN-19110602.txt,"Greensboro Daily News, Jun 9, 1911",0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,2,x
MRJJWMN,1911-06-15,0,Carolina Association,regular,,Spartanburg,1,,Anderson,3,,,1:50,,,,,transcript/1911/1911-GDN/boxes/GDN-19110609.txt,"Greensboro Daily News, Jun 16, 1911",0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,x
RZGFQHP,1911-06-17,0,Carolina Association,regular,,Greensboro,4,,Winston-Salem,7,,3000,1:45,,,,,transcript/1911/1911-GDN/boxes/GDN-19110616.txt,"Greensboro Daily News, Jun 18, 1911",1,0,3,0,0,0,0,0,0,4,0,0,0,1,1,0,1,x
PDQTXRV,1911-06-26,0,Carolina Association,regular,,Greensboro,12,,Anderson,15,,125,2:15,,,,,transcript/1911/1911-GDN/boxes/GDN-19110623.txt,"Greensboro Daily News, Jun 27, 1911",2,0,3,0,1,0,2,2,2,2,3,0,2,3,4,1,0,0
FZYKNRL,1911-06-27,0,Carolina Association,regular,,Spartanburg,7,,Winston-Salem,6,,600,2:20,,,,,transcript/1911/1911-GDN/boxes/GDN-19110623.txt,"Greensboro Daily News, Jun 28, 1911",0,4,2,0,0,0,0,1,0,0,1,0,1,0,2,0,0,2
VFLXLGZ,1911-07-03,0,Carolina Association,regular,,Greensboro,5,,Winston-Salem,7,,800,2:00,,,,,transcript/1911/1911-GDN/boxes/GDN-19110630.txt,"Greensboro Daily News, Jul 4, 1911",2,0,0,0,0,0,1,1,1,2,1,0,3,0,1,0,0,x
