key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9
YJXMTNZ,1909-06-14,0,Central Kansas,regular,,Salina,5,,Manhattan,0,,2000,1:30,,,,,1909/1909-TMC/TMC-19090614.txt,"The Morning Chronicle Jun 15, 1909",2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VMWSWZK,1909-06-15,0,Central Kansas,regular,,Salina,2,,Manhattan,0,,,1:30,,,,,1909/1909-TMC/TMC-19090614.txt,"The Morning Chronicle Jun 16, 1909",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TPNXVTK,1909-06-16,0,Central Kansas,regular,,Ellsworth,9,,Manhattan,5,,600,1:55,,,,,1909/1909-TMC/TMC-19090614.txt,"The Morning Chronicle Jun 17, 1909",0,0,0,0,2,1,6,0,0,0,0,0,0,2,0,0,2,1
CYGSXSC,1909-06-17,0,Central Kansas,regular,,Ellsworth,11,,Manhattan,0,,,1:40,,,,,1909/1909-TMC/TMC-19090614.txt,"The Morning Chronicle Jun 18, 1909",3,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0
QGYYCPV,1909-06-18,0,Central Kansas,regular,,Manhattan,3,,Minneapolis,4,,600,1:30,,,,,1909/1909-TMC/TMC-19090614.txt,"The Morning Chronicle Jun 19, 1909",0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,1,x
KWRGKXR,1909-06-19,0,Central Kansas,regular,,Manhattan,11,,Minneapolis,8,,500,1:50,,,,,1909/1909-TMC/TMC-19090614.txt,"The Morning Chronicle Jun 22, 1909",2,0,0,2,3,0,0,4,0,3,0,2,2,0,0,0,1,0
QQDKQYJ,1909-06-26,0,Central Kansas,regular,,Manhattan,4,,Junction City,5,,,,,,,,1909/1909-TMC/TMC-19090621.txt,"The Morning Chronicle Jun 28, 1909",0,0,0,0,1,0,1,2,0,2,1,0,0,2,0,0,0,x
XMNQKWR,1909-06-28,0,Central Kansas,regular,,Minneapolis,1,,Manhattan,1,,,1:50,,,,,1909/1909-TMC/TMC-19090628.txt,"The Morning Chronicle Jun 29, 1909",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JHTXHKK,1909-06-29,0,Central Kansas,regular,,Minneapolis,8,,Manhattan,3,,,2:00,,,,,1909/1909-TMC/TMC-19090628.txt,"The Morning Chronicle Jun 30, 1909",0,0,0,1,6,0,0,0,1,1,0,0,1,0,0,0,1,0
YXKVMTP,1909-06-30,0,Central Kansas,regular,,Beloit,0,,Manhattan,6,,,1:17,,called after 6 innings,darkness,,1909/1909-TMC/TMC-19090628.txt,"The Morning Chronicle Jul 1, 1909",0,0,0,0,0,0,,,,0,0,3,1,2,x,,,
JWGKJXJ,1909-07-03,1,Central Kansas,regular,,Manhattan,0,,Clay Center,3,,600,1:45,,,,,1909/1909-TMC/TMC-19090628.txt,"The Morning Chronicle Jul 5, 1909",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,x
BQPMKVX,1909-07-03,2,Central Kansas,regular,,Manhattan,6,,Clay Center,7,,700,1:40,,,,,1909/1909-TMC/TMC-19090628.txt,"The Morning Chronicle Jul 5, 1909",0,0,0,0,1,4,1,0,0,1,0,0,0,3,0,3,0,x
