key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14
JPWRSWG,1911-04-27,0,Carolina Association,regular,,Winston-Salem,6,,Charlotte,1,,1850,1:45,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The Charlotte News, Apr 28, 1911",0,0,0,3,0,0,0,0,3,,,,,,0,0,1,0,0,0,0,0,0,,,,,
LDRFVDJ,1911-04-27,0,Carolina Association,regular,,Spartanburg,3,,Greensboro,13,,1700,1:45,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The Charlotte News, Apr 28, 1911",0,0,0,0,0,0,1,0,2,,,,,,3,0,0,0,0,1,1,5,x,,,,,
RBRGTPX,1911-04-27,0,Carolina Association,regular,,Anderson,5,,Greenville,2,,1000,2:08,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The Charlotte News, Apr 28, 1911",2,0,0,2,0,1,0,0,x,,,,,,0,0,1,1,0,0,0,0,0,,,,,
WFYJYXM,1911-04-28,0,Carolina Association,regular,,Winston-Salem,7,,Charlotte,8,,500,2:01,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The Charlotte News, Apr 29, 1911",0,0,0,3,0,0,4,0,0,,,,,,0,1,3,0,0,0,0,4,x,,,,,
MKNHZVJ,1911-04-28,0,Carolina Association,regular,,Spartanburg,5,,Greensboro,3,,600,1:15,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The Charlotte News, Apr 29, 1911",0,0,0,4,0,0,0,1,0,,,,,,0,0,0,0,1,0,0,2,0,,,,,
CTBYGHX,1911-04-28,0,Carolina Association,regular,,Anderson,1,,Greenville,6,,300,1:39,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The Charlotte News, Apr 29, 1911",0,0,0,0,0,0,1,0,0,,,,,,0,0,2,0,4,0,0,0,0,,,,,
RSRYDMH,1911-05-02,0,Carolina Association,regular,,Charlotte,2,,Anderson,6,,,2:06,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The (Charlotte) Evening News, May 3, 1911",0,0,1,1,0,0,0,0,0,,,,,,0,0,1,3,1,0,1,0,x,,,,,
WDKYKDM,1911-05-02,0,Carolina Association,regular,,Greensboro,5,,Winston-Salem,7,,750,2:05,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The (Charlotte) Evening News, May 3, 1911",1,0,0,0,2,3,0,0,0,,,,,,0,2,0,0,0,1,0,4,x,,,,,
LSLQSCM,1911-05-03,0,Carolina Association,regular,,Charlotte,3,,Anderson,11,,,1:45,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The (Charlotte) Evening News, May 4, 1911",0,1,2,0,0,0,0,0,0,,,,,,0,0,0,0,0,3,4,4,x,,,,,
MWXYMLJ,1911-05-03,0,Carolina Association,regular,,Greenville,2,,Spartanburg,14,,900,1:40,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The (Charlotte) Evening News, May 4, 1911",0,2,0,0,0,0,0,0,0,,,,,,2,1,3,2,1,0,2,3,x,,,,,
CCDRCMR,1911-05-03,0,Carolina Association,regular,,Greensboro,9,,Winston-Salem,4,,500,2:00,,,,,transcript/1911/1911-CN/boxes/CN-19110427.txt,"The (Charlotte) Evening News, May 4, 1911",1,0,0,0,5,2,1,0,0,,,,,,0,2,0,1,0,0,1,0,0,,,,,
