league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,Blue Ridge League,P8373229,Sutton,,Gettysburg,1915-07-02,1915-07-02,1,0,0,0,0,0,1,1,0,0,0,0
1915,Blue Ridge League,P3704187,Swallow,,Hagerstown,1915-08-10,1915-08-18,3,3,0,0,0,0,0,0,0,0,0,3
1915,Blue Ridge League,P1008747,Swartz,,Gettysburg,1915-07-26,1915-08-23,5,1,0,5,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P5539743,Sweeney,,Frederick,1915-05-29,1915-05-29,1,0,0,0,0,0,1,1,0,0,0,0
1915,Blue Ridge League,P3478326,Thompson,,Martinsburg,1915-07-16,1915-08-11,7,0,0,7,0,0,0,0,0,0,0,0
1915,Blue Ridge League,P5818146,Thornet,,Martinsburg,1915-05-29,1915-05-29,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,P5302175,Thornetti,,Martinsburg,1915-05-28,1915-05-28,1,0,0,0,1,0,0,0,0,0,0,0
1915,Blue Ridge League,P2511459,Tomkins,,Martinsburg,1915-08-26,1915-08-26,1,1,0,0,0,0,0,0,0,0,0,1
1915,Blue Ridge League,P3973057,Traub,,Hanover,1915-05-27,1915-06-10,4,4,0,0,0,0,0,0,0,0,0,4
1915,Blue Ridge League,P6947872,Troy,,Hagerstown,1915-06-23,1915-08-25,53,0,0,52,0,0,0,0,0,0,1,0
1915,Blue Ridge League,P6824825,Waite,,Frederick,1915-08-09,1915-08-25,7,0,0,0,0,0,0,0,0,0,7,0
1915,Blue Ridge League,P4388865,Walter,,Hagerstown,1915-06-26,1915-06-26,2,0,0,0,0,0,2,0,2,0,0,0
1915,Blue Ridge League,P5254356,Walters,,Hagerstown,1915-05-27,1915-08-25,65,0,0,0,0,0,65,0,64,1,0,0
1915,Blue Ridge League,P1648636,Welcher,,Hagerstown,1915-07-17,1915-08-25,11,10,0,0,0,0,0,0,0,0,0,10
1915,Blue Ridge League,P8196686,Westerhaver,,Martinsburg,1915-06-26,1915-06-26,1,0,0,0,0,0,1,0,0,1,0,0
1915,Blue Ridge League,P5334142,Whalen,,Frederick,1915-05-27,1915-08-21,54,0,0,0,0,0,0,0,0,0,54,0
1915,Blue Ridge League,P7781634,Williams,,Gettysburg,1915-06-14,1915-07-02,2,0,0,0,0,2,0,0,0,0,0,0
1915,Blue Ridge League,P4722891,Yates,,Chambersburg,1915-07-21,1915-08-26,7,7,0,0,0,0,0,0,0,0,0,7
1915,Blue Ridge League,P4213152,Yingling,,Frederick,1915-05-28,1915-05-29,2,0,0,0,0,2,0,0,0,0,0,0
1915,Blue Ridge League,P9041680,Zachary,,Martinsburg,1915-05-28,1915-07-17,22,0,0,3,1,2,0,0,0,0,17,0
1915,Blue Ridge League,P1215508,Zachery,,Martinsburg,1915-05-27,1915-05-27,1,0,0,0,0,0,0,0,0,0,1,0
1915,Blue Ridge League,P2843923,Zackary,,Martinsburg,1915-07-10,1915-07-10,1,0,0,0,0,0,0,0,0,0,1,0
