team.league,team.key,team.name,source,key,gloss.name.last,gloss.name.first,person.name.last,person.name.first,person.seq,pos
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120509-TXOARD-TXODUR-0,,,Cook,,a02,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120428-TXOARD-TXODEN-0,Cook,,Cooke,,b06,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120429-TXOARD-TXODEN-0,Cook,,Cooke,,b06,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120501-TXOARD-TXODEN-0,Cook,,Cooke,,b09,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120502-TXOARD-TXODUR-0,Cook,,Cooke,,b01,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120504-TXOARD-TXODUR-0,Cook,,Cooke,,b09,ph
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120425-TXOARD-TXOWIC-0,,,Gray,,a02,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120426-TXOARD-TXOWIC-0,,,Gray,,a02,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120427-TXOARD-TXOWIC-0,,,Gray,,a02,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120428-TXOARD-TXODEN-0,,,Gray,,b02,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120429-TXOARD-TXODEN-0,,,Gray,,b02,2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120430-TXOARD-TXODEN-0,,,Gray,,b02,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120501-TXOARD-TXODEN-0,,,Gray,,b02,1b-2b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120502-TXOARD-TXODUR-0,,,Gray,,b02,2b-ss
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120503-TXOARD-TXODUR-0,,,Gray,,b02,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120504-TXOARD-TXODUR-0,,,Gray,,b02,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120505-TXOARD-TXODUR-0,,,Gray,,b02,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120506-TXOARD-TXODUR-0,,,Gray,,a02,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120507-TXOARD-TXODUR-0,,,Gray,,a02,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120508-TXOARD-TXODUR-0,,,Gray,,a02,c
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120509-TXOARD-TXODUR-0,,,Gray,,a03,1b
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120425-TXOARD-TXOWIC-0,,,Hopkins,,a09,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120430-TXOARD-TXODEN-0,,,Hopkins,,b08,p
Texas-Oklahoma League,TXOARD,Ardmore,1912-DMN,19120504-TXOARD-TXODUR-0,,,Hopkins,,b08,p
