key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9
SQDRNRZ,1910-06-30,0,Central Kansas,regular,,Beloit,1,,Manhattan,2,,,1:50,,final,,,1910/1910-MM/MM-19100627.txt,"The Manhattan Mercury Jul 1, 1910",2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
WHKFRMQ,1910-07-01,0,Central Kansas,regular,,Beloit,5,,Manhattan,5,,,1:30,,final,,,1910/1910-MM/MM-19100627.txt,"The Manhattan Mercury Jul 2, 1910",2,0,1,1,0,0,0,0,1,1,0,0,0,3,0,0,0,1
KSLPLHY,1910-07-04,0,Central Kansas,regular,,Clay Center,0,,Manhattan,8,,,1:35,,final,,,1910/1910-MM/MM-19100704.txt,"The Manhattan Mercury Jul 5, 1910",0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,2,1,x
TVVWXLH,1910-07-04,1,Central Kansas,regular,,Clay Center,2,,Manhattan,3,,,1:43,,final,,,1910/1910-MM/MM-19100704.txt,"The Manhattan Mercury Jul 5, 1910",0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2
HDZVXLK,1910-07-05,0,Central Kansas,regular,,Clay Center,5,,Manhattan,0,,,2:05,,final,,,1910/1910-MM/MM-19100704.txt,"The Manhattan Mercury Jul 6, 1910",0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0
QZBKSGW,1910-07-09,0,Central Kansas,regular,,Manhattan,5,,Junction City,1,,,,,final,,,1910/1910-MM/MM-19100704.txt,"The Manhattan Mercury Jul 11, 1910",4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SBYPBKZ,1910-08-01,0,Central Kansas,regular,,Abilene,2,,Manhattan,3,,,2:00,,final,,,1910/1910-MM/MM-19100801.txt,"The Manhattan Mercury Aug 2, 1910",0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,x
YSVKJFV,1910-08-02,0,Central Kansas,regular,,Abilene,2,,Manhattan,3,,,2:00,,final,,,1910/1910-MM/MM-19100801.txt,"The Manhattan Mercury Aug 3, 1910",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,x
RYHFHFN,1910-08-04,0,Central Kansas,regular,,Junction City,2,,Manhattan,0,,,1:25,,final,,,1910/1910-MM/MM-19100801.txt,"The Manhattan Mercury Aug 5, 1910",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MNLLFRL,1910-08-05,0,Central Kansas,regular,,Junction City,1,,Manhattan,3,,,1:26,,final,,,1910/1910-MM/MM-19100801.txt,"The Manhattan Mercury Aug 6, 1910",0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,x
NRMGGFR,1910-08-06,0,Central Kansas,regular,,Junction City,2,,Manhattan,5,,,1:37,,final,,,1910/1910-MM/MM-19100801.txt,"The Manhattan Mercury Aug 8, 1910",0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,x
NWJFPYD,1910-08-07,0,Central Kansas,regular,,Manhattan,0,,Ellsworth,4,,,,,final,,,1910/1910-MM/MM-19100801.txt,"The Manhattan Mercury Aug 8, 1910",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,x
SCKKTQT,1910-08-15,0,Central Kansas,regular,,Chapman,3,,Manhattan,1,,,1:50,,final,,,1910/1910-MM/MM-19100815.txt,"The Manhattan Mercury Aug 16, 1910",0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
PXGNCCT,1910-08-16,0,Central Kansas,regular,,Chapman,1,,Manhattan,7,,,1:32,,final,,,1910/1910-MM/MM-19100815.txt,"The Manhattan Mercury Aug 17, 1910",1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,x
LFWFJQH,1910-08-19,0,Central Kansas,regular,,Concordia,0,,Manhattan,9,,,,,final,,,1910/1910-MM/MM-19100815.txt,"The Manhattan Mercury Aug 20, 1910",,,,,,,,,,,,,,,,,,
