key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
WCTJDLG,1915-05-19,0,Buckeye,regular,,Akron,3,,Canton,4,,,,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 20, 1915",1,0,0,1,0,1,0,0,0,,,,,,,,1,0,0,1,1,0,1,0,x,,,,,,,
QDXXCQV,1915-05-19,0,Buckeye,regular,,Findlay,2,,Lima,19,,2200,2:18,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 20, 1915",0,0,0,1,0,0,0,1,0,,,,,,,,1,2,1,6,4,3,0,2,x,,,,,,,
YPHGSMP,1915-05-19,0,Buckeye,regular,,Marion,3,,Newark,1,,,,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 20, 1915",0,0,0,0,0,0,0,3,0,,,,,,,,0,0,1,0,0,0,0,0,x,,,,,,,
XMTYTGJ,1915-05-20,0,Buckeye,regular,,Akron,,,Canton,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 21, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHBYRMV,1915-05-20,0,Buckeye,regular,,Findlay,,,Lima,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 21, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XYDYGWV,1915-05-20,0,Buckeye,regular,,Marion,,,Newark,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 21, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLWDTXR,1915-05-21,0,Buckeye,regular,,Canton,4,,Akron,3,,,,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 22, 1915",0,0,0,0,1,1,1,0,1,,,,,,,,0,0,1,0,0,1,0,0,1,,,,,,,
HLBHGLZ,1915-05-21,0,Buckeye,regular,,Findlay,9,,Lima,12,,300,2:15,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 22, 1915",0,2,2,3,2,0,0,0,0,,,,,,,,0,2,8,1,0,0,1,0,x,,,,,,,
LSCDCXR,1915-05-21,0,Buckeye,regular,,Newark,3,,Marion,4,,800,,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 22, 1915",1,0,1,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,1,1,2,x,,,,,,,
CWFKZLZ,1915-05-22,0,Buckeye,regular,,Canton,,,Akron,,,,,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 23, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTBYDVP,1915-05-22,0,Buckeye,regular,,Lima,7,,Findlay,8,,2000,2:00,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 23, 1915",0,1,2,0,2,2,0,0,0,,,,,,,,5,3,0,0,0,0,0,0,x,,,,,,,
BBTRZGK,1915-05-22,0,Buckeye,regular,,Newark,,,Marion,,,,,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 23, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSKHRRT,1915-05-23,0,Buckeye,regular,,Marion,16,,Canton,7,,,,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 24, 1915",0,1,5,2,4,0,1,0,3,,,,,,,,2,0,0,1,0,0,0,4,0,,,,,,,
MPKJXTS,1915-05-23,0,Buckeye,regular,,Akron,4,,Lima,20,,1300,2:17,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 24, 1915",0,0,0,0,1,0,0,2,1,,,,,,,,0,6,0,3,1,0,7,3,x,,,,,,,
MLRFLDY,1915-05-23,0,Buckeye,regular,,Findlay,7,,Newark,7,,,,,final,,,1915/1915-LDN/BUCK-19150519.txt,"Lima Daily News, May 24, 1915",6,1,0,0,0,0,0,0,0,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,
PDDKRHY,1915-05-27,0,Buckeye,regular,,Newark,5,,Akron,7,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, May 28, 1915",0,2,0,0,0,0,3,0,0,,,,,,,,1,0,0,1,1,1,0,3,x,,,,,,,
GQVQFXQ,1915-05-27,0,Buckeye,regular,,Lima,7,,Canton,0,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, May 28, 1915",1,3,0,0,1,0,1,1,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
YFGQNJS,1915-05-27,0,Buckeye,regular,,Findlay,11,,Marion,1,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, May 28, 1915",0,0,0,3,3,3,0,0,2,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,
XNHBKPW,1915-05-28,0,Buckeye,regular,,Newark,7,,Akron,6,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, May 29, 1915",4,2,0,0,0,0,0,1,0,,,,,,,,2,0,1,0,0,0,1,0,2,,,,,,,
VNHVBPJ,1915-05-28,0,Buckeye,regular,,Lima,4,,Canton,3,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, May 29, 1915",0,1,0,1,0,1,0,0,1,,,,,,,,0,0,0,2,0,0,0,1,0,,,,,,,
RCMCLJF,1915-05-28,0,Buckeye,regular,,Findlay,,,Marion,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, May 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CKZZGMY,1915-05-29,0,Buckeye,regular,,Lima,,,Akron,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, May 30, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCWXJHP,1915-05-29,0,Buckeye,regular,,Newark,,,Canton,,,,,,postponed,wet grounds,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, May 30, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WLKBMBY,1915-05-29,0,Buckeye,regular,,Marion,,,Findlay,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, May 30, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKJYBRQ,1915-05-30,0,Buckeye,regular,,Lima,6,,Akron,0,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",1,2,2,0,1,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
HLWWPMY,1915-05-31,2,Buckeye,regular,,Canton,,,Akron,,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRRSVMN,1915-05-31,1,Buckeye,regular,,Akron,,,Canton,,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPPBXLR,1915-05-31,1,Buckeye,regular,,Lima,1,,Findlay,4,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",0,1,0,0,0,0,0,0,0,,,,,,,,2,1,0,0,1,0,0,0,x,,,,,,,
TBMMLBZ,1915-05-31,0,Buckeye,regular,,Findlay,3,,Lima,8,,1100,2:25,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",2,0,0,1,0,0,0,0,0,,,,,,,,2,0,0,0,4,2,0,0,x,,,,,,,
FQMMCFX,1915-05-31,1,Buckeye,regular,,Newark,,,Marion,,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LNWHWWS,1915-05-31,2,Buckeye,regular,,Newark,,,Marion,,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KVZWKJZ,1915-06-01,0,Buckeye,regular,,Lima,6,,Findlay,7,,,,,final,,,1915/1915-LDN/BUCK-19150526.txt,"Lima Daily News, June 2, 1915",0,0,0,0,0,4,0,2,0,0,,,,,,,0,2,2,0,0,0,0,0,2,1,,,,,,
NLZKQVB,1915-06-02,0,Buckeye,regular,,Marion,,,Akron,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YNFTWXC,1915-06-02,0,Buckeye,regular,,Newark,,,Findlay,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLDLNMC,1915-06-02,0,Buckeye,regular,,Canton,,,Lima,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJRCFZC,1915-06-03,0,Buckeye,regular,,Marion,,,Akron,,,,,,postponed,Canton insolvency,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BQZPLXZ,1915-06-03,0,Buckeye,regular,,Newark,,,Findlay,,,,,,postponed,Canton insolvency,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTRJCJJ,1915-06-03,0,Buckeye,regular,,Canton,,,Lima,,,,,,postponed,Canton insolvency,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGMXZBG,1915-06-04,0,Buckeye,regular,,Canton,1,,Findlay,10,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 5, 1915",0,0,1,0,0,0,0,0,0,,,,,,,,1,1,1,5,2,0,0,0,x,,,,,,,
PHKJVGX,1915-06-04,0,Buckeye,regular,,Marion,,,Lima,,,,,,postponed,Wet grounds,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 5, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XNBSVDP,1915-06-04,0,Buckeye,regular,,Akron,2,,Newark,3,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 5, 1915",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
DSKCTCD,1915-06-05,0,Buckeye,regular,,Canton,,,Findlay,,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 6, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XWKGDCJ,1915-06-05,1,Buckeye,regular,,Marion,4,,Lima,1,,800,2:05,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 6, 1915",0,1,0,0,1,0,2,0,0,,,,,,,,0,0,0,0,0,0,0,1,0,,,,,,,
PNMZXKD,1915-06-05,2,Buckeye,regular,,Marion,3,,Lima,4,,800,1:47,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 6, 1915",0,0,0,1,0,2,0,0,0,,,,,,,,0,1,0,1,0,0,0,1,1,,,,,,,
BQYZXYN,1915-06-05,0,Buckeye,regular,,Akron,,,Newark,,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 6, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QMFRJWW,1915-06-06,1,Buckeye,regular,,Findlay,6,,Akron,1,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,0,2,4,0,0,0,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,
LCXNGPY,1915-06-06,2,Buckeye,regular,,Findlay,0,,Akron,7,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,0,0,0,0,,,,,,,,,,0,0,6,1,0,0,x,,,,,,,,,
DYGJSVP,1915-06-06,0,Buckeye,regular,,Lima,1,,Marion,7,,,1:53,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,0,0,0,0,0,1,,,,,,,,2,0,4,0,0,1,0,0,x,,,,,,,
DZTPWCD,1915-06-06,1,Buckeye,regular,,Canton,3,,Newark,7,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,1,0,0,1,1,0,,,,,,,,1,0,3,0,2,1,0,0,x,,,,,,,
GNSBQRL,1915-06-06,2,Buckeye,regular,,Canton,2,,Newark,4,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 7, 1915",0,0,0,0,0,0,2,,,,,,,,,,0,0,1,0,3,0,x,,,,,,,,,
QCPVJLQ,1915-06-07,0,Buckeye,regular,,Findlay,,,Akron,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSLYBKZ,1915-06-07,0,Buckeye,regular,,Lima,,,Marion,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPWBCZT,1915-06-07,0,Buckeye,regular,,Canton,,,Newark,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 8, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XKLKPHG,1915-06-08,0,Buckeye,regular,,Canton,2,,Findlay,4,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 9, 1915",0,0,0,0,1,0,0,1,0,,,,,,,,1,2,0,0,0,0,0,1,x,,,,,,,
VXVCKNK,1915-06-08,0,Buckeye,regular,,Newark,,,Lima,,,,,,postponed,wet grounds,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 9, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWPNHHT,1915-06-08,0,Buckeye,regular,,Akron,4,,Marion,3,,,,,final,,,1915/1915-LDN/BUCK-19150602.txt,"Lima Daily News, June 9, 1915",0,2,0,2,0,0,0,0,0,,,,,,,,0,0,0,2,0,0,0,0,1,,,,,,,
JLGCZFB,1915-06-10,0,Buckeye,regular,,Canton,1,,Lima,10,,,1:50,,final,,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 11, 1915",0,0,1,0,0,0,0,0,0,,,,,,,,3,2,2,1,0,0,2,0,x,,,,,,,
HWFQZNQ,1915-06-10,0,Buckeye,regular,,Findlay,8,,Marion,4,,,,,final,,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 11, 1915",0,0,0,0,0,0,2,6,0,,,,,,,,0,0,2,1,0,1,0,0,0,,,,,,,
HRBFSWJ,1915-06-10,0,Buckeye,regular,,Akron,8,,Newark,5,,,,,final,,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 11, 1915",0,3,0,0,1,0,2,2,0,,,,,,,,0,0,3,0,1,0,0,1,0,,,,,,,
HHXDWCZ,1915-06-11,0,Buckeye,regular,,Canton,4,,Lima,2,,,1:55,,final,,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 12, 1915",2,0,0,0,0,0,0,2,0,,,,,,,,0,0,0,1,0,0,0,1,0,,,,,,,
NWYNZGB,1915-06-11,0,Buckeye,regular,,Findlay,,,Marion,,,,,,postponed,wet grounds & Marion insolvency,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 12, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMHSGLY,1915-06-11,0,Buckeye,regular,,Akron,,,Newark,,,,,,postponed,wet grounds,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 12, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XSYMYZP,1915-06-12,0,Buckeye,regular,,Findlay,3,,Lima,4,,,2:15,,final,,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 13, 1915",0,2,0,0,0,0,0,0,1,0,,,,,,,1,0,0,0,0,0,0,1,1,1,,,,,,
DDTTCDS,1915-06-12,0,Buckeye,regular,,Akron,,,Newark,,,,,,final,,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 13, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKCQBT,1915-06-14,0,Buckeye,regular,,Newark,,,Akron,,,,,,postponed,rain,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 15, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJFCRYY,1915-06-14,0,Buckeye,regular,,Lima,7,,Findlay,2,,,2:25,,final,,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 15, 1915",0,0,0,4,1,2,0,0,0,,,,,,,,0,0,0,0,0,2,0,0,0,,,,,,,
DZKYCZT,1915-06-15,0,Buckeye,regular,,Newark,,,Akron,,,,,,postponed,wet grounds,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 16, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLVYDMC,1915-06-15,0,Buckeye,regular,,Lima,2,,Findlay,11,,,2:00,,final,,,1915/1915-LDN/BUCK-19150609.txt,"Lima Daily News, June 16, 1915",0,0,0,1,1,0,0,0,0,,,,,,,,0,6,0,0,1,1,0,3,x,,,,,,,
LQXXNGB,1915-06-16,0,Buckeye,regular,,Newark,4,,Akron,3,,,,,final,,,1915/1915-LDN/BUCK-19150616.txt,"Lima Daily News, June 17, 1915",0,0,2,0,0,0,2,0,0,,,,,,,,0,0,0,1,0,1,1,0,0,,,,,,,
LFRKRKS,1915-06-16,0,Buckeye,regular,,Lima,4,,Findlay,8,,500,2:10,,final,,,1915/1915-LDN/BUCK-19150616.txt,"Lima Daily News, June 17, 1915",2,0,1,0,1,0,0,0,0,,,,,,,,0,0,0,1,2,4,1,0,x,,,,,,,
QCHNVNS,1915-06-17,0,Buckeye,regular,,Lima,7,,Akron,6,,,,,final,,,1915/1915-LDN/BUCK-19150616.txt,"Lima Daily News, June 18, 1915",0,0,0,0,3,3,0,0,0,0,1,,,,,,0,0,0,0,3,0,2,1,0,0,0,,,,,
