key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10
WBMVCDX,1915-05-29,0,New York State,regular,,Wilkes-Barre,6,,Syracuse,7,,,2:05,,final,,,1915/1915-WBR/WBR-19150527.txt,"Wilkes-Barre Record, May 31, 1915",0,0,0,0,2,4,0,0,0,,1,0,4,0,0,0,0,0,2,
FZKJKSZ,1915-05-30,0,New York State,regular,,Wilkes-Barre,2,,Syracuse,3,,,2:15,,final,,#1,1915/1915-WBR/WBR-19150527.txt,"Wilkes-Barre Record, May 31, 1915",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1
XZHSKSP,1915-05-30,0,New York State,regular,,Albany,4,,Troy,12,,,2:05,,final,,,1915/1915-WBR/WBR-19150527.txt,"Wilkes-Barre Record, May 31, 1915",1,0,0,0,0,0,0,0,3,,0,2,0,3,2,2,3,0,x,
QBLJBRP,1915-05-30,0,New York State,regular,,Scranton,0,,Utica,8,,,1:31,,final,,,1915/1915-WBR/WBR-19150527.txt,"Wilkes-Barre Record, May 31, 1915",0,0,0,0,0,0,0,0,0,,0,6,0,0,0,0,1,1,x,
HZBWVTW,1915-06-05,0,New York State,regular,,Syracuse,2,,Wilkes-Barre,3,,,2:00,,final,,#2,1915/1915-WBR/WBR-19150603.txt,"Wilkes-Barre Record, June 7, 1915",0,0,0,0,1,0,0,1,0,,0,1,0,0,0,1,0,0,1,
FZYNLYF,1915-06-12,0,New York State,regular,,Troy,2,,Wilkes-Barre,0,,,1:30,,final,,,1915/1915-WBR/WBR-19150610.txt,"Wilkes-Barre Record, June 14, 1915",0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
LCQWMGH,1915-06-26,0,New York State,regular,,Wilkes-Barre,4,,Troy,5,,,1:40,,final,,,1915/1915-WBR/WBR-19150624.txt,"Wilkes-Barre Record, June 28, 1915",1,0,0,0,2,0,0,1,0,,0,0,1,0,0,1,1,2,x,
GDCGTKF,1915-07-03,1,New York State,regular,,Scranton,0,,Wilkes-Barre,2,,,1:45,,final,,,1915/1915-WBR/WBR-19150701.txt,"Wilkes-Barre Record, July 5, 1915",0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,x,
WFGVLKL,1915-07-03,2,New York State,regular,,Scranton,4,,Wilkes-Barre,2,,,1:15,,final,,,1915/1915-WBR/WBR-19150701.txt,"Wilkes-Barre Record, July 5, 1915",3,0,0,1,0,0,0,,,,0,0,0,0,1,0,1,,,
KZHTQWJ,1915-07-10,1,New York State,regular,,Wilkes-Barre,3,,Utica,9,,,1:40,,final,,,1915/1915-WBR/WBR-19150708.txt,"Wilkes-Barre Record, July 12, 1915",0,0,0,0,0,0,0,3,0,,0,1,1,2,1,2,2,0,x,
CYKZJPP,1915-07-10,2,New York State,regular,,Wilkes-Barre,3,,Utica,8,,,1:17,,final,,,1915/1915-WBR/WBR-19150708.txt,"Wilkes-Barre Record, July 12, 1915",0,1,0,0,1,1,0,,,,4,2,0,0,1,1,x,,,
GSVBSPH,1915-07-17,1,New York State,regular,,Utica,1,,Wilkes-Barre,0,,,1:37,,final,,,1915/1915-WBR/WBR-19150715.txt,"Wilkes-Barre Record, July 19, 1915",1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
MMDNGYB,1915-07-17,2,New York State,regular,,Utica,6,,Wilkes-Barre,1,,,1:00,,final,,,1915/1915-WBR/WBR-19150715.txt,"Wilkes-Barre Record, July 19, 1915",0,2,3,0,0,0,1,,,,0,0,0,0,0,1,0,,,
VLVBVNY,1915-07-24,1,New York State,regular,,Wilkes-Barre,6,,Elmira,7,,,2:00,,final,,,1915/1915-WBR/WBR-19150722.txt,"Wilkes-Barre Record, July 26, 1915",0,0,1,4,1,0,0,0,0,,1,3,0,0,0,1,1,1,x,
RZTGMWR,1915-07-24,2,New York State,regular,,Wilkes-Barre,5,,Elmira,2,,,2:00,,final,,,1915/1915-WBR/WBR-19150722.txt,"Wilkes-Barre Record, July 26, 1915",0,1,2,0,1,0,1,,,,1,0,1,0,0,0,0,,,
CPWCGGQ,1915-08-14,0,New York State,regular,,Wilkes-Barre,2,,Syracuse,4,,,1:45,,final,,,1915/1915-WBR/WBR-19150812.txt,"Wilkes-Barre Record, August 16, 1915",0,0,0,0,0,0,1,0,1,,0,0,0,1,0,0,2,1,x,
XSRWCMS,1915-09-04,1,New York State,regular,,Scranton,0,,Wilkes-Barre,5,,,,,final,,,1915/1915-WBR/WBR-19150902.txt,"Wilkes-Barre Record, September 6, 1915",0,0,0,0,0,0,0,0,0,,2,0,3,0,0,0,0,0,x,
RGFJRNM,1915-09-04,2,New York State,regular,,Scranton,0,,Wilkes-Barre,7,,,1:00,,final,,,1915/1915-WBR/WBR-19150902.txt,"Wilkes-Barre Record, September 6, 1915",0,0,0,0,0,0,0,,,,1,0,2,0,0,3,x,,,
SKKHJSH,1915-09-05,0,New York State,regular,,Wilkes-Barre,3,,Utica,9,,,1:44,,final,,,1915/1915-WBR/WBR-19150902.txt,"Wilkes-Barre Record, September 6, 1915",1,0,0,0,0,2,0,0,0,,2,0,0,1,1,2,2,1,x,
