team.league,team.key,team.name,source,key,gloss.name.last,gloss.name.first,person.name.last,person.name.first,person.seq,pos
Texas League,TEXAUS,Austin,1912-DMN,19120414-TEXAUS-TEXFTW-0,,,Ashton,,b08,p
Texas League,TEXAUS,Austin,1912-DMN,19120420-TEXAUS-TEXFTW-0,,,Ashton,,a08,p
Texas League,TEXAUS,Austin,1912-DMN,19120426-TEXAUS-TEXDAL-0,,,Ashton,,a08,p
Texas League,TEXAUS,Austin,1912-DMN,19120502-TEXAUS-TEXWAC-0,,,Ashton,,b08,p
Texas League,TEXAUS,Austin,1912-DMN,19120507-TEXAUS-TEXGAL-0,,,Ashton,,a08,p
Texas League,TEXAUS,Austin,1912-DMN,19120508-TEXAUS-TEXGAL-1,,,Ashton,,a10,p
Texas League,TEXAUS,Austin,1912-DMN,19120508-TEXAUS-TEXGAL-2,,,Ashton,,a08,p
Texas League,TEXAUS,Austin,1912-DMN,19120412-TEXAUS-TEXFTW-0,Ayres,,Ayers,,b09,p
Texas League,TEXAUS,Austin,1912-DMN,19120422-TEXAUS-TEXFTW-0,Ayres,,Ayers,,a08,p
Texas League,TEXAUS,Austin,1912-DMN,19120416-TEXAUS-TEXDAL-0,,,Ayres,,b09,p
Texas League,TEXAUS,Austin,1912-DMN,19120421-TEXAUS-TEXFTW-0,,,Ayres,,a09,p
Texas League,TEXAUS,Austin,1912-DMN,19120429-TEXAUS-TEXWAC-0,,,Ayres,,a08,p
Texas League,TEXAUS,Austin,1912-DMN,19120508-TEXAUS-TEXGAL-1,,,Ayres,,a08,p
Texas League,TEXAUS,Austin,1912-DMN,19120412-TEXAUS-TEXFTW-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120413-TEXAUS-TEXFTW-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120414-TEXAUS-TEXFTW-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120415-TEXAUS-TEXFTW-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120416-TEXAUS-TEXDAL-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120417-TEXAUS-TEXDAL-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120418-TEXAUS-TEXDAL-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120419-TEXAUS-TEXDAL-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120420-TEXAUS-TEXFTW-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120421-TEXAUS-TEXFTW-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120422-TEXAUS-TEXFTW-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120423-TEXAUS-TEXFTW-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120424-TEXAUS-TEXDAL-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120425-TEXAUS-TEXDAL-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120426-TEXAUS-TEXDAL-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120427-TEXAUS-TEXDAL-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120428-TEXAUS-TEXWAC-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120429-TEXAUS-TEXWAC-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120430-TEXAUS-TEXWAC-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120501-TEXAUS-TEXWAC-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120502-TEXAUS-TEXWAC-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120503-TEXAUS-TEXWAC-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120504-TEXAUS-TEXWAC-0,,,Brownlow,,b00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120507-TEXAUS-TEXGAL-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120508-TEXAUS-TEXGAL-1,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120508-TEXAUS-TEXGAL-2,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120509-TEXAUS-TEXBEA-0,,,Brownlow,,a00,ss
Texas League,TEXAUS,Austin,1912-DMN,19120421-TEXAUS-TEXFTW-0,,,Casey,,a10,ph
Texas League,TEXAUS,Austin,1912-DMN,19120413-TEXAUS-TEXFTW-0,,,Clark,,b08,p
Texas League,TEXAUS,Austin,1912-DMN,19120419-TEXAUS-TEXDAL-0,,,Clark,,b08,p
Texas League,TEXAUS,Austin,1912-DMN,19120429-TEXAUS-TEXWAC-0,,,Clark,,a09,p
Texas League,TEXAUS,Austin,1912-DMN,19120501-TEXAUS-TEXWAC-0,,,Clark,,a08,p
Texas League,TEXAUS,Austin,1912-DMN,19120504-TEXAUS-TEXWAC-0,,,Clark,,b08,p
Texas League,TEXAUS,Austin,1912-DMN,19120507-TEXAUS-TEXGAL-0,,,Clark,,a09,p
Texas League,TEXAUS,Austin,1912-DMN,19120509-TEXAUS-TEXBEA-0,,,Clark,,a09,p
Texas League,TEXAUS,Austin,1912-DMN,19120425-TEXAUS-TEXDAL-0,Clark,,Clarke,,a08,p
Texas League,TEXAUS,Austin,1912-DMN,19120412-TEXAUS-TEXFTW-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120413-TEXAUS-TEXFTW-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120414-TEXAUS-TEXFTW-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120415-TEXAUS-TEXFTW-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120417-TEXAUS-TEXDAL-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120418-TEXAUS-TEXDAL-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120419-TEXAUS-TEXDAL-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120420-TEXAUS-TEXFTW-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120421-TEXAUS-TEXFTW-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120422-TEXAUS-TEXFTW-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120423-TEXAUS-TEXFTW-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120424-TEXAUS-TEXDAL-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120425-TEXAUS-TEXDAL-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120426-TEXAUS-TEXDAL-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120427-TEXAUS-TEXDAL-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120428-TEXAUS-TEXWAC-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120429-TEXAUS-TEXWAC-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120430-TEXAUS-TEXWAC-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120501-TEXAUS-TEXWAC-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120502-TEXAUS-TEXWAC-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120503-TEXAUS-TEXWAC-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120504-TEXAUS-TEXWAC-0,Cook,L.,Cook,,b01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120507-TEXAUS-TEXGAL-0,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120508-TEXAUS-TEXGAL-1,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120508-TEXAUS-TEXGAL-2,Cook,L.,Cook,,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120509-TEXAUS-TEXBEA-0,,,Cook,L.,a01,cf
Texas League,TEXAUS,Austin,1912-DMN,19120412-TEXAUS-TEXFTW-0,Downey,Red,Downey,,b03,rf
Texas League,TEXAUS,Austin,1912-DMN,19120413-TEXAUS-TEXFTW-0,Downey,Red,Downey,,b03,rf
Texas League,TEXAUS,Austin,1912-DMN,19120414-TEXAUS-TEXFTW-0,Downey,Red,Downey,,b03,rf
