team.league,team.name,team.key
Carolina Association,Anderson,CRAAND
Carolina Association,Charlotte,CRACLT
Carolina Association,Greensboro,CRAGBO
Carolina Association,Greenville,CRAGVL
Carolina Association,Spartanburg,CRASPA
Carolina Association,Winston-Salem,CRAWNS
Central Kansas League,Abilene,CKSABI
Central Kansas League,Beloit,CKSBEL
Central Kansas League,Chapman,CKSCHA
Central Kansas League,Clay Center,CKSCLC
Central Kansas League,Concordia,CKSCON
Central Kansas League,Ellsworth,CKSELL
Central Kansas League,Junction City,CKSJUC
Central Kansas League,Manhattan,CKSMAN
Central Kansas League,Salina,CKSSAL
Pacific Coast League,Los Angeles,PCLLAA
Pacific Coast League,Oakland,PCLOAK
Pacific Coast League,Portland,PCLPOR
Pacific Coast League,Sacramento,PCLSAC
Pacific Coast League,San Francisco,PCLSFS
Pacific Coast League,Vernon,PCLVER
