league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,Northern League,exhibition,P6678234,Dusty Rhoades,,1915-05-30,1915-05-30,1
1915,Northern League,regular,P7627999,Bartoff,,1915-07-05,1915-07-05,1
1915,Northern League,regular,P2255101,Carney,,1915-06-28,1915-08-26,16
1915,Northern League,regular,P8004104,Fox,,1915-07-13,1915-07-24,10
1915,Northern League,regular,P3749836,Gervais,,1915-07-12,1915-07-12,1
1915,Northern League,regular,P6227981,Jacobs,,1915-05-18,1915-07-10,17
1915,Northern League,regular,P8462149,Landry,,1915-05-08,1915-07-28,41
1915,Northern League,regular,P7076289,Rhoades,,1915-07-12,1915-07-12,1
1915,Northern League,regular,P6190935,Robert Boese,,1915-07-05,1915-07-05,1
1915,Northern League,regular,P1950791,Thomas,,1915-07-05,1915-07-05,1
