key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11
DLBSXCH,1910-04-30,0,Carolina Association,regular,,Greenville,3,,Anderson,12,,,1:50,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100428.txt,"The Charlotte News May 1, 1910",3,0,0,0,0,0,0,0,0,,,3,0,8,0,0,0,1,0,x,,
VKCGNNK,1910-04-30,0,Carolina Association,regular,,Spartanburg,4,,Charlotte,6,,1600,2:00,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100428.txt,"The Charlotte News May 1, 1910",0,0,0,0,0,2,0,2,0,,,1,0,0,1,1,0,2,1,x,,
VVQCFYJ,1910-04-30,0,Carolina Association,regular,,Winston-Salem,0,,Greensboro,8,,900,1:31,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100428.txt,"The Charlotte News May 1, 1910",0,0,0,0,0,0,0,0,0,,,1,0,2,1,4,0,0,0,x,,
MJKXSMV,1910-06-02,0,Carolina Association,regular,,Greenville,2,,Anderson,3,,,1:45,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100602.txt,"The Charlotte News Jun 3, 1910",0,0,0,0,1,0,0,0,1,,,0,0,0,1,0,0,2,0,x,,
PJNJJGD,1910-06-02,0,Carolina Association,regular,,Spartanburg,7,,Charlotte,3,,700,1:45,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100602.txt,"The Charlotte News Jun 3, 1910",2,3,0,0,1,1,0,0,0,,,3,0,0,0,0,0,0,0,0,,
BNYFSRJ,1910-06-02,0,Carolina Association,regular,,Winston-Salem,1,,Greensboro,0,,500,1:50,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100602.txt,"The Charlotte News Jun 3, 1910",0,0,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,,
RMJLZSP,1910-06-07,0,Carolina Association,regular,,Greensboro,3,,Greenville,7,,500,1:50,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100602.txt,"The Charlotte News Jun 8, 1910",0,0,0,1,2,0,0,0,0,,,0,1,0,2,0,0,0,4,x,,
GXXYHHB,1910-06-07,0,Carolina Association,regular,,Anderson,5,,Spartanburg,0,,,,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100602.txt,"The Charlotte News Jun 8, 1910",3,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,,
RKHBHSJ,1910-06-07,0,Carolina Association,regular,,Charlotte,5,,Winston-Salem,0,,850,1:45,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100602.txt,"The Charlotte News Jun 8, 1910",0,0,0,1,3,0,0,1,0,,,0,0,0,0,0,0,0,0,0,,
VXWTKTL,1910-06-13,0,Carolina Association,regular,,Charlotte,1,,Greenville,4,,800,1:40,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100609.txt,"The Charlotte News Jun 14, 1910",0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,4,x,,
HBFWRQQ,1910-06-13,0,Carolina Association,regular,,Anderson,,,Greenville,,,,,,postponed,rain,,data/boxscores/transcript/1910/1910-CN/CN-19100609.txt,"The Charlotte News Jun 14, 1910",,,,,,,,,,,,,,,,,,,,,,
JTKMGGH,1910-06-13,0,Carolina Association,regular,,Spartanburg,,,Winston-Salem,,,,,,postponed,rain,,data/boxscores/transcript/1910/1910-CN/CN-19100609.txt,"The Charlotte News Jun 14, 1910",,,,,,,,,,,,,,,,,,,,,,
THXDZKV,1910-08-08,0,Carolina Association,regular,,Anderson,2,,Spartanburg,5,,450,1:45,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100804.txt,"The Charlotte News Aug 9, 1910",0,0,0,0,1,0,1,0,0,,,0,4,0,1,0,0,0,0,x,,
SZYMGPT,1910-08-09,0,Carolina Association,regular,,Anderson,2,,Spartanburg,3,,,,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100804.txt,"The Charlotte News Aug 10, 1910",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
VGMXMXZ,1910-08-13,0,Carolina Association,regular,,Greensboro,6,,Charlotte,1,,1200,1:35,,,,,data/boxscores/transcript/1910/1910-CN/CN-19100811.txt,"The Charlotte News Aug 14, 1910",0,0,0,1,0,0,0,1,4,,,0,0,0,0,0,0,0,0,1,,
