league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1909,Carolina Association,regular,P8693817,,,1909-06-15,1909-06-30,2
1909,Carolina Association,regular,P4404760,Doak,,1909-06-16,1909-06-16,1
1909,Carolina Association,regular,P2136662,Evans,,1909-08-19,1909-08-19,2
1909,Carolina Association,regular,P2033932,Gray,,1909-06-17,1909-06-17,1
1909,Carolina Association,regular,P5869980,Hemrick,,1909-06-21,1909-06-23,3
1909,Carolina Association,regular,P7505018,Kelly,,1909-06-24,1909-06-25,2
1909,Carolina Association,regular,P4044501,LaRocque,,1909-06-02,1909-07-02,12
1909,Carolina Association,regular,P6163317,Larocque,,1909-06-07,1909-07-01,6
1909,Carolina Association,regular,P3721755,Leibrich,,1909-06-22,1909-07-02,8
1909,Carolina Association,regular,P2197019,Liebrich,,1909-06-15,1909-06-24,6
1909,Carolina Association,regular,P8550090,Lucid,,1909-06-01,1909-07-02,11
1909,Carolina Association,regular,P4644042,Mahoney,,1909-05-11,1909-06-18,11
1909,Carolina Association,regular,P1965489,McGill,,1909-07-02,1909-07-02,1
1909,Carolina Association,regular,P3517585,Thompson,,1909-06-16,1909-06-16,1
1909,Carolina Association,regular,P2720856,Walsh,,1909-07-02,1909-07-02,1
1909,Carolina Association,regular,P3183697,Weherell,,1909-06-16,1909-06-16,1
