key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17
TGSQKTN,1910-05-27,0,Central Kansas,regular,,Junction City,,,Beloit,,,,,,postponed,muddy grounds,,1910/1910-SDU/SDU-19100523.txt,"The Salina Daily Union May 28, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLMFRND,1910-05-27,0,Central Kansas,regular,,Ellsworth,,,Manhattan,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100523.txt,"The Salina Daily Union May 28, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFNWQTW,1910-05-27,0,Central Kansas,regular,,Clay Center,,,Salina,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100523.txt,"The Salina Daily Union May 28, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCPRKLY,1910-06-02,0,Central Kansas,regular,,Concordia,2,,Salina,4,,,,,final,,,1910/1910-SDU/SDU-19100530.txt,"The Salina Daily Union Jun 3, 1910",2,0,0,0,0,0,0,0,0,,,,,,,,,2,1,0,0,0,0,0,1,x,,,,,,,,
XBYQPRV,1910-06-03,0,Central Kansas,regular,,Ellsworth,3,,Beloit,1,,,,,final,,,1910/1910-SDU/SDU-19100530.txt,"The Salina Daily Union Jun 4, 1910",0,1,0,0,0,0,0,0,0,0,0,2,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,,,,,
DYNDXYF,1910-06-06,0,Central Kansas,regular,,Salina,5,,Beloit,3,,,,,final,,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 7, 1910",0,0,1,0,3,1,0,0,0,,,,,,,,,1,0,0,0,2,0,0,0,0,,,,,,,,
VZFGDNK,1910-06-07,0,Central Kansas,regular,,Salina,,,Beloit,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 8, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFRDLDM,1910-06-07,0,Central Kansas,regular,,Ellsworth,,,Concordia,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 8, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KZPZPCD,1910-06-07,0,Central Kansas,regular,,Clay Center,,,Junction City,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 8, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCWQCDM,1910-06-07,0,Central Kansas,regular,,Abilene,,,Manhattan,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 8, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WCYHPQC,1910-06-08,0,Central Kansas,regular,,Salina,,,Beloit,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 9, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMLZQQL,1910-06-08,0,Central Kansas,regular,,Ellsworth,,,Concordia,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 9, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QVFSSMF,1910-06-08,0,Central Kansas,regular,,Clay Center,,,Junction City,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 9, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DFRDJDB,1910-06-08,0,Central Kansas,regular,,Abilene,,,Manhattan,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 9, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGLTPPG,1910-06-09,0,Central Kansas,regular,,Concordia,4,,Ellsworth,1,,,,,final,,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 10, 1910",0,1,1,0,0,0,2,0,0,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,
JHLTTWF,1910-06-09,0,Central Kansas,regular,,Beloit,2,,Salina,6,,,2:00,,final,,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 10, 1910",0,0,0,0,0,2,0,0,0,,,,,,,,,2,1,1,0,0,0,2,0,x,,,,,,,,
PMNDQNC,1910-06-10,2,Central Kansas,regular,,Concordia,3,,Ellsworth,4,,,,,final,,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 11, 1910",0,0,0,1,1,1,0,0,0,,,,,,,,,0,0,0,1,0,1,0,2,x,,,,,,,,
VZCJWYN,1910-06-10,0,Central Kansas,regular,,Beloit,1,,Salina,4,,,,,final,,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 11, 1910",0,0,0,0,0,0,1,0,0,,,,,,,,,0,0,0,1,0,0,3,0,x,,,,,,,,
CLMBPHJ,1910-06-11,0,Central Kansas,regular,,Concordia,2,,Ellsworth,3,,,,,final,,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 13, 1910",0,0,0,0,1,0,0,0,0,0,1,,,,,,,0,0,0,0,1,0,0,0,0,0,2,,,,,,
FXPXKDS,1910-06-11,0,Central Kansas,regular,,Beloit,4,,Salina,6,,750,1:50,,final,,,1910/1910-SDU/SDU-19100606.txt,"The Salina Daily Union Jun 13, 1910",0,1,0,0,0,0,1,2,0,,,,,,,,,0,1,1,0,0,1,3,0,x,,,,,,,,
GQMLZKX,1910-06-13,0,Central Kansas,regular,,Salina,3,,Concordia,4,,,,,final,,2,1910/1910-SDU/SDU-19100613.txt,"The Salina Daily Union Jun 14, 1910",0,0,0,0,0,0,1,0,2,0,0,0,,,,,,0,0,2,0,0,0,0,0,1,0,0,1,,,,,
BKZSKLC,1910-06-14,0,Central Kansas,regular,,Salina,2,,Concordia,9,,,,,final,,,1910/1910-SDU/SDU-19100613.txt,"The Salina Daily Union Jun 15, 1910",0,0,0,0,0,1,0,1,0,,,,,,,,,0,0,1,0,1,1,6,0,x,,,,,,,,
CHPLJCR,1910-06-15,0,Central Kansas,regular,,Salina,2,,Concordia,7,,,,,final,,,1910/1910-SDU/SDU-19100613.txt,"The Salina Daily Union Jun 16, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VWTQLPQ,1910-06-17,0,Central Kansas,regular,,Ellsworth,3,,Salina,2,,,,,final,,,1910/1910-SDU/SDU-19100613.txt,"The Salina Daily Union Jun 18, 1910",1,0,0,0,0,0,2,0,0,,,,,,,,,1,0,1,0,0,0,0,0,0,,,,,,,,
CYJVNXD,1910-06-18,0,Central Kansas,regular,,Ellsworth,4,,Salina,3,,1400,2:50,,final,,,1910/1910-SDU/SDU-19100613.txt,"The Salina Daily Union Jun 20, 1910",0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
DSVGNCZ,1910-06-20,0,Central Kansas,regular,,Salina,5,,Clay Center,6,,,,,final,,1,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 21, 1910",0,2,0,0,0,0,0,3,0,,,,,,,,,0,0,0,0,2,1,0,1,2,,,,,,,,
LLDMWCZ,1910-06-20,0,Central Kansas,regular,,Manhattan,6,,Ellsworth,3,,,,,final,,,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 21, 1910",0,0,2,1,0,2,0,1,0,,,,,,,,,0,0,1,0,0,0,0,2,0,,,,,,,,
GFVDXGW,1910-06-21,0,Central Kansas,regular,,Salina,7,,Clay Center,3,,,2:00,,final,,,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 22, 1910",2,2,1,0,0,0,1,0,1,,,,,,,,,2,0,0,0,1,0,0,0,0,,,,,,,,
SJTBQTN,1910-06-21,0,Central Kansas,regular,,Manhattan,0,,Ellsworth,9,,,,home,final,,,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 22, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGVJJVR,1910-06-22,0,Central Kansas,regular,,Salina,3,,Clay Center,1,,,1:35,,final,,,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 23, 1910",1,0,0,0,0,0,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,1,,,,,,,,
CHGTRXT,1910-06-22,0,Central Kansas,regular,,Manhattan,1,,Ellsworth,2,,,,,final,,,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 23, 1910",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TQNHZLR,1910-06-23,0,Central Kansas,regular,,Clay Center,8,,Ellsworth,1,,,,,final,,,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 24, 1910",0,0,1,0,0,0,5,0,2,,,,,,,,,0,0,0,1,0,0,0,0,0,,,,,,,,
KDYWNFH,1910-06-23,0,Central Kansas,regular,,Manhattan,2,,Salina,2,,,2:00,,final,,,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 24, 1910",0,0,0,2,0,0,0,0,0,,,,,,,,,0,2,0,0,0,0,0,0,0,,,,,,,,
ZCQDFJJ,1910-06-24,0,Central Kansas,regular,,Clay Center,1,,Ellsworth,6,,,1:20,,final,,,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 25, 1910",0,0,0,1,0,0,0,0,0,,,,,,,,,2,0,0,1,0,0,2,1,x,,,,,,,,
WFJYKQN,1910-06-24,0,Central Kansas,regular,,Manhattan,3,,Salina,2,,,2:00,,final,,,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 25, 1910",0,1,2,0,0,0,0,0,0,,,,,,,,,0,0,0,1,0,1,0,0,0,,,,,,,,
WKYXJPB,1910-06-25,0,Central Kansas,regular,,Manhattan,3,,Salina,4,,795,1:25,,final,,2,1910/1910-SDU/SDU-19100620.txt,"The Salina Daily Union Jun 27, 1910",2,0,0,0,0,0,0,0,1,0,,,,,,,,0,2,0,0,1,0,0,0,0,1,,,,,,,
KXCQSYK,1910-07-25,0,Central Kansas,regular,,Salina,14,,Chapman,8,,,2:00,,final,,,1910/1910-SDU/SDU-19100725.txt,"The Salina Daily Union Jul 26, 1910",0,2,0,0,0,2,2,2,6,,,,,,,,,0,2,0,0,0,0,3,1,2,,,,,,,,
RPVWNZW,1910-07-25,0,Central Kansas,regular,,Concordia,,,Ellsworth,,,,,,final,,,1910/1910-SDU/SDU-19100725.txt,"The Salina Daily Union Jul 26, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWQNJHF,1910-07-26,0,Central Kansas,regular,,Salina,2,,Chapman,1,,,,,final,,,1910/1910-SDU/SDU-19100725.txt,"The Salina Daily Union Jul 27, 1910",0,1,0,0,1,0,0,0,0,,,,,,,,,0,1,0,0,0,0,0,0,0,,,,,,,,
MDVXLPQ,1910-07-28,0,Central Kansas,regular,,Concordia,2,,Salina,11,,,1:45,,final,,,1910/1910-SDU/SDU-19100725.txt,"The Salina Daily Union Jul 29, 1910",0,0,0,0,0,2,0,0,0,,,,,,,,,1,2,4,3,0,0,1,0,x,,,,,,,,
XSWNBCR,1910-07-29,0,Central Kansas,regular,,Chapman,0,,Ellsworth,10,,,,,final,,,1910/1910-SDU/SDU-19100725.txt,"The Salina Daily Union Jul 30, 1910",0,0,0,0,0,0,0,0,0,,,,,,,,,0,2,0,0,0,7,1,0,0,,,,,,,,
QRVVCXG,1910-07-29,0,Central Kansas,regular,,Concordia,1,,Salina,2,,,2:00,,final,,,1910/1910-SDU/SDU-19100725.txt,"The Salina Daily Union Jul 30, 1910",0,0,0,0,0,1,0,0,0,,,,,,,,,0,1,0,0,0,1,0,0,x,,,,,,,,
XFHNNCF,1910-07-30,0,Central Kansas,regular,,Chapman,0,,Ellsworth,4,,,,,final,,,1910/1910-SDU/SDU-19100725.txt,"The Salina Daily Union Aug 1, 1910",0,0,0,0,0,0,0,0,0,,,,,,,,,1,0,1,0,1,0,0,1,0,,,,,,,,
GNPGPQQ,1910-07-30,0,Central Kansas,regular,,Abilene,,,Junction City,,,,,,final,,,1910/1910-SDU/SDU-19100725.txt,"The Salina Daily Union Aug 1, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRDHYLN,1910-07-30,0,Central Kansas,regular,,Concordia,2,,Salina,1,,780,1:31,,final,,,1910/1910-SDU/SDU-19100725.txt,"The Salina Daily Union Aug 1, 1910",0,0,0,0,2,0,0,0,0,,,,,,,,,0,0,0,0,0,1,0,0,0,,,,,,,,
MDCVHMY,1910-08-08,0,Central Kansas,regular,,Abilene,,,Chapman,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100808.txt,"The Salina Daily Union Aug 9, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGDYRZW,1910-08-09,0,Central Kansas,regular,,Salina,7,,Clay Center,9,,300,1:45,,final,,,1910/1910-SDU/SDU-19100808.txt,"The Salina Daily Union Aug 10, 1910",2,0,0,0,3,2,0,0,0,,,,,,,,,8,0,0,0,0,0,0,1,x,,,,,,,,
XXJDHYJ,1910-08-10,0,Central Kansas,regular,,Salina,0,,Clay Center,3,,400,1:40,,final,,,1910/1910-SDU/SDU-19100808.txt,"The Salina Daily Union Aug 11, 1910",0,0,0,0,0,0,0,0,0,,,,,,,,,0,1,1,0,0,0,1,0,x,,,,,,,,
TVMHKDB,1910-08-13,0,Central Kansas,regular,,Manhattan,6,,Salina,4,,,,,final,,,1910/1910-SDU/SDU-19100808.txt,"The Salina Daily Union Aug 15, 1910",0,2,0,0,0,0,0,2,2,,,,,,,,,0,0,4,0,0,0,0,0,0,,,,,,,,
VGQNBSR,1910-08-14,0,Central Kansas,regular,,Salina,,,Ellsworth,,,,,,final,,,1910/1910-SDU/SDU-19100808.txt,"The Salina Daily Union Aug 15, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QSJPSFX,1910-08-16,0,Central Kansas,regular,,Ellsworth,4,,Salina,1,,,,,final,,,1910/1910-SDU/SDU-19100815.txt,"The Salina Daily Union Aug 17, 1910",0,0,0,1,1,0,2,0,0,,,,,,,,,0,0,0,0,1,0,0,0,0,,,,,,,,
XWTCHVK,1910-08-17,0,Central Kansas,regular,,Abilene,2,,Junction City,0,,,,,final,,,1910/1910-SDU/SDU-19100815.txt,"The Salina Daily Union Aug 18, 1910",0,0,0,1,0,1,0,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,
CLGXMZB,1910-08-17,1,Central Kansas,regular,,Chapman,,,Manhattan,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100815.txt,"The Salina Daily Union Aug 18, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JCCGBCM,1910-08-17,2,Central Kansas,regular,,Chapman,,,Manhattan,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100815.txt,"The Salina Daily Union Aug 18, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRZGXFT,1910-08-17,0,Central Kansas,regular,,Ellsworth,,,Salina,,,,,,postponed,rain,,1910/1910-SDU/SDU-19100815.txt,"The Salina Daily Union Aug 18, 1910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BQXPBWC,1910-08-18,0,Central Kansas,regular,,Ellsworth,1,,Abilene,9,,,,,final,,,1910/1910-SDU/SDU-19100815.txt,"The Salina Daily Union Aug 19, 1910",0,1,0,0,0,0,0,0,x,,,,,,,,,1,2,0,0,0,3,1,2,x,,,,,,,,
BSBWFFB,1910-08-19,0,Central Kansas,regular,,Ellsworth,1,,Abilene,3,,,,,final,,,1910/1910-SDU/SDU-19100815.txt,"The Salina Daily Union Aug 20, 1910",0,0,0,0,0,1,0,0,0,,,,,,,,,1,0,1,0,0,0,1,0,x,,,,,,,,
PKZVXWM,1910-08-19,0,Central Kansas,regular,,Salina,1,,Junction City,3,,,,,final,,,1910/1910-SDU/SDU-19100815.txt,"The Salina Daily Union Aug 20, 1910",0,0,0,0,0,1,0,0,0,,,,,,,,,0,2,0,0,0,0,0,1,x,,,,,,,,
PSWFQLD,1910-08-20,0,Central Kansas,regular,,Ellsworth,3,,Abilene,6,,,,,final,,,1910/1910-SDU/SDU-19100815.txt,"The Salina Daily Union Aug 22, 1910",0,0,0,3,0,0,0,0,0,,,,,,,,,1,0,1,1,0,0,0,3,0,,,,,,,,
