game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P4027517,Johnston,,Chattanooga,lf,1,5,0,,4,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P8714642,Cunningham,,Chattanooga,p,10,2,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,0,2,0,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P9339638,Starr,,Chattanooga,2b,2,5,0,,0,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P8743283,Harris,,Chattanooga,1b,3,2,1,,0,,,,,,,,,,1,,,,,,,,,,,,,,12,4,0,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P0848989,McCorm'k,,Chattanooga,rf,4,2,1,,0,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P2060496,Graff,,Chattanooga,3b,5,4,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,2,2,0,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P4066789,Hickman,,Chattanooga,cf,6,4,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P6478544,Caveny,,Chattanooga,ss,7,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P3856131,Kitchens,,Chattanooga,c,8,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,5,3,1,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,P0438067,Hill,,Chattanooga,p,9,2,1,,1,1,,,,,,,,,,,,,4,,5,,7,3,2,1,,,0,1,0,,,,
MLXMKNT,1915,Southern Association,1915-04-13,0,regular,,TOTALS,,Chattanooga,,,34,5,,8,,,,,,,,,,,,6,,,,,,,,,,,,24,16,1,,,,
