game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first
CQPBSLQ,1912,Texas League,1912-04-18,0,regular,P5818559,Jacobs,
DNNZCZK,1912,Texas League,1912-04-18,0,regular,P5796093,Van Syckle,
RTXGPKD,1912,Texas League,1912-04-18,1,regular,P1611835,Newhouse,
JPPWGMG,1912,Texas League,1912-04-18,2,regular,P1611835,Newhouse,
BCLHWSL,1912,Texas League,1912-04-18,0,regular,P6866315,Wilkinson,
BCLHWSL,1912,Texas League,1912-04-18,0,regular,P6058015,Brady,
WXVXNWP,1912,Texas League,1912-04-15,0,regular,P5818559,Jacobs,
QMBLFPV,1912,Texas League,1912-04-15,0,regular,P6058015,Brady,
QMBLFPV,1912,Texas League,1912-04-15,0,regular,P6866315,Wilkinson,
CGCTKMW,1912,Texas League,1912-04-15,0,regular,P1611835,Newhouse,
GDLNQNS,1912,Texas League,1912-04-26,0,regular,P6058015,Brady,
YRGSRYF,1912,Texas League,1912-04-26,0,regular,P1611835,Newhouse,
VCYDZCB,1912,Texas League,1912-04-26,0,regular,P5796093,Van Syckle,
TJPCXXC,1912,Texas League,1912-04-26,0,regular,P6866315,Wilkinson,
TJPCXXC,1912,Texas League,1912-04-26,0,regular,P5818559,Jacobs,
BBWDHWP,1912,South Central League,1912-04-26,0,regular,P4042009,Wright,
KWBPBDT,1912,South Central League,1912-04-26,0,regular,P8833410,Robertson,
TSPJBLX,1912,South Central League,1912-04-26,0,regular,P0509056,Bryan,
NMVYNWJ,1912,Texas-Oklahoma League,1912-04-26,0,regular,P0861387,Murphy,
KRSWFVS,1912,Texas-Oklahoma League,1912-04-26,0,regular,P4252854,Folsom,
YFJFJPH,1912,Texas-Oklahoma League,1912-04-26,0,regular,P6159238,Jegglin,
CCBSXCQ,1912,Texas-Oklahoma League,1912-04-26,0,regular,P7853369,Mulkey,Cy
KVRBTFD,1912,Texas League,1912-05-01,0,regular,P6866315,Wilkinson,
KVRBTFD,1912,Texas League,1912-05-01,0,regular,P5818559,Jacobs,
HSZFQLR,1912,Texas League,1912-05-01,0,regular,P6058015,Brady,
ZXXNZHV,1912,Texas League,1912-05-01,0,regular,P5796093,Van Syckle,
ZDHQLSL,1912,Texas League,1912-05-01,0,regular,P1611835,Newhouse,
JPTPPBJ,1912,South Central League,1912-05-01,0,regular,P8417489,Schultz,
YLRKNQH,1912,South Central League,1912-05-01,0,regular,P1471891,Marraine,
YLRKNQH,1912,South Central League,1912-05-01,0,regular,P2837477,Hall,
XVNBFGW,1912,South Central League,1912-05-01,0,regular,P2865636,Daniels,
XVNBFGW,1912,South Central League,1912-05-01,0,regular,P7156284,Fulton,
DPLQZDD,1912,Texas-Oklahoma League,1912-05-01,0,regular,P2825161,West,
SRNFCMD,1912,Texas-Oklahoma League,1912-05-01,0,regular,P0861387,Murphy,
HBZVSXF,1912,Texas-Oklahoma League,1912-05-01,0,regular,P4252854,Folsom,
QPVSVWF,1912,Texas-Oklahoma League,1912-05-01,0,regular,P8972381,Mulkey,
DLYBGKP,1912,Texas League,1912-04-29,0,regular,P9434830,Wilkins,
