key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9
HGJJHMB,1912-06-29,0,Carolina Association,regular,,Spartanburg,0,,Anderson,1,,600,1:45,,,,,data/boxscores/transcript/1912/1912-CO/CO-19120627.txt,"The Charlotte Observer Jun 30, 1912",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,x
ZRBSLLC,1912-06-29,0,Carolina Association,regular,,Greensboro,1,,Charlotte,8,,1000,1:45,,,,,data/boxscores/transcript/1912/1912-CO/CO-19120627.txt,"The Charlotte Observer Jun 30, 1912",0,0,0,0,0,0,0,0,1,0,0,2,0,0,3,1,2,x
DGTTKJC,1912-06-29,0,Carolina Association,regular,,Greenville,3,,Winston-Salem,6,,1500,1:35,,,,,data/boxscores/transcript/1912/1912-CO/CO-19120627.txt,"The Charlotte Observer Jun 30, 1912",1,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,x
STSGTXM,1912-07-04,1,Carolina Association,regular,,Anderson,7,,Charlotte,1,,1200,1:50,,,,,data/boxscores/transcript/1912/1912-CO/CO-19120704.txt,"The Charlotte Observer Jul 5, 1912",0,0,0,1,1,1,0,0,4,0,0,0,0,0,1,0,0,0
PGDLRKF,1912-07-04,1,Carolina Association,regular,,Greensboro,4,,Winston-Salem,5,,2500,1:45,,,,,data/boxscores/transcript/1912/1912-CO/CO-19120704.txt,"The Charlotte Observer Jul 5, 1912",0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,3,0,x
