key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
RPVPMTK,1910-03-30,0,Pacific Coast,regular,,Portland,0,,San Francisco,4,,7500,1:25,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-03-31",0,0,0,0,0,0,0,0,0,,,,,,,0,0,4,0,0,0,0,0,X,,,,,,
SNZFMVQ,1910-03-31,0,Pacific Coast,regular,,Oakland,3,,Sacramento,2,,,1:45,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-01",2,0,0,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0,2,0,0,,,,,,
VVLDGHV,1910-03-31,0,Pacific Coast,regular,,Portland,2,,San Francisco,2,,,2:55,,completed early,darkness,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-01",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TVJZSVG,1910-03-31,0,Pacific Coast,regular,,Los Angeles,4,,Vernon,10,,,1:45,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-01",2,2,0,0,0,0,0,0,0,,,,,,,3,0,1,0,2,1,3,0,0,,,,,,
GFDFNHP,1910-04-01,0,Pacific Coast,regular,,Oakland,3,,Sacramento,0,,,1:35,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-02",0,0,0,0,0,3,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
QBQTKNH,1910-04-01,0,Pacific Coast,regular,,Portland,3,,San Francisco,0,,,1:50,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-02",0,0,0,0,0,0,0,3,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
CWWDSLK,1910-04-01,0,Pacific Coast,regular,,Los Angeles,2,,Vernon,8,,,2:00,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-02",1,0,0,0,0,0,0,1,0,,,,,,,1,0,0,1,0,1,0,4,1,,,,,,
NTQVCBP,1910-04-02,0,Pacific Coast,regular,,Oakland,0,,Sacramento,2,,,1:45,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-03",0,0,0,0,0,0,0,0,0,,,,,,,1,0,0,0,1,0,0,0,0,,,,,,
SMJRLBQ,1910-04-02,0,Pacific Coast,regular,,Portland,4,,San Francisco,0,,,1:37,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-03",0,0,0,0,0,4,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
CSNFSJC,1910-04-02,0,Pacific Coast,regular,,Los Angeles,2,,Vernon,3,,1500,2:20,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-03",0,0,1,0,0,0,1,0,0,0,0,,,,,0,0,1,0,0,1,0,0,0,0,1,,,,
PKGVQPW,1910-04-03,0,Pacific Coast,regular,,Oakland,1,,Sacramento,4,,,1:40,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-04",0,0,0,0,0,1,0,0,0,,,,,,,2,0,1,1,0,0,0,0,X,,,,,,
YYNDPJZ,1910-04-03,1,Pacific Coast,regular,,Portland,4,,San Francisco,5,,,1:50,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-04",0,0,1,3,0,0,0,0,0,,,,,,,0,0,0,2,0,0,0,3,X,,,,,,
VWWDZPJ,1910-04-03,2,Pacific Coast,regular,,Portland,2,,San Francisco,4,,,,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-04",0,0,0,0,2,0,0,0,0,,,,,,,1,0,0,0,0,3,0,0,X,,,,,,
QVTKGVF,1910-04-03,1,Pacific Coast,regular,,Los Angeles,1,,Vernon,4,,700,1:35,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-04",0,0,0,0,0,1,0,0,0,,,,,,,0,1,0,0,0,0,2,1,0,,,,,,
FGJWCQR,1910-04-05,0,Pacific Coast,regular,,San Francisco,2,,Oakland,1,,,1:30,,final,,,1910/1910-SFE/SFE-19100330.txt,"San Francisco Examiner, 1910-04-06",0,1,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,1,,,,,,
