key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
YHPKHRC,1915-04-27,0,Rio Grande Association,regular,,Phoenix,2,,Tucson,10,,,2:00,,,,,transcript/1915/1915-EPH/boxes/EPH-19150427.txt,"El Paso Herald, April 28, 1915",0,0,0,1,0,0,0,1,0,,,,,1,0,0,3,2,1,3,0,x,,,,
PJLKPJX,1915-04-28,0,Rio Grande Association,regular,,Phoenix,,,Tucson,,,,,,postponed,rain,,transcript/1915/1915-EPH/boxes/EPH-19150427.txt,"El Paso Herald, April 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
CYHRRGV,1915-04-29,0,Rio Grande Association,regular,,Phoenix,6,,Tucson,1,,,1:50,,,,,transcript/1915/1915-EPH/boxes/EPH-19150427.txt,"El Paso Herald, April 30, 1915",2,0,0,4,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,,,,
HVRQBNR,1915-04-30,0,Rio Grande Association,regular,,Phoenix,7,,Tucson,3,,,2:00,,,,,transcript/1915/1915-EPH/boxes/EPH-19150427.txt,"El Paso Herald, May 1, 1915",2,3,0,0,1,0,1,0,0,,,,,1,0,1,1,0,0,0,0,0,,,,
BRFJXWW,1915-05-01,0,Rio Grande Association,regular,,Las Cruces,8,,El Paso,5,,"2,500",2:15,,,,,transcript/1915/1915-EPH/boxes/EPH-19150427.txt,"El Paso Herald, May 3, 1915",0,2,3,0,1,0,0,2,0,,,,,1,0,0,0,2,1,0,1,0,,,,
GFTNHBQ,1915-05-01,0,Rio Grande Association,regular,,Phoenix,0,,Tucson,3,,,1:30,,,,,transcript/1915/1915-EPH/boxes/EPH-19150427.txt,"El Paso Herald, May 3, 1915",0,0,0,0,0,0,0,0,0,,,,,0,0,1,0,2,0,0,0,x,,,,
ZPPXXGT,1915-05-02,0,Rio Grande Association,regular,,Las Cruces,19,,El Paso,20,,"1,100",3:17,,,,,transcript/1915/1915-EPH/boxes/EPH-19150427.txt,"El Paso Herald, May 3, 1915",2,0,4,1,3,0,4,2,3,,,,,0,6,1,0,3,2,1,4,3,,,,
PKPXSJW,1915-05-02,0,Rio Grande Association,regular,,Phoenix,5,,Tucson,3,,,2:40,,,,,transcript/1915/1915-EPH/boxes/EPH-19150427.txt,"El Paso Herald, May 3, 1915",0,0,1,1,0,0,1,0,0,0,0,2,,0,0,1,0,2,0,0,0,0,0,0,0,
JPCJRRW,1915-05-04,0,Rio Grande Association,regular,,Douglas,6,,Albuquerque,9,,,2:06,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 5, 1915",0,0,0,0,0,0,5,1,0,,,,,1,0,0,4,4,0,0,0,x,,,,
VJHRXRF,1915-05-04,0,Rio Grande Association,regular,,Las Cruces,12,,El Paso,7,,,2:06,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 5, 1915",1,0,4,2,2,0,1,0,2,,,,,1,0,0,1,2,2,0,1,0,,,,
JPBLRYH,1915-05-04,0,Rio Grande Association,regular,,Tucson,0,,Phoenix,5,,1200,1:50,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 5, 1915",0,0,0,0,0,0,0,0,0,,,,,0,4,0,0,0,1,0,0,x,,,,
YSRNZRS,1915-05-05,0,Rio Grande Association,regular,,Douglas,1,,Albuquerque,11,,,1:50,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 6, 1915",1,0,0,0,0,0,0,0,0,,,,,2,1,2,0,0,1,3,2,x,,,,
YLDSGBL,1915-05-05,0,Rio Grande Association,regular,,Las Cruces,6,,El Paso,11,,,1:58,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 6, 1915",0,1,0,2,1,1,1,0,0,,,,,1,0,1,0,0,1,8,0,x,,,,
JZLSCZG,1915-05-05,0,Rio Grande Association,regular,,Tucson,1,,Phoenix,4,,,1:40,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 6, 1915",0,0,0,0,0,0,0,1,0,,,,,3,0,0,0,0,0,0,1,x,,,,
VXBGYLP,1915-05-06,0,Rio Grande Association,regular,,Douglas,,,Albuquerque,,,,,,postponed,rain,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
MZYTBYS,1915-05-06,0,Rio Grande Association,regular,,Las Cruces,,,El Paso,,,,,,postponed,high wind,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 7, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
PHYCPFB,1915-05-06,0,Rio Grande Association,regular,,Tucson,1,,Phoenix,4,,,1:35,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 7, 1915",0,0,0,0,0,0,0,1,0,,,,,3,0,0,0,0,0,0,1,x,,,,
VVZZTZJ,1915-05-07,0,Rio Grande Association,regular,,Douglas,5,,Albuquerque,13,,,,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 8, 1915",3,0,0,0,0,0,2,0,0,,,,,5,1,0,2,3,1,0,1,x,,,,
FCTMGTF,1915-05-07,0,Rio Grande Association,regular,,Tucson,4,,Phoenix,6,,300,2:00,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 8, 1915",0,0,0,0,0,0,3,0,1,,,,,0,1,0,0,1,1,0,3,x,,,,
RFGPYVM,1915-05-08,0,Rio Grande Association,regular,,Douglas,5,,Albuquerque,17,,,,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 10, 1915",2,1,1,0,1,0,0,0,0,,,,,1,1,4,6,0,2,1,2,x,,,,
XHVWZTP,1915-05-08,0,Rio Grande Association,regular,,Las Cruces,4,,El Paso,11,,,1:50,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 10, 1915",0,0,0,0,1,0,3,0,0,,,,,0,0,0,4,2,1,0,4,x,,,,
MKVZSMR,1915-05-08,0,Rio Grande Association,regular,,Tucson,1,,Phoenix,3,,500,1:45,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 10, 1915",0,0,0,0,0,0,0,1,0,,,,,1,1,0,1,0,0,0,0,x,,,,
RTVQLWN,1915-05-09,1,Rio Grande Association,regular,,Douglas,4,,Albuquerque,6,,,,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 10, 1915",0,0,0,1,1,0,0,2,0,,,,,2,0,0,2,1,0,1,0,x,,,,
KHJJZXH,1915-05-09,2,Rio Grande Association,regular,,Douglas,9,,Albuquerque,5,,,,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 10, 1915",2,0,7,0,0,,,,,,,,,4,0,1,0,0,,,,,,,,
GRVVZBL,1915-05-09,1,Rio Grande Association,regular,,Las Cruces,5,,El Paso,2,,"1,600",2:12,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 10, 1915",0,0,1,2,0,0,0,0,2,,,,,0,0,1,0,0,1,0,0,0,,,,
TBGGFVK,1915-05-09,2,Rio Grande Association,regular,,Las Cruces,5,,El Paso,7,,,2:06,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 10, 1915",3,0,0,2,0,0,0,0,0,,,,,2,4,1,0,0,0,0,0,0,,,,
TTBXLLW,1915-05-09,0,Rio Grande Association,regular,,Tucson,6,,Phoenix,7,,1000,2:15,,,,,transcript/1915/1915-EPH/boxes/EPH-19150503.txt,"El Paso Herald, May 10, 1915",0,0,0,0,0,1,0,5,0,,,,,3,0,0,0,0,1,0,3,x,,,,
NVZWZPK,1915-05-11,0,Rio Grande Association,regular,,Las Cruces,4,,Albuquerque,8,,,,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 12, 1915",0,1,0,0,3,0,0,0,0,,,,,0,3,2,0,1,0,2,0,x,,,,
MZMHLSD,1915-05-11,0,Rio Grande Association,regular,,Douglas,12,,El Paso,13,,,2:16,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 12, 1915",0,0,10,0,0,0,0,1,1,,,,,0,3,2,0,0,0,1,3,4,,,,
YMFLSYN,1915-05-12,0,Rio Grande Association,regular,,Las Cruces,5,,Albuquerque,12,,,,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 13, 1915",0,0,4,1,0,0,0,0,0,,,,,0,5,0,0,6,0,0,1,x,,,,
LSRSLNJ,1915-05-12,0,Rio Grande Association,regular,,Douglas,4,,El Paso,8,,,1:58,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 13, 1915",0,0,0,0,0,1,0,3,0,,,,,0,0,0,0,0,1,6,1,x,,,,
JGJHRZZ,1915-05-13,0,Rio Grande Association,regular,,Las Cruces,12,,Albuquerque,21,,,,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 14, 1915",0,0,2,2,5,1,2,0,0,,,,,1,1,0,14,2,1,0,2,x,,,,
YVWVHZV,1915-05-13,0,Rio Grande Association,regular,,Douglas,5,,El Paso,6,,,2:00,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 14, 1915",0,0,0,4,0,0,0,0,1,0,,,,1,0,0,0,0,0,1,0,3,1,,,
HJPDDKX,1915-05-14,0,Rio Grande Association,regular,,Las Cruces,5,,Albuquerque,7,,,,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 15, 1915",1,3,0,0,0,0,0,1,0,,,,,1,3,1,2,0,0,0,0,x,,,,
ZZYCDMX,1915-05-15,0,Rio Grande Association,regular,,Las Cruces,6,,Albuquerque,4,,,1:40,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 17, 1915",0,0,1,0,1,1,3,0,0,,,,,2,0,0,0,1,0,1,0,0,,,,
FFTKGFL,1915-05-15,0,Rio Grande Association,regular,,Douglas,3,,El Paso,7,,,1:45,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 17, 1915",0,0,1,0,0,0,0,2,0,,,,,2,0,4,0,1,0,0,0,x,,,,
VTXHSGH,1915-05-15,0,Rio Grande Association,regular,,Phoenix,4,,Tucson,15,,,2:00,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 17, 1915",2,0,0,0,1,1,0,0,0,,,,,1,0,2,0,1,5,5,1,x,,,,
HLKWSMV,1915-05-16,0,Rio Grande Association,regular,,Las Cruces,8,,Albuquerque,9,,,,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 17, 1915",1,0,0,0,0,0,0,5,2,,,,,0,0,0,1,1,1,0,1,5,,,,
NPPZMZJ,1915-05-16,1,Rio Grande Association,regular,,Douglas,2,,El Paso,9,,"1,800",2:04,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 17, 1915",0,0,0,0,0,0,0,2,0,,,,,1,0,0,0,0,1,6,1,x,,,,
SYBVKDF,1915-05-16,2,Rio Grande Association,regular,,Douglas,4,,El Paso,0,,,1:13,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 17, 1915",0,0,0,0,1,3,0,,,,,,,0,0,0,0,0,0,0,,,,,,
MSZNWQL,1915-05-16,1,Rio Grande Association,regular,,Phoenix,5,,Tucson,6,,,2:00,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 17, 1915",0,1,3,0,0,0,0,1,0,0,,,,0,0,3,1,1,0,0,0,0,1,,,
LYDXPWY,1915-05-16,2,Rio Grande Association,regular,,Phoenix,5,,Tucson,0,,,1:45,,,,,transcript/1915/1915-EPH/boxes/EPH-19150510.txt,"El Paso Herald, May 17, 1915",0,0,0,0,3,0,0,2,x,,,,,0,0,0,0,0,0,0,0,0,,,,
QYYDHBK,1915-05-18,0,Rio Grande Association,regular,,El Paso,13,,Douglas,10,,,1:50,,,,,transcript/1915/1915-EPH/boxes/EPH-19150517.txt,"El Paso Herald, May 19, 1915",2,0,1,0,0,4,2,4,0,,,,,2,1,0,0,0,0,0,7,0,,,,
DRNNCPK,1915-05-18,0,Rio Grande Association,regular,,Phoenix,,,Las Cruces,,,,,,postponed,high winds,,transcript/1915/1915-EPH/boxes/EPH-19150517.txt,"El Paso Herald, May 19, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
LQYWHPP,1915-05-18,0,Rio Grande Association,regular,,Albuquerque,6,,Tucson,5,,400,2:35,,,,,transcript/1915/1915-EPH/boxes/EPH-19150517.txt,"El Paso Herald, May 19, 1915",0,0,2,0,0,0,1,0,0,2,0,1,,0,0,0,0,2,1,0,0,0,2,0,0,
XYCCMNQ,1915-05-19,0,Rio Grande Association,regular,,El Paso,9,,Douglas,14,,,2:15,,,,,transcript/1915/1915-EPH/boxes/EPH-19150517.txt,"El Paso Herald, May 20, 1915",4,0,0,1,1,3,0,0,0,,,,,1,2,5,1,2,1,2,0,x,,,,
DHGYFLW,1915-05-19,0,Rio Grande Association,regular,,Phoenix,5,,Las Cruces,2,,,1:50,,,,,transcript/1915/1915-EPH/boxes/EPH-19150517.txt,"El Paso Herald, May 20, 1915",0,0,3,1,0,0,1,0,0,,,,,0,0,2,0,0,0,0,0,0,,,,
