league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,Rio Grande Association,regular,P2073620,,,1915-05-05,1915-05-05,1
1915,Rio Grande Association,regular,P4933756,Brashear,,1915-06-16,1915-06-29,11
1915,Rio Grande Association,regular,P6567881,H. Kane,,1915-04-30,1915-04-30,1
1915,Rio Grande Association,regular,P5030713,Harry Kane,,1915-06-08,1915-06-09,2
1915,Rio Grande Association,regular,P1659699,Kane,,1915-04-27,1915-06-29,43
1915,Rio Grande Association,regular,P1871797,Mahaffey,,1915-05-01,1915-05-23,14
1915,Rio Grande Association,regular,P7980628,Mahffey,,1915-05-11,1915-05-11,1
1915,Rio Grande Association,regular,P8843476,Quigley,,1915-06-18,1915-06-29,11
1915,Rio Grande Association,regular,P4837276,Sterling,,1915-05-01,1915-06-13,30
1915,Rio Grande Association,regular,P8852128,Stirling,,1915-05-04,1915-05-05,2
