game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Kelly,W.,Anderson,ss,1,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,4,7,0,1,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Farmer,,Anderson,p,10,2,0,,1,,,,,,,,,,,,,,3.2,,,8,1,2,,,,0,0,0,1,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Anthony,,Anderson,ph,11,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,McEnroe,,Anderson,cf,2,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,McCarthy,,Anderson,3b,3,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Kelly,J.,Anderson,rf,4,4,1,,0,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Fogarty,,Anderson,1b,5,4,1,,2,,,,,,,,,,,,,,,,,,,,,,,12,0,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Hartley,,Anderson,lf,6,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Corbett,,Anderson,2b,7,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,4,2,1,1,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Brannon,,Anderson,c,8,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,3,5,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Kuse,,Anderson,p,9,1,0,,0,,,,,,,,,,,,,,4.1,,,7,4,1,,,,0,2,1,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,TOTALS,,Anderson,,,34,3,,5,,,,,,,,,,,,6,,,,,,,,,,,24,16,2,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Mullin,,Winston-Salem,cf,1,5,1,,5,1,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Clemens,,Winston-Salem,lf,2,2,0,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,1,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,O'Halloran,,Winston-Salem,2b,3,4,1,,2,1,,,,,,,,,,,,,,,,,,,,,,3,7,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Spencer,,Winston-Salem,rf,4,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Schumaker,,Winston-Salem,1b,5,3,1,,2,1,,,,,,,,,,,,,,,,,,,,,,16,0,1,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Yates,,Winston-Salem,3b,6,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,3,0,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Clancy,J.,Winston-Salem,ss,7,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,3,4,1,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Stewart,,Winston-Salem,p,8,3,2,,2,,,,,,,,,,,,,,,,,,2,5,,,,0,5,0,,,,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,Galvin,,Winston-Salem,c,9,3,0,,1,,,,,,,,,1,,,,,,,,,,,,,,4,1,0,,,1,
31bdf519-952d-5a67-8130-76a10641998f,1911,Carolina Association,1911-05-06,0,regular,TOTALS,,Winston-Salem,,,36,6,,15,,,,,,,,,,,,8,,,,,,,,,,,27,17,3,,,,
