game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first
YMBYBWT,1915,Blue Ridge League,1915-05-27,0,regular,Glatts,
SWZJNQM,1915,Blue Ridge League,1915-05-28,0,regular,Glatts,
YCRPFBD,1915,Blue Ridge League,1915-05-28,0,regular,Hanks,
WLHKTFF,1915,Blue Ridge League,1915-05-29,0,regular,Glatts,
RKLFRSW,1915,Blue Ridge League,1915-05-31,2,regular,Hanks,
ZVLSLYM,1915,Blue Ridge League,1915-06-05,0,regular,Glatts,
BPXJKRC,1915,Blue Ridge League,1915-06-07,0,regular,McAtee,
YBWSYPW,1915,Blue Ridge League,1915-06-08,0,regular,McAtee,
FVWFQTN,1915,Blue Ridge League,1915-06-11,0,regular,Glatts,
FQQBGRT,1915,Blue Ridge League,1915-06-12,0,regular,Glatts,
XNGZZXX,1915,Blue Ridge League,1915-06-17,0,regular,Glatts,
QYNVVKY,1915,Blue Ridge League,1915-06-19,1,regular,Glatts,
NSCYVDV,1915,Blue Ridge League,1915-06-19,2,regular,Glats,
FPNGDVY,1915,Blue Ridge League,1915-06-22,0,regular,Glatts,
RWMPZKD,1915,Blue Ridge League,1915-06-23,0,regular,Hanks,
BHNCXYF,1915,Blue Ridge League,1915-06-24,0,regular,Hanks,
NFQXNDZ,1915,Blue Ridge League,1915-06-25,1,regular,Hanks,
FMZKBDV,1915,Blue Ridge League,1915-06-25,2,regular,Hanks,
BCSLXYC,1915,Blue Ridge League,1915-06-26,1,regular,Hanks,
GDTTFQX,1915,Blue Ridge League,1915-06-29,0,regular,Hanks,
DZXHCGB,1915,Blue Ridge League,1915-07-01,0,regular,Hanks,
GMCXSJM,1915,Blue Ridge League,1915-07-02,0,regular,Glatts,
PJWGLXJ,1915,Blue Ridge League,1915-07-03,0,regular,Glatts,
DTNQBKX,1915,Blue Ridge League,1915-07-05,1,regular,Glatts,
NGFRRBP,1915,Blue Ridge League,1915-07-05,2,regular,Glatts,
TWTKJTN,1915,Blue Ridge League,1915-07-06,0,regular,Hanks,
HWNLJXB,1915,Blue Ridge League,1915-07-07,1,regular,Hanks,
HZWXCDR,1915,Blue Ridge League,1915-07-07,2,regular,Hanks,
XZSXRDN,1915,Blue Ridge League,1915-07-08,0,regular,Hanks,
XPXRNDQ,1915,Blue Ridge League,1915-07-09,0,regular,McAtee,
GWPQZDF,1915,Blue Ridge League,1915-07-10,0,regular,McAtee,
XTJCZPP,1915,Blue Ridge League,1915-07-12,0,regular,Glatts,
MFZGCNG,1915,Blue Ridge League,1915-07-15,0,regular,McAtee,
SSVBHGX,1915,Blue Ridge League,1915-07-16,0,regular,McAtee,
KNMXFLM,1915,Blue Ridge League,1915-07-16,0,regular,Glatts,
ZKRYMVS,1915,Blue Ridge League,1915-07-17,0,regular,McAtee,
VWRGNCK,1915,Blue Ridge League,1915-07-19,0,regular,Glatts,
QFJXQMH,1915,Blue Ridge League,1915-07-19,0,regular,Cleary,
BFTJNDV,1915,Blue Ridge League,1915-07-21,0,regular,McAtee,
BFTJNDV,1915,Blue Ridge League,1915-07-21,0,regular,Derr,
KDFFLFW,1915,Blue Ridge League,1915-07-22,0,regular,McAtee,
KDFFLFW,1915,Blue Ridge League,1915-07-22,0,regular,Derr,
DHMKMMB,1915,Blue Ridge League,1915-07-23,0,regular,Cleary,
MMFXQTB,1915,Blue Ridge League,1915-07-26,0,regular,Glatts,
GXKNKYY,1915,Blue Ridge League,1915-07-27,0,regular,Glatts,
LJGKVQW,1915,Blue Ridge League,1915-07-28,0,regular,Cleary,
QKZFHWN,1915,Blue Ridge League,1915-07-29,0,regular,Cleary,
GXZNXHL,1915,Blue Ridge League,1915-07-30,0,regular,Glatts,
WJCMLKF,1915,Blue Ridge League,1915-07-31,0,regular,Glatts,
GTMGGYD,1915,Blue Ridge League,1915-08-03,0,regular,Stradford,
WYGKPPY,1915,Blue Ridge League,1915-08-06,0,regular,Glatts,
WYGKPPY,1915,Blue Ridge League,1915-08-06,0,regular,Stratford,
MRYCRVD,1915,Blue Ridge League,1915-08-09,0,regular,Cleary,
VFPNXDM,1915,Blue Ridge League,1915-08-10,0,regular,Cleary,
SSMVTWL,1915,Blue Ridge League,1915-08-12,0,regular,Cleary,
NHDHZXF,1915,Blue Ridge League,1915-08-13,0,regular,Stafford,
NHDHZXF,1915,Blue Ridge League,1915-08-13,0,regular,Cleary,
GTTMFTG,1915,Blue Ridge League,1915-08-14,0,regular,Cleary,
QYDNNHW,1915,Blue Ridge League,1915-08-14,0,regular,Derr,
HYXJWSS,1915,Blue Ridge League,1915-08-14,0,regular,Glatts,
BWNBWWL,1915,Blue Ridge League,1915-08-16,0,regular,Cleary,
HFYXKQC,1915,Blue Ridge League,1915-08-16,0,regular,Derr,
QCKKYXL,1915,Blue Ridge League,1915-08-17,0,regular,Cleary,
LXSQTQZ,1915,Blue Ridge League,1915-08-18,1,regular,Cleary,
HHYKTJD,1915,Blue Ridge League,1915-08-18,2,regular,Cleary,
LXKLRFF,1915,Blue Ridge League,1915-08-20,0,regular,Glatts,
CVPYJYW,1915,Blue Ridge League,1915-08-23,0,regular,Glatts,
NWXJQKM,1915,Blue Ridge League,1915-08-25,1,regular,Cleary,
ZHVCBWF,1915,Blue Ridge League,1915-08-25,2,regular,Cleary,
NDRSYWQ,1915,Blue Ridge League,1915-08-26,1,regular,Greenwell,
NDRSYWQ,1915,Blue Ridge League,1915-08-26,1,regular,Stevens,
KVYVWVS,1915,Blue Ridge League,1915-08-26,2,regular,Greenwell,
