key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
92880f1a-a0b9-5797-b11d-86b88d5cda8a,1915-05-27,0,Blue Ridge,,Hagerstown,,,Chambersburg,,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150527.txt,"Frederick Post, May 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ac732406-f61c-512d-b785-9e4a56aeafa1,1915-05-27,0,Blue Ridge,,Martinsburg,3,,Frederick,14,,3000,2:10,,,,transcript/1915/1915-FP/boxes/BLRI-19150527.txt,"Frederick Post, May 28, 1915",0,0,0,0,0,0,3,0,0,,,,,,,0,2,4,2,1,1,4,0,0,,,,,,
c07e70d1-79a0-54b3-bdfc-ebee16f91651,1915-05-27,0,Blue Ridge,,Gettysburg,,,Hanover,,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150527.txt,"Frederick Post, May 28, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ee43795-4927-571d-aac6-f6f941bbdbcd,1915-05-28,0,Blue Ridge,,Hanover,,,Gettysburg,,,,1:50,,,,transcript/1915/1915-FP/boxes/BLRI-19150527.txt,"Frederick Post, May 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f4e60671-7194-58ab-b50a-ddb7ca4c8786,1915-05-28,0,Blue Ridge,,Chambersburg,,,Hagerstown,,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150527.txt,"Frederick Post, May 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5a8fc4c2-28a4-5465-8a43-d7a1fccb2763,1915-05-28,0,Blue Ridge,,Frederick,3,,Martinsburg,5,,,1:50,,,,transcript/1915/1915-FP/boxes/BLRI-19150527.txt,"Frederick Post, May 29, 1915",0,1,0,1,1,0,0,0,0,,,,,,,1,0,1,0,0,2,1,0,x,,,,,,
fc0c1066-740f-5432-abca-d22185e047bf,1915-05-29,0,Blue Ridge,,Chambersburg,,,Hagerstown,,,,,,postponed,rain,transcript/1915/1915-FP/boxes/BLRI-19150527.txt,"Frederick Post, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166dc068-1fd1-5dd7-a1b2-91686c5d5db1,1915-05-29,0,Blue Ridge,,Gettysburg,3,,Hanover,4,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150527.txt,"Frederick Post, June 1, 1915",0,1,0,1,0,0,1,0,0,0,,,,,,2,0,0,0,1,0,0,0,0,1,,,,,
9c5255b3-2bad-530b-ba28-ba53e6f1fd8b,1915-05-29,0,Blue Ridge,,Frederick,4,,Martinsburg,3,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150527.txt,"Frederick Post, May 31, 1915",0,0,2,0,0,0,2,0,0,,,,,,,0,0,3,0,0,0,0,0,0,,,,,,
ea90582d-3e89-5b62-a477-38d7c8372a4f,1915-05-31,2,Blue Ridge,,Gettysburg,5,,Frederick,7,,1400,2:15,,,,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 1, 1915",0,2,0,0,0,0,0,1,2,,,,,,,1,0,0,1,4,1,0,0,x,,,,,,
b49a18d4-86d5-5999-a72f-1d4f03be65da,1915-05-31,1,Blue Ridge,,Frederick,,,Gettysburg,,,,,,postponed,wet grounds,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f7f93eed-43ed-5017-ae3e-ecac7b3150e4,1915-05-31,1,Blue Ridge,,Martinsburg,,,Hagerstown,,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44a09920-5db0-5c21-b881-c7dc4394872c,1915-05-31,1,Blue Ridge,,Chambersburg,,,Hanover,,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb803901-3833-5803-a0b4-4ab1eae49de6,1915-05-31,2,Blue Ridge,,Chambersburg,,,Hanover,,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
df120413-3579-5d64-bb55-3a16062960b4,1915-05-31,2,Blue Ridge,,Hagerstown,,,Martinsburg,,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfd61391-05e3-5ed3-8e07-11e509707053,1915-06-02,0,Blue Ridge,,Martinsburg,,,Hagerstown,,,,,,postponed,rain,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 3, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8dcd5c4-df63-5789-a718-cefedc676cb2,1915-06-03,0,Blue Ridge,,Gettysburg,,,Chambersburg,,,,,,postponed,wet grounds,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98d67ceb-bd15-5b2d-82af-2815d99994f2,1915-06-03,0,Blue Ridge,,Hanover,,,Frederick,,,,,,postponed,wet grounds,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd9c8e16-0922-5858-bc18-bf34b22e4c37,1915-06-03,0,Blue Ridge,,Hagerstown,,,Martinsburg,,,,,,postponed,wet grounds,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 4, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94ba83ee-7b10-52d4-b539-1f50971b5e1b,1915-06-04,0,Blue Ridge,,Frederick,,,Hagerstown,,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 5, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c7e6da0-5cd5-5cd4-bf6d-149861e7b430,1915-06-05,0,Blue Ridge,,Gettysburg,8,,Chambersburg,3,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 7, 1915",0,0,1,2,0,1,3,1,0,,,,,,,1,0,1,0,0,0,1,0,0,,,,,,
411ad205-b43d-5e14-9236-92b2adefcc4e,1915-06-05,0,Blue Ridge,,Frederick,1,,Hagerstown,0,,1500,1:20,,,,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 7, 1915",0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
497153e8-38c5-5f96-b5bb-0af6f00ce975,1915-06-05,0,Blue Ridge,,Martinsburg,3,,Hanover,4,,,,,,,transcript/1915/1915-FP/boxes/BLRI-19150531.txt,"Frederick Post, June 7, 1915",0,0,3,0,0,0,0,0,0,,,,,,,0,0,0,3,0,0,1,0,x,,,,,,
