key,league,date,number,source,team1.name,team1.align,team1.score,team2.name,team2.align,team2.score,status_code,status_reason
19150505-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-05,0,1915-AJ,Tucson,a,1.0,Phoenix,h,4.0,final,
19150505-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-05,0,1915-AR,Tucson,a,1.0,Phoenix,h,4.0,final,
19150505-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-05,0,1915-EPH,Tucson,a,1,Phoenix,h,4,final,
19150506-RIOALB-RIODOU-0,Rio Grande Association,1915-05-06,0,1915-AJ,Douglas,a,,Albuquerque,h,,postponed,
19150506-RIOALB-RIODOU-0,Rio Grande Association,1915-05-06,0,1915-AR,Douglas,a,,Albuquerque,h,,postponed,
19150506-RIOALB-RIODOU-0,Rio Grande Association,1915-05-06,0,1915-EPH,Douglas,a,,Albuquerque,h,,postponed,
19150506-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-06,0,1915-AJ,Las Cruces,a,,El Paso,h,,postponed,
19150506-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-06,0,1915-AR,Las Cruces,a,,El Paso,h,,postponed,
19150506-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-06,0,1915-EPH,Las Cruces,a,,El Paso,h,,postponed,
19150506-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-06,0,1915-AJ,Tucson,a,1.0,Phoenix,h,3.0,final,
19150506-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-06,0,1915-AR,Tucson,a,1.0,Phoenix,h,3.0,final,
19150506-RIOPHX-RIOTUC-0,Rio Grande Association,1915-05-06,0,1915-EPH,Tucson,a,1,Phoenix,h,4,final,
19150507-RIOALB-RIODOU-0,Rio Grande Association,1915-05-07,0,1915-AJ,Douglas,a,5.0,Albuquerque,h,13.0,final,
19150507-RIOALB-RIODOU-0,Rio Grande Association,1915-05-07,0,1915-AR,Douglas,a,5.0,Albuquerque,h,13.0,final,
19150507-RIOALB-RIODOU-0,Rio Grande Association,1915-05-07,0,1915-EPH,Douglas,a,5,Albuquerque,h,13,final,
19150507-RIOELP-RIOLAC-0,Rio Grande Association,1915-05-07,0,1915-AR,Las Cruces,a,,El Paso,h,,postponed,
