key,date,number,league,away,away.score,home,home.score,A,T,status,status-reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16
12e46e95-898a-5a9e-86dd-f4f5532232e5,1915-05-23,0,Buckeye,Akron,4,Lima,20,1300,2:17,,,transcript/1915/1915-LDN/boxes/BUCK-19150519.txt,"Lima Daily News, May 24, 1915",0,0,0,0,1,0,0,2,1,,,,,,,,0,6,0,3,1,0,7,3,x,,,,,,,
e6f04b0a-b46a-527f-962e-72b0ebe3c979,1915-05-23,0,Buckeye,Findlay,7,Newark,7,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150519.txt,"Lima Daily News, May 24, 1915",6,1,0,0,0,0,0,0,0,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,
c7dee6d5-d7af-5bb2-b72f-91ab5dd2f5a6,1915-05-27,0,Buckeye,Newark,5,Akron,7,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, May 28, 1915",0,2,0,0,0,0,3,0,0,,,,,,,,1,0,0,1,1,1,0,3,x,,,,,,,
e09e8892-6cd7-57d7-a254-46d21f335677,1915-05-27,0,Buckeye,Lima,7,Canton,0,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, May 28, 1915",1,3,0,0,1,0,1,1,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
b975a70f-576f-5611-a7cd-b7ba8428035f,1915-05-27,0,Buckeye,Findlay,11,Marion,1,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, May 28, 1915",0,0,0,3,3,3,0,0,2,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,
eae447be-5243-5226-8d47-401760781a9f,1915-05-28,0,Buckeye,Newark,7,Akron,6,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, May 29, 1915",4,2,0,0,0,0,0,1,0,,,,,,,,2,0,1,0,0,0,1,0,2,,,,,,,
dfee7424-d06b-52ed-abce-5cd156769797,1915-05-28,0,Buckeye,Lima,4,Canton,3,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, May 29, 1915",0,1,0,1,0,1,0,0,1,,,,,,,,0,0,0,2,0,0,0,1,0,,,,,,,
d5513f86-f915-54ee-bc35-af38634df27f,1915-05-28,0,Buckeye,Findlay,,Marion,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, May 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86a401d8-3914-5043-b88b-3e726cfeb17f,1915-05-29,0,Buckeye,Lima,,Akron,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, May 30, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ea493c3a-c5b5-596f-ac76-801bcbb94246,1915-05-29,0,Buckeye,Newark,,Canton,,,,postponed,wet grounds,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, May 30, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4dc67fb-0dae-5629-8edb-3562b2dfca6e,1915-05-29,0,Buckeye,Marion,,Findlay,,,,postponed,rain,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, May 30, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13dc41ac-e6f3-5a0e-ab8c-992e6ee9f04f,1915-05-30,0,Buckeye,Lima,6,Akron,0,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",1,2,2,0,1,0,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,
34609d26-a0ae-563b-a17d-e8b054894e35,1915-05-31,2,Buckeye,Canton,,Akron,,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9686fcba-b15f-5c77-a064-3e2ba943118c,1915-05-31,1,Buckeye,Akron,,Canton,,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7acd24f3-f923-5911-b22c-ae0a429f5b3b,1915-05-31,1,Buckeye,Lima,1,Findlay,4,,,,,transcript/1915/1915-LDN/boxes/BUCK-19150526.txt,"Lima Daily News, June 1, 1915",0,1,0,0,0,0,0,0,0,,,,,,,,2,1,0,0,1,0,0,0,x,,,,,,,
