game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
YPHGSMP,1915,Buckeye League,1915-05-19,0,regular,Breymaier,,Marion,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPHGSMP,1915,Buckeye League,1915-05-19,0,regular,TOTALS,,Marion,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,
YPHGSMP,1915,Buckeye League,1915-05-19,0,regular,Dillon,,Newark,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPHGSMP,1915,Buckeye League,1915-05-19,0,regular,Daugherty,,Newark,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPHGSMP,1915,Buckeye League,1915-05-19,0,regular,Strawn,,Newark,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YPHGSMP,1915,Buckeye League,1915-05-19,0,regular,TOTALS,,Newark,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Donaldson,,Findlay,rf,1,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,1,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Schultz,,Findlay,p,10,3,1,,1,1,,,,,,,,,,,,,6,,,,6,3,5,,1,,0,2,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Blue,,Findlay,ss,2,5,0,,0,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Werner,,Findlay,lf,3,5,1,,2,,1,,,,,,,,1,,,,,,,,,,,,,,2,0,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Yockey,,Findlay,2b,4,5,0,,1,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,2,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Chapman,,Findlay,1b,5,4,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,5,1,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Costello,,Findlay,cf,6,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,1,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Maguire,,Findlay,3b,7,4,2,,0,,,,,,,,,,1,,,,,,,,,,,,,,2,3,2,1,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,McGivern,,Findlay,c,8,4,0,,3,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Frech,,Findlay,p,9,1,0,,1,,,,,,,,,,,,,,2,,,,6,3,1,,,,0,0,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Findlay,,,41,9,,13,,,,,,,,,,,,7,3,,,,,,,,,,,23,13,3,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Matthews,,Lima,rf,1,4,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,0,1,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Walker,,Lima,p,10,3,0,,0,,,,,,,,,,,,,,7,,,,10,2,5,,,,0,3,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Murray,,Lima,2b,2,5,2,,4,,,,,,,,,,1,,,,,,,,,,,,,,2,5,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Malloy,,Lima,cf,3,5,1,,2,,1,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Schweitzer,,Lima,lf,4,2,3,,0,,,,,,,,,,,,,,,,,,,,,,,,2,1,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,McClelland,,Lima,1b,5,3,1,,1,,,,,,,,1,,1,,,,,,,,,,,,,,10,1,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Cronin,,Lima,ss,6,2,3,,2,2,,,,,,,,1,1,,,,,,,,,,,,,,1,2,1,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Warden,,Lima,3b,7,4,0,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Maroney,,Lima,c,8,4,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,10,1,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,Clark,,Lima,p,9,0,0,,0,,,,,,,,,,,,,,2,,,,3,,1,,,,0,1,0,,,,
HLBHGLZ,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Lima,,,32,12,,12,,,,,,,,,,,,4,3,,,,,,,,,,,27,15,3,,,,
LSCDCXR,1915,Buckeye League,1915-05-21,0,regular,Orndolf,,Marion,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCDCXR,1915,Buckeye League,1915-05-21,0,regular,Breymaier,,Marion,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCDCXR,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Marion,,,,4,,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
LSCDCXR,1915,Buckeye League,1915-05-21,0,regular,Dougherty,,Newark,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCDCXR,1915,Buckeye League,1915-05-21,0,regular,Strawn,,Newark,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSCDCXR,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Newark,,,,3,,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
TLWDTXR,1915,Buckeye League,1915-05-21,0,regular,Kinne,,Akron,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLWDTXR,1915,Buckeye League,1915-05-21,0,regular,Talbott,,Akron,c,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLWDTXR,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Akron,,,,3,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
TLWDTXR,1915,Buckeye League,1915-05-21,0,regular,McLaughlin,,Canton,p,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLWDTXR,1915,Buckeye League,1915-05-21,0,regular,Wilhelm,,Canton,p,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLWDTXR,1915,Buckeye League,1915-05-21,0,regular,Kirby,,Canton,c,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLWDTXR,1915,Buckeye League,1915-05-21,0,regular,TOTALS,,Canton,,,,4,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
BBTRZGK,1915,Buckeye League,1915-05-22,0,regular,TOTALS,,Marion,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBTRZGK,1915,Buckeye League,1915-05-22,0,regular,TOTALS,,Newark,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Donaldson,,Findlay,rf,1,3,2,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,0,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Schultz,,Findlay,p,10,2,0,,0,,,,,,,,,,,,,,,,,,,,5,,1,,1,0,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Blue,,Findlay,ss,2,2,1,,1,,,,,,,1,1,,,,,,,,,,,,,,,,2,3,2,1,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Werner,,Findlay,lf,3,2,1,,0,,,,,,,,1,,,,,,,,,,,,,,,,0,0,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Yockey,,Findlay,2b,4,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Chapman,,Findlay,1b,5,4,2,,2,,1,1,,,,,,,,,,,,,,,,,,,,,10,0,0,1,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Costello,,Findlay,cf,6,3,1,,1,,,,,,,,,,1,,,,,,,,,,,,,,3,0,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,Maguire,,Findlay,3b,7,3,0,,1,,,,,,,1,,,3,,,,,,,,,,,,,,2,0,0,,,,
BTBYDVP,1915,Buckeye League,1915-05-22,0,regular,McGivern,,Findlay,c,8,4,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,7,1,0,,,,
