league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,Buckeye League,regular,P3576661,Berthaume,,1915-06-04,1915-06-28,2
1915,Buckeye League,regular,P0760469,Black,,1915-06-27,1915-06-27,1
1915,Buckeye League,regular,P9774725,Clark,,1915-06-06,1915-06-27,2
1915,Buckeye League,regular,P5952999,Hart,,1915-06-06,1915-06-06,1
1915,Buckeye League,regular,P4770262,O'Neil,,1915-06-20,1915-06-20,2
1915,Buckeye League,regular,P1592002,O'Neill,,1915-06-18,1915-06-19,2
1915,Buckeye League,regular,P3392081,Pastorious,,1915-05-27,1915-07-02,17
1915,Buckeye League,regular,P0050722,Pastorius,,1915-05-19,1915-06-10,3
1915,Buckeye League,regular,P6611572,Peterman,,1915-05-23,1915-05-28,3
1915,Buckeye League,regular,P7696624,Pierce,,1915-06-01,1915-06-01,1
1915,Buckeye League,regular,P7059794,Schnitzer,,1915-06-27,1915-06-27,1
1915,Buckeye League,regular,P3207301,Schultz,,1915-06-27,1915-06-27,1
1915,Buckeye League,regular,P5642003,Taylor,,1915-05-19,1915-06-20,13
1915,Buckeye League,regular,P6557597,Willett,,1915-07-04,1915-07-04,1
1915,Buckeye League,regular,P1298973,Wratten,,1915-06-01,1915-06-01,1
