league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1910,Central Kansas League,regular,P7661847,,,1910-05-19,1910-07-20,4
1910,Central Kansas League,regular,P3339347,Abbott,,1910-07-14,1910-07-15,2
1910,Central Kansas League,regular,P3866438,Fowler,,1910-07-05,1910-07-05,1
1910,Central Kansas League,regular,P7578247,Graham,,1910-07-16,1910-07-22,2
1910,Central Kansas League,regular,P4951088,Hamlin,,1910-07-18,1910-07-18,1
1910,Central Kansas League,regular,P5990808,Kelly,,1910-07-05,1910-07-05,1
1910,Central Kansas League,regular,P9574030,Mithyl,,1910-05-31,1910-05-31,1
1910,Central Kansas League,regular,P0979132,Riley,,1910-07-07,1910-07-08,2
1910,Central Kansas League,regular,P4757895,S. Fowler,,1910-07-14,1910-07-23,3
1910,Central Kansas League,regular,P9671268,Schopp,,1910-07-23,1910-07-23,1
1910,Central Kansas League,regular,P6767788,Snyder,,1910-05-17,1910-07-01,4
1910,Central Kansas League,regular,P2026347,Sparks,,1910-05-17,1910-05-21,3
1910,Central Kansas League,regular,P9217256,Weyman,,1910-06-06,1910-06-06,1
