game.key,league.year,league.name,game.date,game.number,game.phase,ref,name.last,name.first,club.name,pos,seq,B_AB,B_R,B_ER,B_H,B_2B,B_3B,B_HR,B_RBI,B_BB,B_SO,B_HP,B_SH,B_SF,B_SB,B_XO,B_LOB,B_ROE,P_IP,P_TBF,P_AB,P_R,P_ER,P_H,P_BB,P_SO,P_HP,P_WP,P_BK,F_PO,F_A,F_E,F_DP,F_TP,F_PB,F_SB
LBFQPVJ,1910,Carolina Association,1910-05-11,0,regular,P9825477,Fogarty,,Winston-Salem,cf,4,4,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
LBFQPVJ,1910,Carolina Association,1910-05-11,0,regular,P3483120,McKevitt,,Winston-Salem,1b,5,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,12,0,3,1,,,
LBFQPVJ,1910,Carolina Association,1910-05-11,0,regular,P2039836,Painter,,Winston-Salem,3b,6,4,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,,,,
LBFQPVJ,1910,Carolina Association,1910-05-11,0,regular,P8288153,Laval,,Winston-Salem,rf,7,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
LBFQPVJ,1910,Carolina Association,1910-05-11,0,regular,P6443702,Vance,,Winston-Salem,c,8,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,1,,,
LBFQPVJ,1910,Carolina Association,1910-05-11,0,regular,P6622059,Swindell,,Winston-Salem,p,9,3,0,,0,,,,,,,,,,,,,,,,,,,,5,4,,,,0,4,0,,,,
LBFQPVJ,1910,Carolina Association,1910-05-11,0,regular,,TOTALS,,Winston-Salem,,,29,1,,5,,,,,,,,,,,,6,,,,,,,,,,,,,24,17,8,,,,
TXJCZSB,1910,Carolina Association,1910-05-11,0,regular,P5374085,Wehrell,,Anderson,cf,1,3,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,
TXJCZSB,1910,Carolina Association,1910-05-11,0,regular,P9341967,Farmer,,Anderson,p,10,2,0,,0,,,,,,,,,,,,,,,,,,,,1,4,,,,0,2,0,,,,
TXJCZSB,1910,Carolina Association,1910-05-11,0,regular,P4223045,Corbett,,Anderson,2b,2,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,0,5,0,,,,
TXJCZSB,1910,Carolina Association,1910-05-11,0,regular,P9011763,Kelly,,Anderson,rf,3,3,0,,3,,,,,,,,,,2,,,,,,,,,,,,,,,0,0,0,,,,
