key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
MDHSKFP,1915-04-27,0,Rio Grande Association,regular,,Phoenix,2,,Tucson,10,,,2:00,,,,,transcript/1915/1915-AR/boxes/AR-19150427.txt,"Arizona Republic, April 28, 1915",0,0,0,1,0,0,0,1,0,,,,,1,0,0,3,2,1,3,0,x,,,,
DQCWNTG,1915-04-28,0,Rio Grande Association,regular,,Phoenix,,,Tucson,,,,,,postponed,rain,,transcript/1915/1915-AR/boxes/AR-19150427.txt,"Arizona Republic, April 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
SWKHZSK,1915-04-29,0,Rio Grande Association,regular,,Phoenix,6,,Tucson,1,,,1:50,,,,,transcript/1915/1915-AR/boxes/AR-19150427.txt,"Arizona Republic, April 30, 1915",2,0,0,4,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,,,,
FFZRGGJ,1915-04-30,0,Rio Grande Association,regular,,Phoenix,7,,Tucson,3,,,2:00,,,,,transcript/1915/1915-AR/boxes/AR-19150427.txt,"Arizona Republic, May 1, 1915",2,3,0,0,1,0,1,0,0,,,,,1,0,1,1,0,0,0,0,0,,,,
WSFDLLK,1915-05-01,0,Rio Grande Association,regular,,Las Cruces,8,,El Paso,5,,,,,,,,transcript/1915/1915-AR/boxes/AR-19150427.txt,"Arizona Republic, May 2, 1915",0,2,3,0,1,0,0,2,0,,,,,1,0,0,0,2,1,0,1,0,,,,
LQFYCBF,1915-05-01,0,Rio Grande Association,regular,,Phoenix,0,,Tucson,3,,,1:30,,,,,transcript/1915/1915-AR/boxes/AR-19150427.txt,"Arizona Republic, May 2, 1915",0,0,0,0,0,0,0,0,0,,,,,0,0,1,0,2,0,0,0,x,,,,
KPDMGHW,1915-05-02,0,Rio Grande Association,regular,,Las Cruces,19,,El Paso,20,,,,,,,,transcript/1915/1915-AR/boxes/AR-19150427.txt,"Arizona Republic, May 3, 1915",2,0,4,1,3,0,4,2,3,,,,,0,6,1,0,3,2,1,4,3,,,,
TLCKGMY,1915-05-02,0,Rio Grande Association,regular,,Phoenix,5,,Tucson,3,,,2:40,,,,,transcript/1915/1915-AR/boxes/AR-19150427.txt,"Arizona Republic, May 3, 1915",0,0,1,1,0,0,1,0,0,0,0,2,,0,0,1,0,2,0,0,0,0,0,0,0,
BKDRYDX,1915-05-04,0,Rio Grande Association,regular,,Douglas,6,,Albuquerque,9,,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 5, 1915",0,0,0,0,0,0,5,1,0,,,,,1,0,0,4,0,0,0,0,x,,,,
WRGHCGM,1915-05-04,0,Rio Grande Association,regular,,Las Cruces,12,,El Paso,7,,,,,,,,transcript/1915/1915-AR/boxes/AR-19150503.txt,"Arizona Republic, May 5, 1915",1,0,4,2,2,0,1,0,2,,,,,1,0,0,1,2,2,0,1,0,,,,
