key,league,date,number,source,team1.name,team1.align,team1.score,team2.name,team2.align,team2.score,status_code,status_reason
19150427-INTRIC-INTTOR-0,International League,1915-04-27,0,1915-SL,Toronto,a,8,Richmond,h,11,final,
19150428-INTBUF-INTPRO-0,International League,1915-04-28,0,1915-SL,Buffalo,a,3,Providence,h,0,final,
19150428-INTRIC-INTTOR-0,International League,1915-04-28,0,1915-SL,Toronto,a,15,Richmond,h,4,final,
19150429-INTBUF-INTPRO-0,International League,1915-04-29,0,1915-SL,Buffalo,a,1,Providence,h,4,final,
19150429-INTJER-INTROC-0,International League,1915-04-29,0,1915-SL,Rochester,a,0,Jersey City,h,5,final,
19150429-INTMON-INTNEW-0,International League,1915-04-29,0,1915-SL,Montreal,a,4,Newark,h,1,final,
19150429-INTRIC-INTTOR-0,International League,1915-04-29,0,1915-SL,Toronto,a,5,Richmond,h,0,final,
19150430-INTBUF-INTPRO-0,International League,1915-04-30,0,1915-SL,Buffalo,a,,Providence,h,,postponed,
19150430-INTJER-INTROC-0,International League,1915-04-30,0,1915-SL,Rochester,a,,Jersey City,h,,postponed,
19150430-INTMON-INTNEW-0,International League,1915-04-30,0,1915-SL,Montreal,a,,Newark,h,,postponed,
19150430-INTRIC-INTTOR-0,International League,1915-04-30,0,1915-SL,Toronto,a,,Richmond,h,,postponed,
19150501-INTBUF-INTPRO-0,International League,1915-05-01,0,1915-SL,Buffalo,a,2,Providence,h,4,final,
19150501-INTJER-INTROC-0,International League,1915-05-01,0,1915-SL,Rochester,a,1,Jersey City,h,7,final,
19150501-INTMON-INTNEW-0,International League,1915-05-01,0,1915-SL,Montreal,a,0,Newark,h,1,final,
19150501-INTRIC-INTTOR-0,International League,1915-05-01,0,1915-SL,Toronto,a,2,Richmond,h,4,final,
