key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,away.score.19,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18,home.score.19
MDJJGQR,1915-05-11,0,New York State,regular,,Scranton,2,,Elmira,3,,,2:00,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150506.txt,"Elmira Star-Gazette, May 12, 1915",0,0,0,0,0,1,0,1,0,,,,,,,,,,,0,0,1,0,0,0,1,1,x,,,,,,,,,,
VGLZWQS,1915-05-11,0,New York State,regular,,Utica,2,,Troy,3,,,1:50,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150506.txt,"Elmira Star-Gazette, May 12, 1915",0,1,0,0,0,0,0,1,0,,,,,,,,,,,0,0,2,0,1,0,0,0,x,,,,,,,,,,
GZXPMXM,1915-05-12,0,New York State,regular,,Binghamton,8,,Scranton,7,,,2:40,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150506.txt,"Elmira Star-Gazette, May 13, 1915",0,1,3,0,0,0,4,0,0,,,,,,,,,,,0,0,3,0,3,0,1,0,0,,,,,,,,,,
JQHQVXB,1915-05-12,0,New York State,regular,,Troy,1,,Syracuse,2,,,1:35,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150506.txt,"Elmira Star-Gazette, May 13, 1915",0,0,0,0,0,1,0,0,0,,,,,,,,,,,1,0,0,0,0,0,1,0,x,,,,,,,,,,
WVLJHCJ,1915-05-12,0,New York State,regular,,Albany,1,,Utica,2,,,1:31,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150506.txt,"Elmira Star-Gazette, May 13, 1915",0,0,0,1,0,0,0,0,0,,,,,,,,,,,0,1,0,0,0,1,0,0,x,,,,,,,,,,
TXXMZLN,1915-05-12,0,New York State,regular,,Elmira,4,,Wilkes-Barre,5,,,2:10,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150506.txt,"Elmira Star-Gazette, May 13, 1915",0,4,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,0,0,3,2,0,x,,,,,,,,,,
PGTHSKX,1915-05-13,0,New York State,regular,,Binghamton,,,Scranton,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 14, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NZTHXKK,1915-05-13,0,New York State,regular,,Troy,,,Syracuse,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 14, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SZKGGQY,1915-05-13,0,New York State,regular,,Albany,,,Utica,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 14, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WYXKTJF,1915-05-13,0,New York State,regular,,Elmira,2,,Wilkes-Barre,3,,,2:00,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 14, 1915",2,0,0,0,0,0,0,0,0,,,,,,,,,,,0,1,0,0,1,0,1,0,x,,,,,,,,,,
DVBWHQR,1915-05-14,0,New York State,regular,,Binghamton,4,,Scranton,7,,,2:00,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 15, 1915",0,0,0,0,0,0,1,3,0,,,,,,,,,,,5,1,0,0,0,0,0,1,x,,,,,,,,,,
SZRHGMK,1915-05-14,0,New York State,regular,,Troy,7,,Syracuse,6,,,1:55,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 15, 1915",0,2,0,0,1,0,0,4,0,,,,,,,,,,,0,0,0,3,0,3,0,0,0,,,,,,,,,,
CXBTKGX,1915-05-14,0,New York State,regular,,Albany,6,,Utica,8,,,2:09,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 15, 1915",3,0,0,2,1,0,0,0,0,,,,,,,,,,,0,4,1,0,0,0,2,1,x,,,,,,,,,,
YGWYFSX,1915-05-14,0,New York State,regular,,Elmira,4,,Wilkes-Barre,0,,,1:45,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 15, 1915",0,1,0,0,2,0,1,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,,
ZXTPCQV,1915-05-15,0,New York State,regular,,Elmira,1,,Scranton,5,,,1:40,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 17, 1915",1,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,0,1,4,0,0,0,x,,,,,,,,,,
ZBZYBCN,1915-05-15,0,New York State,regular,,Albany,3,,Syracuse,4,,,,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 17, 1915",0,0,1,0,0,0,0,0,2,0,,,,,,,,,,1,0,0,0,2,0,0,0,0,1,,,,,,,,,
TXGLJRJ,1915-05-15,0,New York State,regular,,Troy,13,,Utica,3,,,,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 17, 1915",0,0,0,0,1,4,0,5,3,,,,,,,,,,,0,0,1,0,0,0,0,0,2,,,,,,,,,,
XRCNTKX,1915-05-15,1,New York State,regular,,Binghamton,3,,Wilkes-Barre,4,,,,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 17, 1915",0,0,0,2,0,0,0,1,0,,,,,,,,,,,0,0,0,0,0,0,0,1,3,,,,,,,,,,
SBJZBJX,1915-05-15,2,New York State,regular,,Binghamton,2,,Wilkes-Barre,6,,,,,,,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 17, 1915",0,0,0,0,2,0,0,,,,,,,,,,,,,0,0,4,2,0,0,x,,,,,,,,,,,,
VPXZRXY,1915-05-17,0,New York State,regular,,Elmira,,,Scranton,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MFBPHYL,1915-05-17,0,New York State,regular,,Albany,,,Syracuse,,,,,,postponed,rain,,data/boxscores/transcript/1915/1915-ESG/ESG-19150513.txt,"Elmira Star-Gazette, May 18, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
