key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
CPJDWLW,1911-05-03,1,Central,regular,,Dayton,4,,Wheeling,1,,,1:15,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,1,0,2,0,0,1,,,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,
GXXFLWT,1911-05-03,2,Central,regular,,Dayton,4,,Wheeling,4,,,1:30,,completed-early,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,1,0,0,3,0,,,,,,,,,,,0,1,1,0,1,1,0,0,,,,,,,,,,
WMTLSQS,1911-05-03,0,Central,regular,,Fort Wayne,2,,Zanesville,1,,,1:30,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,1,0,1,0,,,,,,,,,,,,,0,0,1,0,0,0,,,,,,,,,,,,
JFYLFZM,1911-05-04,0,Central,regular,,Evansville,2,,Dayton,3,,,1:50,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,0,0,0,1,0,1,,,,,,,,,,0,0,0,0,0,1,0,1,,,,,,,,,,
RWSTMXR,1911-05-04,0,Central,regular,,Terre Haute,2,,Fort Wayne,3,,2904,1:50,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,2,0,0,0,0,0,,,,,,,,,,0,0,0,0,1,0,0,2,x,,,,,,,,,
BHFTPKT,1911-05-04,0,Central,regular,,Zanesville,2,,Grand Rapids I,11,,1900,1:45,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,1,0,0,0,1,0,0,0,,,,,,,,,,4,0,0,4,0,3,0,0,x,,,,,,,,,
ZPRWKZQ,1911-05-04,0,Central,regular,,Wheeling,4,,South Bend I,3,,2500,1:35,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,1,0,1,0,0,0,0,0,2,,,,,,,,,,1,0,0,0,0,0,2,0,0,,,,,,,,,
MXHRCXT,1911-05-05,0,Central,regular,,Evansville,2,,Dayton,12,,,1:40,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,2,0,0,0,0,,,,,,,,,,,2,3,2,0,0,1,4,0,x,,,,,,,,,
DKRHKRL,1911-05-05,0,Central,regular,,Terre Haute,2,,Fort Wayne,6,,,2:00,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,Sporting Life Vol 57 Number 10 page 19,0,0,0,2,0,0,0,0,0,,,,,,,,,,0,3,0,1,0,2,0,0,x,,,,,,,,,
FLDQRVQ,1911-05-05,0,Central,regular,,Zanesville,1,,Grand Rapids I,2,,,1:30,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,1,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,2,,,,,,,,,
