league.year,league.name,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1915,American Association,P2213845,Allison,,Kansas City,1915-04-16,1915-04-19,2,2,0,0,0,0,0,0,0,0,0,2
1915,American Association,P9827235,Altizer,,Minneapolis,1915-04-15,1915-04-24,9,0,0,0,0,1,8,0,1,7,0,0
1915,American Association,P1957898,Autrey,,St. Paul,1915-04-22,1915-04-24,3,0,3,0,0,0,0,0,0,0,0,0
1915,American Association,P4413609,Bailey,,Columbus,1915-04-16,1915-04-21,5,0,0,0,0,0,0,0,0,0,0,0
1915,American Association,P2861567,Barbeau,,Milwaukee,1915-04-15,1915-04-24,9,0,0,0,0,9,0,0,0,0,0,0
1915,American Association,P8418403,Bassler,,Cleveland,1915-04-15,1915-04-23,7,0,0,0,0,0,0,0,0,0,6,0
1915,American Association,P5916422,Bates,,Cleveland,1915-04-15,1915-04-18,4,0,0,0,4,0,0,0,0,0,0,0
1915,American Association,P7497997,Beall,,Milwaukee,1915-04-15,1915-04-24,9,0,0,0,0,0,9,0,9,0,0,0
1915,American Association,P9676248,Benson,,Columbus,1915-04-18,1915-04-24,6,0,0,6,0,0,0,0,0,0,0,0
1915,American Association,P8758957,Berg,,Milwaukee,1915-04-15,1915-04-24,6,0,0,0,6,0,1,1,0,0,0,0
1915,American Association,P9551416,Blackburn,,Indianapolis,1915-04-16,1915-04-18,2,0,0,0,0,0,0,0,0,0,1,0
1915,American Association,P9396221,Blackburne,,Indianapolis,1915-04-22,1915-04-22,1,0,0,0,0,0,0,0,0,0,1,0
1915,American Association,P1181236,Boardman,,St. Paul,1915-04-16,1915-04-24,2,2,0,0,0,0,0,0,0,0,0,2
1915,American Association,P5960042,Boothby,,Columbus,1915-04-17,1915-04-24,3,3,0,0,0,0,0,0,0,0,0,3
1915,American Association,P6418221,Brannan,,Milwaukee,1915-04-16,1915-04-24,5,0,0,0,0,0,0,0,0,0,4,0
1915,American Association,P8207675,Brannon,,Milwaukee,1915-04-19,1915-04-19,1,0,0,0,0,0,1,1,0,0,0,0
1915,American Association,P5548783,Brenton,,Cleveland,1915-04-15,1915-04-22,3,3,0,0,0,0,0,0,0,0,0,3
1915,American Association,P6989614,Bronkie,,Indianapolis,1915-04-15,1915-04-24,9,0,0,0,9,0,0,0,0,0,0,0
1915,American Association,P7879207,Burch,,Columbus,1915-04-15,1915-04-24,9,0,0,0,0,0,9,1,0,8,0,0
1915,American Association,P7513080,Burk,,Indianapolis,1915-04-16,1915-04-21,2,2,0,0,0,0,0,0,0,0,0,2
1915,American Association,P1312753,Butcher,,Indianapolis,1915-04-15,1915-04-24,8,0,0,0,0,0,8,0,0,8,0,0
1915,American Association,P4203186,Butler,,Indianapolis,1915-04-18,1915-04-18,1,0,0,0,0,0,1,0,0,1,0,0
1915,American Association,P5083621,Callahan,,Louisville,1915-04-20,1915-04-24,4,0,0,0,0,0,0,0,0,0,0,0
1915,American Association,P9772382,Cantwell,,Indianapolis,1915-04-20,1915-04-20,1,1,0,0,0,0,0,0,0,0,0,1
1915,American Association,P5508760,Carter,,Cleveland,1915-04-16,1915-04-23,3,3,0,0,0,0,0,0,0,0,0,3
1915,American Association,P4821645,Cashion,,Minneapolis,1915-04-15,1915-04-24,9,0,9,0,0,0,0,0,0,0,0,0
1915,American Association,P6582106,Clark,,Milwaukee,1915-04-16,1915-04-21,5,0,0,0,4,0,0,0,0,0,0,0
1915,American Association,P6657730,Clemons,,Louisville,1915-04-15,1915-04-24,9,0,0,0,0,0,0,0,0,0,9,0
1915,American Association,P6318499,Clymer,,Cleveland,1915-04-24,1915-04-24,1,0,0,0,0,0,1,0,0,1,0,0
1915,American Association,P7652116,Clymer,,Minneapolis,1915-04-15,1915-04-24,9,0,0,0,0,0,9,0,8,1,0,0
1915,American Association,P4737351,Cole,,Indianapolis,1915-04-22,1915-04-22,1,0,0,0,0,0,0,0,0,0,0,0
1915,American Association,P7759890,Coleman,,Columbus,1915-04-15,1915-04-24,6,0,0,0,0,0,0,0,0,0,6,0
1915,American Association,P0033237,Collamore,,Cleveland,1915-04-17,1915-04-24,3,3,0,0,0,0,0,0,0,0,0,3
1915,American Association,P4900963,Compton,,Kansas City,1915-04-15,1915-04-24,8,0,0,0,0,0,8,0,7,1,0,0
1915,American Association,P5837573,Crandall,,Indianapolis,1915-04-15,1915-04-24,9,0,0,9,0,0,0,0,0,0,0,0
1915,American Association,P5254066,Crossin,,Louisville,1915-04-20,1915-04-20,1,0,0,0,0,0,0,0,0,0,0,0
1915,American Association,P9702747,Cruise,,St. Paul,1915-04-15,1915-04-24,8,0,0,0,0,0,8,8,0,0,0,0
1915,American Association,P8089506,Daley,,Columbus,1915-04-15,1915-04-24,9,0,0,0,0,3,6,6,0,0,0,0
1915,American Association,P2800721,Daniels,,Louisville,1915-04-15,1915-04-24,9,0,0,0,0,0,9,0,0,9,0,0
1915,American Association,P1259690,Davis,,Columbus,1915-04-22,1915-04-22,1,1,0,0,0,0,0,0,0,0,0,1
1915,American Association,P6236489,Delhi,,Kansas City,1915-04-17,1915-04-24,4,3,0,0,0,0,0,0,0,0,0,3
1915,American Association,P8803861,Derrick,,Louisville,1915-04-15,1915-04-24,9,0,0,0,0,9,0,0,0,0,0,0
1915,American Association,P9011776,Devogt,,Cleveland,1915-04-15,1915-04-24,5,0,0,0,0,0,0,0,0,0,4,0
1915,American Association,P2401489,Dillinger,,Cleveland,1915-04-17,1915-04-23,3,3,0,0,0,0,0,0,0,0,0,3
1915,American Association,P4550152,Dougherty,,Milwaukee,1915-04-18,1915-04-22,2,2,0,0,0,0,0,0,0,0,0,2
1915,American Association,P9022212,Dressen,,St. Paul,1915-04-15,1915-04-22,8,0,8,0,0,0,0,0,0,0,0,0
1915,American Association,P5157252,Dyer,,St. Paul,1915-04-15,1915-04-24,10,0,0,0,10,0,0,0,0,0,0,0
1915,American Association,P4378455,Eayrs,,Columbus,1915-04-15,1915-04-24,3,2,0,0,0,0,0,0,0,0,0,2
1915,American Association,P5573546,Ellis,,Louisville,1915-04-17,1915-04-24,3,3,0,0,0,0,0,0,0,0,0,3
