game.key,league.year,league.name,game.date,game.number,game.phase,name.last,name.first
QBKLCKV,1915,American Association,1915-04-15,0,regular,Murray,
QBKLCKV,1915,American Association,1915-04-15,0,regular,Doyle,
WWRLVZX,1915,American Association,1915-04-15,0,regular,O'Brien,
WWRLVZX,1915,American Association,1915-04-15,0,regular,Irwin,
KTVWZXR,1915,American Association,1915-04-15,0,regular,Johnson,
KTVWZXR,1915,American Association,1915-04-15,0,regular,Connolly,
JDFGMFP,1915,American Association,1915-04-15,0,regular,Owens,
JDFGMFP,1915,American Association,1915-04-15,0,regular,Knapp,
BKFJDYZ,1915,American Association,1915-04-16,0,regular,O'Brien,
BKFJDYZ,1915,American Association,1915-04-16,0,regular,Irwin,
WWTQBQR,1915,American Association,1915-04-16,0,regular,Murray,
WWTQBQR,1915,American Association,1915-04-16,0,regular,Boyle,
ZPMTSWN,1915,American Association,1915-04-16,0,regular,Owens,
ZPMTSWN,1915,American Association,1915-04-16,0,regular,Knapp,
BKTJGRR,1915,American Association,1915-04-16,0,regular,Johnson,
BKTJGRR,1915,American Association,1915-04-16,0,regular,Connolly,
RYJSGFN,1915,American Association,1915-04-17,0,regular,Johnson,
RYJSGFN,1915,American Association,1915-04-17,0,regular,Connolly,
DMBKZYL,1915,American Association,1915-04-17,0,regular,O'Brien,
DMBKZYL,1915,American Association,1915-04-17,0,regular,Irwin,
ZXTVGKN,1915,American Association,1915-04-17,0,regular,Owens,
ZXTVGKN,1915,American Association,1915-04-17,0,regular,Knapp,
CWRJNMY,1915,American Association,1915-04-17,0,regular,Murray,
CWRJNMY,1915,American Association,1915-04-17,0,regular,Boyle,
RZVJTYQ,1915,American Association,1915-04-18,0,regular,Johnson,
RZVJTYQ,1915,American Association,1915-04-18,0,regular,Connolly,
DRVGDLK,1915,American Association,1915-04-18,0,regular,Owens,
DRVGDLK,1915,American Association,1915-04-18,0,regular,Knapp,
RSVHSVN,1915,American Association,1915-04-18,0,regular,Murray,
RSVHSVN,1915,American Association,1915-04-18,0,regular,Boyle,
BHXFTJG,1915,American Association,1915-04-18,0,regular,O'Brien,
BHXFTJG,1915,American Association,1915-04-18,0,regular,Irwin,
MJQTZDH,1915,American Association,1915-04-19,0,regular,Johnson,
MJQTZDH,1915,American Association,1915-04-19,0,regular,Connolly,
XFTZTRF,1915,American Association,1915-04-19,0,regular,O'Brien,
XFTZTRF,1915,American Association,1915-04-19,0,regular,Irwin,
VJWDZGD,1915,American Association,1915-04-19,0,regular,Murray,
VJWDZGD,1915,American Association,1915-04-19,0,regular,Boyle,
BWKJZCH,1915,American Association,1915-04-20,0,regular,Murray,
BWKJZCH,1915,American Association,1915-04-20,0,regular,Boyle,
DFTLCKW,1915,American Association,1915-04-20,0,regular,Johnson,
DFTLCKW,1915,American Association,1915-04-20,0,regular,Connolly,
MGJNZZY,1915,American Association,1915-04-20,0,regular,O'Brien,
MGJNZZY,1915,American Association,1915-04-20,0,regular,Irwin,
GTZWFHH,1915,American Association,1915-04-20,0,regular,Owens,
GTZWFHH,1915,American Association,1915-04-20,0,regular,Knapp,
JMYLRCN,1915,American Association,1915-04-21,0,regular,Johnson,
JMYLRCN,1915,American Association,1915-04-21,0,regular,Connolly,
JLZXZRK,1915,American Association,1915-04-21,0,regular,Murray,
JLZXZRK,1915,American Association,1915-04-21,0,regular,Doyle,
YDMVMSX,1915,American Association,1915-04-21,0,regular,Owens,
