league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1911,Kansas State League,regular,P6768594,,,1911-05-12,1911-07-03,16
1911,Kansas State League,regular,P0875462,Barrett,,1911-07-02,1911-07-04,4
1911,Kansas State League,regular,P8377229,Boley,,1911-05-23,1911-05-23,1
1911,Kansas State League,regular,P3447808,Brannon,,1911-07-01,1911-07-01,1
1911,Kansas State League,regular,P7629687,Conner,,1911-07-02,1911-07-02,1
1911,Kansas State League,regular,P5942274,Crittenden,,1911-06-16,1911-06-16,1
1911,Kansas State League,regular,P0764524,Freese,,1911-06-21,1911-06-30,2
1911,Kansas State League,regular,P0876470,Groom,,1911-05-24,1911-05-24,1
1911,Kansas State League,regular,P3424553,Grooms,,1911-05-11,1911-05-22,11
1911,Kansas State League,regular,P4686515,Guinn,,1911-06-23,1911-07-04,9
1911,Kansas State League,regular,P2140149,Gwinn,,1911-06-21,1911-06-22,2
1911,Kansas State League,regular,P7237931,Hamlin,,1911-05-11,1911-06-20,32
1911,Kansas State League,regular,P5194605,Killilay,,1911-06-26,1911-06-26,1
1911,Kansas State League,regular,P4463436,Knapp,,1911-05-12,1911-07-04,42
1911,Kansas State League,regular,P6137141,Kuhagen,,1911-06-08,1911-06-08,1
1911,Kansas State League,regular,P5781057,Lagenaur,,1911-07-01,1911-07-01,1
1911,Kansas State League,regular,P8078974,Langley,,1911-05-23,1911-06-29,4
1911,Kansas State League,regular,P8543009,Maple,,1911-06-16,1911-06-24,2
1911,Kansas State League,regular,P6381342,Ray,,1911-05-13,1911-06-26,31
1911,Kansas State League,regular,P9877311,Salm,,1911-06-24,1911-06-24,1
1911,Kansas State League,regular,P5393783,Smith,,1911-06-08,1911-06-08,1
1911,Kansas State League,regular,P7186636,Talbott,,1911-05-11,1911-05-16,5
1911,Kansas State League,regular,P1521308,Weaver,,1911-06-01,1911-07-04,27
1911,Kansas State League,regular,P0015841,Weaver,Buck,1911-05-31,1911-06-18,5
1911,Kansas State League,regular,P3994631,Wing,,1911-05-11,1911-06-03,13
1911,Kansas State League,regular,P7287062,~Craig,,1911-05-26,1911-05-26,1
