key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9
RNNRSPY,1915-11-06,0,California Winter,regular,,Cline-Cline,,,San Bernardino,,,,,,postponed,rain,,1915/1915-SBN/SBN-19151106.txt,"San Bernardino News, November 8, 1915",,,,,,,,,,,,,,,,,,
LHZLVYK,1915-11-07,0,California Winter,regular,,Cline-Cline,,,San Bernardino,,,,,,postponed,rain,,1915/1915-SBN/SBN-19151106.txt,"San Bernardino News, November 8, 1915",,,,,,,,,,,,,,,,,,
KXZLRGS,1915-11-13,0,California Winter,regular,,San Diego,9,,San Bernardino,3,,,1:50,,final,,,1915/1915-SBN/SBN-19151113.txt,"San Bernardino County Sun, November 14, 1915",1,1,0,2,2,2,0,1,0,0,0,0,3,0,0,0,0,0
PPDVCFS,1915-11-14,0,California Winter,regular,,San Diego,3,,San Bernardino,5,,,1:37,,final,,,1915/1915-SBN/SBN-19151113.txt,"San Bernardino News, November 15, 1915",0,1,0,0,0,0,0,1,1,1,0,0,2,0,0,0,2,x
JLVNCVQ,1915-11-20,0,California Winter,regular,"Riverside, CA",Chicago,6,,San Bernardino,3,,,1:45,,final,,,1915/1915-SBN/SBN-19151120.txt,"San Bernardino County Sun, November 21, 1915",1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,3,0,0
WSLVQMS,1915-11-21,0,California Winter,regular,,Chicago,1,,San Bernardino,6,,"1,500",1:45,,final,,,1915/1915-SBN/SBN-19151120.txt,"San Bernardino County Sun, November 23, 1915",0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1,x
PZPJRRZ,1915-11-28,0,California Winter,regular,,Cline-Cline,1,,San Bernardino,6,,,1:17,,final,,,1915/1915-SBN/SBN-19151127.txt,"San Bernardino News, November 29, 1915",1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,x
ZGFGVNP,1915-12-05,0,California Winter,regular,,Chicago,17,,Cline-Cline,5,,,,,completed early,darkness,,1915/1915-SBN/SBN-19151204.txt,"San Bernardino News, December 6, 1915",3,0,0,2,7,5,,,,1,0,3,0,1,0,,,
SQBQLWZ,1915-12-05,0,California Winter,regular,,San Bernardino,6,,San Diego,0,,,1:26,,final,,,1915/1915-SBN/SBN-19151204.txt,"San Bernardino News, December 6, 1915",1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
LBKXMMC,1915-12-11,0,California Winter,regular,,Reach All Stars,3,,San Bernardino,1,,,1:37,,final,,,1915/1915-SBN/SBN-19151218.txt,"San Diego Union, December 12, 1915",0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
WLKXZLD,1915-12-12,0,California Winter,regular,,Chicago,3,,San Bernardino,8,,,,,final,,,1915/1915-SBN/SBN-19151211.txt,"San Bernardino News, December 13, 1915",0,0,1,0,0,0,0,2,0,0,0,2,0,4,1,1,0,x
