key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13
3aa469cd-9cc4-52e5-98ad-aa8f181ddc83,1915-04-27,0,Rio Grande Association,regular,,Phoenix,2,,Tucson,10,,,,,,,,transcript/1915/1915-AJ/boxes/AJ-19150427.txt,"Albuquerque Journal, April 28, 1915",0,0,0,1,0,0,0,1,0,,,,,1,0,0,3,2,1,3,0,x,,,,
7c0f5d6b-49ec-5cec-a681-63b2d20f3d88,1915-04-28,0,Rio Grande Association,regular,,Phoenix,,,Tucson,,,,,,postponed,wet grounds,,transcript/1915/1915-AJ/boxes/AJ-19150427.txt,"Albuquerque Journal, April 29, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
81127600-eebe-518c-920f-2649298213b0,1915-04-29,0,Rio Grande Association,regular,,Phoenix,6,,Tucson,1,,,,,,,,transcript/1915/1915-AJ/boxes/AJ-19150427.txt,"Albuquerque Journal, April 30, 1915",2,0,0,4,0,0,0,0,0,,,,,0,0,1,0,0,0,0,0,0,,,,
136fc633-1da5-5543-b111-700ab3d277a5,1915-04-30,0,Rio Grande Association,regular,,Phoenix,7,,Tucson,3,,,,,,,,transcript/1915/1915-AJ/boxes/AJ-19150427.txt,"Albuquerque Journal, May 1, 1915",2,3,0,0,1,0,1,0,0,,,,,1,0,1,1,0,0,0,0,0,,,,
abbe4103-f94d-5fbc-8ba1-f56f8d001022,1915-05-01,0,Rio Grande Association,regular,,Las Cruces,8,,El Paso,5,,,,,,,,transcript/1915/1915-AJ/boxes/AJ-19150427.txt,"Albuquerque Journal, May 2, 1915",0,2,3,0,1,0,0,2,0,,,,,1,0,0,0,2,1,0,1,0,,,,
76fcc2d1-4f5c-5490-922c-d298cb4f6b78,1915-05-01,0,Rio Grande Association,regular,,Phoenix,,,Tucson,,,,,,,,,transcript/1915/1915-AJ/boxes/AJ-19150427.txt,"Albuquerque Journal, May 2, 1915",,,,,,,,,,,,,,,,,,,,,,,,,,
c2306a1c-e150-549a-bc83-7c146553d8d7,1915-05-02,0,Rio Grande Association,regular,,Las Cruces,19,,El Paso,20,,,,,,,,transcript/1915/1915-AJ/boxes/AJ-19150427.txt,"Albuquerque Journal, May 3, 1915",2,0,4,1,3,0,4,2,3,,,,,0,6,1,0,3,2,1,4,3,,,,
9e556ffc-755e-573f-929d-f7a55d859409,1915-05-02,0,Rio Grande Association,regular,,Phoenix,5,,Tucson,3,,,,,,,,transcript/1915/1915-AJ/boxes/AJ-19150427.txt,"Albuquerque Journal, May 3, 1915",0,0,1,1,0,0,1,0,0,0,0,2,,0,0,1,0,2,0,0,0,0,0,0,0,
2746b752-8539-5c05-a33b-aa369b11f2fe,1915-05-04,0,Rio Grande Association,regular,,Douglas,6,,Albuquerque,9,,,2:06,,,,,transcript/1915/1915-AJ/boxes/AJ-19150503.txt,"Albuquerque Journal, May 5, 1915",0,0,0,0,0,0,5,1,0,,,,,1,0,0,4,4,0,0,0,x,,,,
9443d9d2-1b9e-5ad5-b1d1-8210cfc3a2ee,1915-05-04,0,Rio Grande Association,regular,,Las Cruces,12,,El Paso,7,,,,,,,,transcript/1915/1915-AJ/boxes/AJ-19150503.txt,"Albuquerque Journal, May 5, 1915",4,0,4,2,2,0,1,0,2,,,,,1,0,0,1,2,2,0,1,0,,,,
