key,date,number,league,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,away.score.16,away.score.17,away.score.18,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15,home.score.16,home.score.17,home.score.18
55dc0e52-7b80-5504-8cca-7609753e4dc7,1911-04-30,0,Central,,Fort Wayne,1,,Zanesville,5,,3300,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,Sporting Life Vol 57 Number 10 page 18,0,0,0,1,0,0,0,0,0,,,,,,,,,,1,1,0,1,2,0,0,0,x,,,,,,,,,
5bdcab28-dc3b-5090-90d0-a48c56a1d4ff,1911-05-01,0,Central,,Wheeling,,,Dayton,,,,,,postponed,rain,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
efa6f60d-adca-5a4d-9fe1-8f93a633fdab,1911-05-01,0,Central,,South Bend I,3,,Evansville,0,,,1:40,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,Sporting Life Vol 57 Number 10 page 18,0,0,1,1,0,0,0,1,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
42104c6d-d153-5d68-82b6-0091ed00c8c4,1911-05-01,0,Central,,Grand Rapids I,,,Terre Haute,,,,,,postponed,rain,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2cdb698d-0c1e-5253-85da-ba92c0195d12,1911-05-01,0,Central,,Fort Wayne,6,,Zanesville,7,,,,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,1,0,1,0,0,4,0,0,,,,,,,,,,0,0,0,1,0,4,2,0,x,,,,,,,,,
712b09db-2495-5fe6-9262-f986736b5c85,1911-05-02,0,Central,,South Bend I,2,,Evansville,3,,,1:30,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,0,0,0,2,0,0,,,,,,,,,,0,0,0,0,0,1,0,1,1,,,,,,,,,
f2edc2c3-87bf-58f3-aa72-6952b29066f6,1911-05-02,1,Central,,Grand Rapids I,2,,Terre Haute,3,,,1:17,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,0,0,2,0,0,0,,,,,,,,,,3,0,0,0,0,0,0,0,x,,,,,,,,,
a26a5137-7326-5b52-8dc5-e4cb13a8df5c,1911-05-02,2,Central,,Grand Rapids I,5,,Terre Haute,3,,,1:50,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,2,0,0,0,1,0,1,1,,,,,,,,,,2,0,0,1,0,0,0,0,0,,,,,,,,,
4e16e926-faef-5e47-911d-cb4d0e6439b0,1911-05-02,0,Central,,Fort Wayne,1,,Zanesville,4,,,1:40,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,0,0,0,0,0,0,0,1,0,,,,,,,,,,1,0,0,1,0,1,1,0,x,,,,,,,,,
43503c8a-143a-5208-9d6b-e6117767f443,1911-05-03,1,Central,,South Bend I,6,,Evansville,5,,,1:50,,,,transcript/1911/1911-SL/boxes/CENL-19110430.txt,,1,0,0,0,0,0,3,2,0,,,,,,,,,,1,0,0,0,0,0,0,1,3,,,,,,,,,
