game.key,league.year,league.name,game.date,game.number,game.phase,name.full
FLXYVSQ,1911,Central League,1911-04-26,0,regular,Cleary
ZSPSPDV,1911,Central League,1911-04-26,0,regular,Glenallvin
NFMYCSF,1911,Central League,1911-04-26,0,regular,Jacobs
QYPLVYT,1911,Central League,1911-04-26,0,regular,Newhouse
HQFZPZW,1911,Central League,1911-04-27,0,regular,Newhouse
NQYYQZX,1911,Central League,1911-04-27,0,regular,Jacobs
NFHVHVW,1911,Central League,1911-04-27,0,regular,Cleary
SJSJGMF,1911,Central League,1911-04-28,0,regular,Newhouse
WKNTDCD,1911,Central League,1911-04-28,0,regular,Jacobs
WPWCWNS,1911,Central League,1911-04-28,0,regular,Glenalvin
XYSGKMJ,1911,Central League,1911-04-29,0,regular,Newhouse
SSTCTFQ,1911,Central League,1911-04-29,0,regular,Cleary
RGBMRFB,1911,Central League,1911-04-29,0,regular,Jacobs
TLQXDXT,1911,Central League,1911-04-30,0,regular,Jacobs
MXTQJYN,1911,Central League,1911-04-30,0,regular,Cleary
LBZBBDW,1911,Central League,1911-04-30,0,regular,Newhouse
GKLPWGY,1911,Central League,1911-04-30,0,regular,Glenalvin
FMJBXDK,1911,Central League,1911-05-01,0,regular,Glenalvin
TPJZMFT,1911,Central League,1911-05-01,0,regular,Newhouse
YYFYHRM,1911,Central League,1911-05-02,1,regular,Cleary
TCRWHRR,1911,Central League,1911-05-02,0,regular,Glenalvin
FBTFSCW,1911,Central League,1911-05-02,0,regular,Newhouse
TWMRPHC,1911,Central League,1911-05-03,2,regular,Glenalvin
CPJDWLW,1911,Central League,1911-05-03,1,regular,Jacobs
GXXFLWT,1911,Central League,1911-05-03,2,regular,Jacobs
WMTLSQS,1911,Central League,1911-05-03,0,regular,Newhouse
TCGVHHT,1911,Central League,1911-05-03,0,regular,Cleary
ZPRWKZQ,1911,Central League,1911-05-04,0,regular,Clary
BHFTPKT,1911,Central League,1911-05-04,0,regular,Glenalvin
JFYLFZM,1911,Central League,1911-05-04,0,regular,Newhouse
RWSTMXR,1911,Central League,1911-05-04,0,regular,Jacobs
KQFYYPJ,1911,Central League,1911-05-05,0,regular,Cleary
DKRHKRL,1911,Central League,1911-05-05,0,regular,Jacobs
FLDQRVQ,1911,Central League,1911-05-05,0,regular,Glenalvin
MXHRCXT,1911,Central League,1911-05-05,0,regular,Newhouse
DFLTFLT,1911,Central League,1911-05-06,0,regular,Jacobs
WPJTBMC,1911,Central League,1911-05-06,0,regular,Glenalvin
BDTZPKJ,1911,Central League,1911-05-06,0,regular,Newhouse
LDPGJCQ,1911,Central League,1911-05-06,0,regular,Cleary
GPRFGQF,1911,Central League,1911-05-07,0,regular,Newhouse
HTCQHVC,1911,Central League,1911-05-07,0,regular,Groeschow
VHFCDSL,1911,Central League,1911-05-07,0,regular,Jacobs
DZSMYGG,1911,Central League,1911-05-07,0,regular,Cleary
PBKPDHJ,1911,Central League,1911-05-08,0,regular,Newhouse
FCBXMGZ,1911,Central League,1911-05-08,0,regular,Groeschow
YXWJQLJ,1911,Central League,1911-05-08,0,regular,Cleary
TSCRSLY,1911,Central League,1911-05-08,0,regular,Jacobs
PZLDHPG,1911,Central League,1911-05-09,0,regular,Cleary
LLFDHMZ,1911,Central League,1911-05-09,0,regular,Newhouse
FXBRGPR,1911,Central League,1911-05-09,0,regular,Groeschow
FHRSNTN,1911,Central League,1911-05-09,0,regular,Jacobs
LKBLKGX,1911,Central League,1911-05-10,0,regular,Glenalvin
LKBLKGX,1911,Central League,1911-05-10,0,regular,Cleary
DTSGGCX,1911,Central League,1911-05-10,0,regular,Groeschow
JNSCHNG,1911,Central League,1911-05-10,0,regular,Jacobs
KWTCFFH,1911,Central League,1911-05-10,0,regular,Newhouse
CWDGPBJ,1911,Central League,1911-05-11,0,regular,Jacobs
ZJRKRRW,1911,Central League,1911-05-11,0,regular,Glenalvin
LFBHBRK,1911,Central League,1911-05-11,0,regular,Newhouse
WVJHGDW,1911,Central League,1911-05-11,0,regular,Groeschow
PYNZGKD,1911,Central League,1911-05-12,0,regular,Glenalvin
WZLZCNR,1911,Central League,1911-05-12,0,regular,Cleary
SRGWKRG,1911,Central League,1911-05-12,0,regular,Jacobs
BZWHWQZ,1911,Central League,1911-05-12,0,regular,Newhouse
BZWHWQZ,1911,Central League,1911-05-12,0,regular,Groeschow
YNCLTSM,1911,Central League,1911-05-13,0,regular,Newhouse
HNGMZKW,1911,Central League,1911-05-13,0,regular,Glenalvin
NCHRPHZ,1911,Central League,1911-05-13,0,regular,Jacobs
LKLPBJD,1911,Central League,1911-05-13,0,regular,Cleary
SGSHYHD,1911,Central League,1911-05-14,0,regular,Cleary
CTPTPJC,1911,Central League,1911-05-14,0,regular,Glenalvin
NGGXXPZ,1911,Central League,1911-05-14,0,regular,Newhouse
LQCWRZT,1911,Central League,1911-05-14,0,regular,Jacobs
JGCQFCC,1911,Central League,1911-05-15,0,regular,Jacobs
QDPSZDR,1911,Central League,1911-05-15,0,regular,Newhouse
ZQVPWCH,1911,Central League,1911-05-15,0,regular,Cleary
JNDZZTH,1911,Central League,1911-05-15,0,regular,Glenalvin
DXKTMTG,1911,Central League,1911-05-16,0,regular,Jacobs
XNKHKKX,1911,Central League,1911-05-16,0,regular,Glenalvin
ZLDBBYW,1911,Central League,1911-05-16,0,regular,Cleary
PSSKZJN,1911,Central League,1911-05-16,0,regular,Newhouse
WBSZZSH,1911,Central League,1911-05-17,0,regular,Newhouse
TKNRNJT,1911,Central League,1911-05-17,0,regular,Jacobs
XKKHLNR,1911,Central League,1911-05-17,0,regular,Cleary
XHGJTGF,1911,Central League,1911-05-17,0,regular,Glenalvin
NHGKMFQ,1911,Central League,1911-05-18,0,regular,Jacobs
JPYFZRB,1911,Central League,1911-05-18,0,regular,Newhouse
SQBZKSH,1911,Central League,1911-05-18,0,regular,Cleary
VDYGDGC,1911,Central League,1911-05-19,1,regular,Glenalvin
WRMYDSH,1911,Central League,1911-05-19,2,regular,Glenalvin
YPTRKQL,1911,Central League,1911-05-19,0,regular,Jacobs
WFMDWHM,1911,Central League,1911-05-19,0,regular,Cleary
FCZXNXB,1911,Central League,1911-05-19,0,regular,Newhouse
QQNDLXD,1911,Central League,1911-05-20,0,regular,Newhouse
SVJSJTP,1911,Central League,1911-05-20,0,regular,Cleary
HRNTTWV,1911,Central League,1911-05-20,0,regular,Glenalvin
BWJTHDF,1911,Central League,1911-05-21,1,regular,Jacobs
QWPZXZQ,1911,Central League,1911-05-21,2,regular,Jacobs
SXFPTRK,1911,Central League,1911-05-21,0,regular,Newhouse
GMWYDMT,1911,Central League,1911-05-21,0,regular,Cleary
HHJDFQC,1911,Central League,1911-05-22,0,regular,Newhouse
QKPLLWQ,1911,Central League,1911-05-22,0,regular,Jacobs
KLDHRLK,1911,Central League,1911-05-22,0,regular,Cleary
LGJLNSF,1911,Central League,1911-05-22,0,regular,Glenalvin
ZMSJQPB,1911,Central League,1911-05-23,0,regular,Glenalvin
MJBJYKZ,1911,Central League,1911-05-23,0,regular,Cleary
XHNXFSJ,1911,Central League,1911-05-23,0,regular,Newhouse
WBDKFXF,1911,Central League,1911-05-23,0,regular,Jacobs
FPTVTDM,1911,Central League,1911-05-24,0,regular,Jacobs
PFHVLXZ,1911,Central League,1911-05-24,0,regular,Glenalvin
ZTPFKDZ,1911,Central League,1911-05-24,0,regular,Cleary
MVTVHMK,1911,Central League,1911-05-24,0,regular,Newhouse
CJTTLCX,1911,Central League,1911-05-25,0,regular,Jacobs
BLYFTVM,1911,Central League,1911-05-25,0,regular,Glenalvin
VKFFQZM,1911,Central League,1911-05-25,0,regular,Cleary
YCFFQGX,1911,Central League,1911-05-25,0,regular,Newhouse
CMKKJRT,1911,Central League,1911-05-26,0,regular,Jacobs
FGDGYSL,1911,Central League,1911-05-26,0,regular,Cleary
BGYSQZC,1911,Central League,1911-05-26,0,regular,Newhouse
BNHHKSM,1911,Central League,1911-05-26,0,regular,Glenalvin
DXWWVDJ,1911,Central League,1911-05-27,0,regular,Jacobs
BVZCRSH,1911,Central League,1911-05-27,0,regular,Newhouse
XKSSTWG,1911,Central League,1911-05-27,0,regular,Cleary
MCSZCVK,1911,Central League,1911-05-27,0,regular,Glenalvin
ZPHPXZT,1911,Central League,1911-05-28,0,regular,Glenalvin
VGSRCPQ,1911,Central League,1911-05-28,0,regular,Jacobs
THMJNTG,1911,Central League,1911-05-28,0,regular,Cleary
TBJKKHY,1911,Central League,1911-05-28,0,regular,Lindsay
TBJKKHY,1911,Central League,1911-05-28,0,regular,Doty
ZVSBZSL,1911,Central League,1911-05-29,0,regular,Glenalvin
RQMZBHX,1911,Central League,1911-05-29,0,regular,Newhouse
GMJHGBW,1911,Central League,1911-05-29,0,regular,Cleary
VGLMQXG,1911,Central League,1911-05-29,0,regular,Jacobs
CLZNDSW,1911,Central League,1911-05-30,1,regular,Glenalvin
CLZNDSW,1911,Central League,1911-05-30,1,regular,Groeschow
PCCFZWZ,1911,Central League,1911-05-30,1,regular,Cleary
FTHZRQW,1911,Central League,1911-05-30,1,regular,Newhouse
NWGQQCS,1911,Central League,1911-05-30,0,regular,Jacobs
ZNQWGDR,1911,Central League,1911-05-30,2,regular,Groeschow
LMGLTBG,1911,Central League,1911-05-30,2,regular,Cleary
VXBZDBN,1911,Central League,1911-05-30,2,regular,Newhouse
GCSLRCM,1911,Central League,1911-05-31,0,regular,Jacobs
BDLYTJR,1911,Central League,1911-06-01,0,regular,Newhouse
VZFWGSY,1911,Central League,1911-06-01,0,regular,Cleary
SQWQKGV,1911,Central League,1911-06-01,0,regular,Jacobs
KNNKFQZ,1911,Central League,1911-06-01,0,regular,Groeschow
