key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,away.score.11,away.score.12,away.score.13,away.score.14,away.score.15,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10,home.score.11,home.score.12,home.score.13,home.score.14,home.score.15
NRJSTCC,1915-04-22,0,Virginia,regular,,Suffolk,2,,Newport News,3,,"4,000",1:47,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 23, 1915",0,2,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,3,0,x,,,,,,
BXVZYLS,1915-04-22,0,Virginia,regular,,Portsmouth,0,,Norfolk,2,,,,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 23, 1915",0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,2,0,0,0,x,,,,,,
DDPZQKN,1915-04-22,0,Virginia,regular,,Rocky Mount,2,,Petersburg,5,,,1:50,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 23, 1915",2,0,0,0,0,0,0,0,0,,,,,,,0,0,0,1,2,0,0,2,x,,,,,,
SBHRWQC,1915-04-23,0,Virginia,regular,,Suffolk,5,,Newport News,10,,,2:00,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 24, 1915",0,1,3,1,0,0,0,0,0,,,,,,,0,2,0,0,0,3,0,5,x,,,,,,
RMWYNQF,1915-04-23,0,Virginia,regular,,Rocky Mount,3,,Petersburg,6,,"1,000",1:45,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 24, 1915",2,0,0,0,0,0,0,0,1,,,,,,,0,0,3,2,0,0,0,1,x,,,,,,
SBZSBSG,1915-04-23,0,Virginia,regular,,Norfolk,6,,Portsmouth,7,,,2:20,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 24, 1915",1,1,0,0,0,1,3,0,0,,,,,,,1,0,1,0,2,2,0,1,x,,,,,,
YJWSZTX,1915-04-24,0,Virginia,regular,,Suffolk,3,,Newport News,3,,,3:07,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 25, 1915",2,0,0,0,1,0,0,0,0,0,0,0,0,,,2,0,0,0,1,0,0,0,0,0,0,0,0,,
VQBFJVJ,1915-04-24,0,Virginia,regular,,Portsmouth,2,,Norfolk,8,,,1:55,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 25, 1915",0,0,0,2,0,0,0,0,0,,,,,,,0,0,1,0,2,1,0,4,x,,,,,,
XPLNQMW,1915-04-24,0,Virginia,regular,,Rocky Mount,1,,Petersburg,2,,,1:45,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 25, 1915",0,0,0,0,1,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,1,0,0,1,,,,
BLRVFKT,1915-04-26,0,Virginia,regular,,Newport News,15,,Norfolk,8,,,2:40,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 27, 1915",4,1,0,0,2,3,5,0,0,,,,,,,3,3,0,0,0,1,1,0,0,,,,,,
PTRFXJX,1915-04-26,0,Virginia,regular,,Portsmouth,0,,Rocky Mount,3,,876,1:45,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 27, 1915",0,0,0,0,0,0,0,0,0,,,,,,,1,0,0,1,0,1,0,0,x,,,,,,
NNWHWTK,1915-04-26,0,Virginia,regular,,Petersburg,1,,Suffolk,0,,,1:45,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 27, 1915",0,0,0,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0,0,0,0,,,,,,
CZZPLNW,1915-04-27,0,Virginia,regular,,Newport News,9,,Norfolk,7,,,2:10,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 28, 1915",1,0,1,1,0,0,1,1,4,,,,,,,3,0,0,0,0,2,0,0,2,,,,,,
NFRNSMF,1915-04-27,0,Virginia,regular,,Portsmouth,2,,Rocky Mount,8,,600,1:45,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 28, 1915",1,0,0,0,0,0,0,0,1,,,,,,,0,0,4,0,0,0,2,2,x,,,,,,
PCPFTGT,1915-04-27,0,Virginia,regular,,Petersburg,5,,Suffolk,1,,600,1:57,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 28, 1915",0,0,0,0,0,0,4,1,0,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,
RQMRCHK,1915-04-28,0,Virginia,regular,,Newport News,1,,Norfolk,6,,,1:50,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 29, 1915",0,0,0,0,0,0,1,0,0,,,,,,,2,1,1,0,2,0,0,0,x,,,,,,
JHMLRXZ,1915-04-28,0,Virginia,regular,,Portsmouth,5,,Rocky Mount,1,,435,2:00,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 29, 1915",1,0,0,2,0,0,0,2,0,,,,,,,0,0,0,0,0,0,1,0,0,,,,,,
YBHJPHH,1915-04-28,0,Virginia,regular,,Petersburg,4,,Suffolk,2,,500,1:30,,,,,1915/1915-RTD/RTD-19150422.txt,"Richmond Times-Dispatch, April 29, 1915",0,0,1,0,2,1,0,0,0,,,,,,,0,0,0,0,1,0,1,0,0,,,,,,
JRVBKLT,1915-04-29,0,Virginia,regular,,Norfolk,3,,Petersburg,2,,750,1:45,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, April 30, 1915",1,0,0,2,0,0,0,0,0,,,,,,,0,1,0,0,0,1,0,0,0,,,,,,
CVHNXCM,1915-04-29,0,Virginia,regular,,Newport News,2,,Rocky Mount,9,,750,1:40,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, April 30, 1915",0,2,0,0,0,0,0,0,0,,,,,,,2,0,0,2,0,3,2,0,x,,,,,,
LKQFMVS,1915-04-29,0,Virginia,regular,,Portsmouth,2,,Suffolk,4,,500,,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, April 30, 1915",0,0,0,0,0,0,0,0,2,,,,,,,0,0,0,0,0,1,3,0,x,,,,,,
BCYKSTJ,1915-04-30,0,Virginia,regular,,Norfolk,3,,Petersburg,7,,500,,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, May 1, 1915",1,0,0,0,0,2,0,0,0,,,,,,,1,0,3,0,1,0,2,0,x,,,,,,
MGSXDVX,1915-04-30,0,Virginia,regular,,Newport News,6,,Rocky Mount,5,,750,1:50,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, May 1, 1915",2,1,0,1,0,0,0,0,2,,,,,,,1,0,0,0,4,0,0,0,0,,,,,,
ZCVJKTT,1915-04-30,0,Virginia,regular,,Portsmouth,7,,Suffolk,12,,,,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, May 1, 1915",0,0,4,0,0,2,0,0,1,,,,,,,1,0,0,4,2,2,1,2,x,,,,,,
WMGBZWH,1915-05-01,0,Virginia,regular,,Norfolk,4,,Petersburg,4,,750,2:30,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, May 2, 1915",0,1,1,0,1,1,0,0,0,0,0,0,,,,0,0,0,1,0,0,2,1,0,0,0,0,,,
BFDYLCP,1915-05-01,0,Virginia,regular,,Newport News,1,,Rocky Mount,10,,700,1:35,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, May 2, 1915",0,0,0,0,0,0,1,0,0,,,,,,,1,1,1,1,3,0,2,1,x,,,,,,
MWNTPJK,1915-05-01,0,Virginia,regular,,Portsmouth,1,,Suffolk,1,,,,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, May 2, 1915",0,0,1,0,0,,,,,,,,,,,0,0,0,1,0,,,,,,,,,,
BVZJTSX,1915-05-03,0,Virginia,regular,,Rocky Mount,1,,Newport News,2,,,2:17,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, May 4, 1915",0,0,0,0,0,0,1,0,0,0,0,,,,,0,0,0,0,0,1,0,0,0,0,1,,,,
RLBZWWW,1915-05-03,0,Virginia,regular,,Suffolk,7,,Norfolk,3,,,2:00,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, May 4, 1915",0,2,1,1,0,0,3,0,0,,,,,,,0,0,0,2,0,0,1,0,0,,,,,,
GDXHFFM,1915-05-03,0,Virginia,regular,,Petersburg,1,,Portsmouth,7,,500,1:45,,,,,1915/1915-RTD/RTD-19150429.txt,"Richmond Times-Dispatch, May 4, 1915",0,0,1,0,0,0,0,0,0,,,,,,,0,1,4,0,2,0,0,0,x,,,,,,
