league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1915,Virginia League,regular,P1757143,Bigbie,,1915-06-10,1915-06-16,6
1915,Virginia League,regular,P0634176,Bressney,,1915-05-18,1915-05-18,1
1915,Virginia League,regular,P6551120,Bussey,,1915-05-13,1915-06-14,22
1915,Virginia League,regular,P1794112,Bussie,,1915-06-15,1915-06-16,2
1915,Virginia League,regular,P9429107,Callum,,1915-05-20,1915-05-20,1
1915,Virginia League,regular,P1233651,Cochran,,1915-06-09,1915-06-09,1
1915,Virginia League,regular,P8697079,Cullem,,1915-05-19,1915-05-19,1
1915,Virginia League,regular,P7315320,Cullen,,1915-05-17,1915-06-16,20
1915,Virginia League,regular,P3853793,Gaston,,1915-05-11,1915-05-11,1
1915,Virginia League,regular,P4245441,McGowan,,1915-04-22,1915-06-16,39
1915,Virginia League,regular,P8029889,McNulty,,1915-04-22,1915-04-22,1
1915,Virginia League,regular,P3734639,Mumford,,1915-05-11,1915-05-11,1
1915,Virginia League,regular,P5428891,O'Brien,,1915-05-17,1915-05-17,1
1915,Virginia League,regular,P2415892,Poole,,1915-05-17,1915-05-17,1
1915,Virginia League,regular,P5422793,Richmond,,1915-06-09,1915-06-09,1
1915,Virginia League,regular,P5260877,Rossback,,1915-04-22,1915-06-04,27
1915,Virginia League,regular,P2973283,Ruhland,,1915-04-22,1915-05-10,16
1915,Virginia League,regular,P3239695,Ryan,,1915-04-22,1915-05-15,19
