league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,S_FIRST,S_LAST,U_G
1910,Central Kansas League,regular,P5958415,,,1910-05-21,1910-07-23,4
1910,Central Kansas League,regular,P2844318,Ahearn,,1910-06-29,1910-06-29,1
1910,Central Kansas League,regular,P1544346,Colbert,,1910-06-15,1910-06-15,1
1910,Central Kansas League,regular,P2208639,Graham,,1910-06-14,1910-07-01,3
1910,Central Kansas League,regular,P9581480,Hamlin,,1910-05-19,1910-07-23,12
1910,Central Kansas League,regular,P1161220,Mythen,,1910-05-28,1910-07-05,9
1910,Central Kansas League,regular,P6875397,Reilley,,1910-07-14,1910-07-14,1
1910,Central Kansas League,regular,P9657696,Reilly,,1910-07-13,1910-07-24,6
1910,Central Kansas League,regular,P6690272,Rielly,,1910-07-13,1910-07-13,1
1910,Central Kansas League,regular,P0210356,Riley,,1910-07-09,1910-07-09,1
1910,Central Kansas League,regular,P1769108,Snider,,1910-05-31,1910-06-16,3
1910,Central Kansas League,regular,P1398180,Snyder,,1910-06-01,1910-06-01,1
1910,Central Kansas League,regular,P1907804,Wayman,,1910-05-23,1910-05-24,3
1910,Central Kansas League,regular,P5702286,Whalen,,1910-07-11,1910-07-21,2
1910,Central Kansas League,regular,P7178011,Woods,,1910-06-15,1910-07-11,2
