league.year,league.name,league.phase,person.ref,person.name.last,person.name.given,entry.name,S_FIRST,S_LAST,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G
1910,Central Kansas League,regular,P0104014,Pickens,,Ellsworth,1910-05-19,1910-06-25,8,0,0,0,0,7,0,0,0,0,0,0
1910,Central Kansas League,regular,P4449329,Pierce,,Manhattan,1910-05-23,1910-05-24,3,0,0,3,0,0,0,0,0,0,0,0
1910,Central Kansas League,regular,P8235427,Poindexter,,Ellsworth,1910-05-19,1910-06-25,9,0,0,0,0,0,8,8,0,0,0,0
1910,Central Kansas League,regular,P8846281,Pulliam,,Salina,1910-05-21,1910-06-16,11,0,0,0,0,0,10,0,10,0,0,0
1910,Central Kansas League,regular,P2816192,Ramsey,,Concordia,1910-06-04,1910-06-04,1,0,0,0,0,0,1,0,0,1,0,0
1910,Central Kansas League,regular,P6999329,Reed,,Ellsworth,1910-05-19,1910-06-25,9,0,0,8,0,0,0,0,0,0,0,0
1910,Central Kansas League,regular,P4496163,Rennard,,Manhattan,1910-05-23,1910-05-24,3,0,2,0,0,0,1,1,0,0,0,0
1910,Central Kansas League,regular,P9161431,Sacket,,Beloit,1910-06-14,1910-06-15,2,0,0,0,0,2,0,0,0,0,0,0
1910,Central Kansas League,regular,P2545043,Schlensker,,Ellsworth,1910-05-19,1910-06-25,9,0,0,0,0,0,8,0,3,5,0,0
1910,Central Kansas League,regular,P9181435,Sheeran,,Salina,1910-05-28,1910-05-28,1,1,0,0,0,0,0,0,0,0,0,1
1910,Central Kansas League,regular,P6789247,Sheeren,,Salina,1910-05-31,1910-06-03,2,2,0,0,0,0,0,0,0,0,0,2
1910,Central Kansas League,regular,P4397059,Sheerin,,Salina,1910-05-23,1910-06-16,2,2,0,0,0,0,0,0,0,0,0,2
1910,Central Kansas League,regular,P8420950,Shimeall,,Clay Center,1910-05-28,1910-05-28,1,0,0,0,0,0,1,0,0,1,0,0
