key,date,number,league,phase,site,away,away.score,away.manager,home,home.score,home.manager,A,T,forfeit.to,status,status.reason,outsatend,filename,source,away.score.1,away.score.2,away.score.3,away.score.4,away.score.5,away.score.6,away.score.7,away.score.8,away.score.9,away.score.10,home.score.1,home.score.2,home.score.3,home.score.4,home.score.5,home.score.6,home.score.7,home.score.8,home.score.9,home.score.10
WVQJFXD,1910-05-19,0,Central Kansas,regular,,Abilene,4,,Ellsworth,6,,,2:25,,final,,,1910/1910-SEJ/SEJ-19100516.txt,"The Salina Evening Journal May 20, 1910",0,0,1,0,0,0,0,1,2,,0,0,0,1,2,0,3,0,0,
KKQDTCZ,1910-05-21,0,Central Kansas,regular,,Abilene,1,,Ellsworth,3,,,2:05,,final,,,1910/1910-SEJ/SEJ-19100516.txt,"The Salina Evening Journal May 23, 1910",0,0,0,0,0,0,0,1,0,,0,0,0,0,0,2,0,1,x,
HRYLQZN,1910-05-21,0,Central Kansas,regular,,Salina,6,,Junction City,0,,,,,final,,,1910/1910-SEJ/SEJ-19100516.txt,"The Salina Evening Journal May 23, 1910",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
JDMXWCP,1910-05-23,1,Central Kansas,regular,,Salina,7,,Manhattan,1,,,2:05,,final,,,1910/1910-SEJ/SEJ-19100523.txt,"The Salina Evening Journal May 24, 1910",2,2,0,1,0,0,0,0,2,,0,0,0,0,1,0,0,0,0,
CFRYHQW,1910-05-23,2,Central Kansas,regular,,Salina,8,,Manhattan,3,,,1:35,,final,,,1910/1910-SEJ/SEJ-19100523.txt,"The Salina Evening Journal May 24, 1910",0,2,0,2,2,0,0,0,2,,0,0,0,0,3,0,0,0,0,
THVMLCY,1910-05-24,0,Central Kansas,regular,,Salina,2,,Manhattan,1,,,1:34,,final,,,1910/1910-SEJ/SEJ-19100523.txt,"The Salina Evening Journal May 25, 1910",0,0,1,0,0,0,1,0,0,,0,0,0,1,0,0,0,0,0,
CJLTVYT,1910-05-28,0,Central Kansas,regular,,Clay Center,2,,Salina,4,,500,1:40,,final,,,1910/1910-SEJ/SEJ-19100523.txt,"The Salina Evening Journal May 30, 1910",0,2,0,0,0,0,0,0,0,,2,0,1,0,1,0,0,0,0,
WGRTXCP,1910-05-31,1,Central Kansas,regular,,Salina,4,,Ellsworth,3,,1285,1:50,,final,,,1910/1910-SEJ/SEJ-19100530.txt,"The Salina Evening Journal Jun 1, 1910",2,0,0,0,0,0,0,2,0,,0,0,1,0,0,0,2,0,0,
KFTLKJD,1910-05-31,2,Central Kansas,regular,,Salina,2,,Ellsworth,3,,1285,1:40,,final,,,1910/1910-SEJ/SEJ-19100530.txt,"The Salina Evening Journal Jun 1, 1910",1,0,0,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,1,
KFJVZZC,1910-06-01,0,Central Kansas,regular,,Salina,3,,Ellsworth,7,,487,,,final,,,1910/1910-SEJ/SEJ-19100530.txt,"The Salina Evening Journal Jun 2, 1910",0,0,0,0,0,1,0,2,0,,0,0,0,3,1,3,0,0,0,
